Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ACLEILTON DA SILVA ANGELIM;ACLEILTON ANGELIM;Deputado Estadual;19123;PTN;Deferido;Frente Trabalhista Republicana Humanista Livre
ADALBERTO FELISMINO DE SOUZA;ADALBERTO;Deputado Estadual;12080;PDT;Deferido;PDT
AGENOR GERONIMO DE SOUZA;AGENOR;Deputado Estadual;50000;PSOL;Deferido;PSOL
AGNUS AGACIS DE LIMA;AGNUS AGACIS;Deputado Estadual;44500;PRP;Deferido;PRP
AGUINALDO LEITE DE SOUZA;AGUINALDO LEITE;Deputado Estadual;20004;PSC;Deferido;POR UM ACRE MELHOR II
ALADIO LUIZ JARDILINO DE SOUZA;SGT ALADIO;Deputado Estadual;27455;PSDC;Deferido;FRENTE SOCIAL LIBERAL DEMOCRATA CRISTÃ
ALBANIZA DA SILVA;ALBANIA;Deputado Estadual;70881;PT do B;Deferido;POR UM ACRE MELHOR II
ALCEMIR DA SILVA MANUARIS;ALCEMIR MANUARIS;Deputado Estadual;40112;PSB;Deferido;PSB
ALDAYSA SAMPAIO DOS SANTOS;ALDAYSA SAMPAIO;Deputado Estadual;44555;PRP;Deferido;PRP
ALDERLI PEREIRA DA SILVA;LOURO DO CREDIÁRIO;Deputado Estadual;25000;DEM;Deferido;PRODUZIR PARA EMPREGAR
ALECI ALVES DA SILVA;ALECI ALVES;Deputado Estadual;40369;PSB;Indeferido;PSB
ALÉRCIO DIAS;ALÉRCIO DIAS;Deputado Estadual;55666;PSD;Indeferido com recurso;PSD
ALESSANDRA RODRIGUES CIACCI;ALESSANDRA CIACCI;Deputado Estadual;43012;PV;Deferido;PRODUZIR PARA EMPREGAR
ALICE BARROSO DA SILVA;ALICE BARROSO;Deputado Estadual;77077;SD;Deferido;Aliança Por Um Acre Melhor III
ALICE DA CONCEIÇÃO E SILVA;PROFESSORA ALICE;Deputado Estadual;27527;PSDC;Deferido;FRENTE SOCIAL LIBERAL DEMOCRATA CRISTÃ
ANA ANASTACIO DE OLIVEIRA;ANA ANASTACIO;Deputado Estadual;12590;PDT;Deferido;PDT
ANA CLÁUDIA SILVESTRE FERREIRA;ANA CLÁUDIA;Deputado Estadual;23888;PPS;Aguardando julgamento;Aliança Por Um Acre Melhor III
ANA LEILA GALVÃO MAIA;LEILA GALVAO;Deputado Estadual;13013;PT;Deferido;FRENTE POPULAR DO ACRE 5
ANDRE LUIZ PINHEIRO GONÇALVES;ANDRÉ LUIZ;Deputado Estadual;54777;PPL;Deferido;Frente Trabalhista Republicana Humanista Livre
ANDRÉ REGO DE ARAÚJO;ANDRÉ REGO;Deputado Estadual;43525;PV;Deferido;PRODUZIR PARA EMPREGAR
ANDRE ROBERTO ROGERIO VALE DOS SANTOS;ANDRE DA DROGA VALE;Deputado Estadual;44777;PRP;Deferido;PRP
ANGELA RIBEIRO DA SILVA;ANGELA RIBEIRO;Deputado Estadual;40440;PSB;Deferido;PSB
ANNE CAROLINE RABELO DOS SANTOS;ANNE CAROLINE;Deputado Estadual;13444;PT;Deferido;FRENTE POPULAR DO ACRE 5
ANTONIA FRANÇA DE OLVIEIRA VIEIRA;TOINHA VIEIRA;Deputado Estadual;45111;PSDB;Deferido;POR UM ACRE MELHOR II
