Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ALAN RICK MIRANDA;ALAN RICK;Deputado Federal;1012;PRB;Deferido;Frente Popular do Acre II
ANA PAULA MORAIS DE HOLANDA;ANA MORAIS;Deputado Federal;5012;PSOL;Aguardando julgamento;PSOL
ANTÔNIA LUCILEIA CRUZ RAMOS CÂMARA;ANTÔNIA LÚCIA;Deputado Federal;2020;PSC;Deferido;Aliança Por Um Acre Melhor I - Federal
AURINETE DE OLIVEIRA SILVA;AURINETE;Deputado Federal;1365;PT;Deferido;Frente Popular do Acre II
CARLOS CESAR CORREIA DE MESSIAS;CÉSAR MESSIAS;Deputado Federal;4040;PSB;Deferido;Frente Popular do Acre II
CLAUDENOR MAGALHÃES SANTANA DE SOUZA;PENINHA;Deputado Federal;1101;PP;Deferido;Aliança Por Um Acre Melhor I - Federal
DEODATO NUNES DE FRANÇA;CORONEL DEODATO;Deputado Federal;2323;PPS;Deferido;Aliança Por Um Acre Melhor I - Federal
EDMAR NEGREIROS DA SILVA;EDMAR NEGREIROS;Deputado Federal;1145;PP;Renúncia;Aliança Por Um Acre Melhor I - Federal
EDSON BRAGA RODRIGUES;DR. EDSON;Deputado Federal;4567;PSDB;Deferido;Aliança Por Um Acre Melhor I - Federal
EMERSON DA SILVA SANTOS;EMERSON SANTOS;Deputado Federal;5050;PSOL;Deferido;PSOL
FAGNER ROJAS SALES;FAGNER SALES;Deputado Federal;1515;PMDB;Indeferido;Aliança Por Um Acre Melhor I - Federal
FLAVIANO FLÁVIO BAPTISTA DE MELO;FLAVIANO MELO;Deputado Federal;1555;PMDB;Deferido;Aliança Por Um Acre Melhor I - Federal
FRANCE SPYM PINTRO SOSTER;GRINGO SOSTER;Deputado Federal;3131;PHS;Deferido;Frente Popular do Acre II
FRANCISCA CILENE RODRIGUES LOPES;CILENE;Deputado Federal;1377;PT;Deferido;Frente Popular do Acre II
FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO;LYRA XAPURI;Deputado Federal;4321;PV;Deferido;PRODUZIR PARA EMPREGAR
FRANCISCO CARLOS OLIVEIRA DA CRUZ;FRANCISCO;Deputado Federal;7070;PT do B;Deferido;Aliança Por Um Acre Melhor I - Federal
FRANCISCO CARLOS OLIVEIRA DE LIMA;CHICARLOS;Deputado Federal;2511;DEM;Deferido;PRODUZIR PARA EMPREGAR
FRANCISCO NAZARENO DA SILVA;FRANCISCO NAZARENO;Deputado Federal;4510;PSDB;Deferido;Aliança Por Um Acre Melhor I - Federal
GERALDO SILVA DOS SANTOS;SEU GERALDO;Deputado Federal;5051;PSOL;Deferido;PSOL
GRACE MONICA ALVIM COELHO;DRª GRACE;Deputado Federal;1300;PT;Renúncia;Frente Popular do Acre II
HILÁRIO JOSÉ DO NASCIMENTO;HILÁRIO "MR.BEAN";Deputado Federal;4399;PV;Deferido;PRODUZIR PARA EMPREGAR
IDESIO LUIS FRANKE;IDESIO;Deputado Federal;1333;PT;Deferido;Frente Popular do Acre II
ILDERLEI SOUZA RODRIGUES CORDEIRO;ILDERLEI CORDEIRO;Deputado Federal;2222;PR;Deferido;Aliança Por Um Acre Melhor I - Federal
JOAQUIM LIRA DE CARVALHO;JOAQUIM LYRA;Deputado Federal;2500;DEM;Deferido;PRODUZIR PARA EMPREGAR
JOSE AFONSO VASCONCELOS FERNADES;AFONSO;Deputado Federal;2727;PSDC;Deferido;Frente Popular do Acre II
JOSE AUGUSTO BATISTA DE AGUIAR;ZE AUGUSTO;Deputado Federal;5555;PSD;Deferido;Aliança Por Um Acre Melhor I - Federal
JOSÉ AUGUSTO LEANDRO RODRIGUES;PROFESSOR AUGUSTO;Deputado Federal;2580;DEM;Deferido;PRODUZIR PARA EMPREGAR
JOSÉ EDMAR RONIVON SANTIAGO DE MELO;RONIVON SANTIAGO;Deputado Federal;1112;PP;Indeferido com recurso;Aliança Por Um Acre Melhor I - Federal
JOSÉ LUIS SCHAFER;TCHÊ;Deputado Federal;1212;PDT;Deferido;Frente Popular do Acre II
JOSÉ RIBAMAR COSTA;DR. RIBAMAR;Deputado Federal;1123;PP;Deferido;Aliança Por Um Acre Melhor I - Federal
JOSÉ VIEIRA DE FARIAS;ZÉ VIEIRA;Deputado Federal;4500;PSDB;Deferido;Aliança Por Um Acre Melhor I - Federal
JUAREZ PEDROSA CAVALCANTE;JUAREZ PEDROSA;Deputado Federal;1919;PTN;Deferido;Frente Popular do Acre II
KENNY ROBERT FONSECA VASCONCELOS;KENNY LOVE;Deputado Federal;5432;PPL;Deferido;Frente Popular do Acre II
LEILANE RIBEIRO DE OLIVEIRA;LEILANE RIBEIRO;Deputado Federal;1111;PP;Deferido;Aliança Por Um Acre Melhor I - Federal
LENILDA DE SOUSA QUEIROZ;LENILDA DE SOUZA;Deputado Federal;1311;PT;Deferido;Frente Popular do Acre II
LEONARDO CUNHA DE BRITO;LÉO DO PT;Deputado Federal;1331;PT;Deferido;Frente Popular do Acre II
LUIZ ANUTE DOS SANTOS;LUIZ ANUTE;Deputado Federal;7777;SD;Deferido;Aliança Por Um Acre Melhor I - Federal
LUIZETE SILVA E SILVA;LUIZETE;Deputado Federal;4554;PSDB;Deferido;Aliança Por Um Acre Melhor I - Federal
MARCELO FEITOSA DE ARAÚJO;MAJOR ARAÚJO;Deputado Federal;1310;PT;Deferido;Frente Popular do Acre II
MARFIZA DE LIMA GALVÃO;MARFISA;Deputado Federal;5533;PSD;Deferido;Aliança Por Um Acre Melhor I - Federal
MARIA JOICILENE SOUZA SILVA NOBRE;JOICE NOBRE;Deputado Federal;4325;PV;Deferido;PRODUZIR PARA EMPREGAR
MARIA NAZARE PEREIRA LIMA DE CARVALHO;MARIAZINHA;Deputado Federal;5500;PSD;Deferido;Aliança Por Um Acre Melhor I - Federal
MARIA SOCORRO SOARES DE OLIVEIRA;SOCORRO FORMIGA;Deputado Federal;2533;DEM;Deferido;PRODUZIR PARA EMPREGAR
MARIA TERESA GAUNA;PROFESSORA TEREZINHA;Deputado Federal;2515;DEM;Deferido;PRODUZIR PARA EMPREGAR
MARILEIDE SERAFIM DE ANDRADE;MARILEIDE SERAFIM;Deputado Federal;1733;PSL;Deferido;Frente Popular do Acre II
MARIO SERGIO MOURA DA SILVA;MARIO PEIXEIRO;Deputado Federal;5431;PPL;Deferido;Frente Popular do Acre II
MIRACY BEZERRA DOS SANTOS;MIRACY;Deputado Federal;7088;PT do B;Deferido;Aliança Por Um Acre Melhor I - Federal
MOISES DINIZ LIMA;MOISÉS DINIZ;Deputado Federal;6513;PC do B;Deferido;Frente Popular do Acre II
NORMANDO RODRIGUES SALES;NORMANDO SALES;Deputado Federal;2525;DEM;Deferido;PRODUZIR PARA EMPREGAR
OSWALDO ALVES RIBEIRO NETO;NETO RIBEIRO;Deputado Federal;1122;PP;Deferido;Aliança Por Um Acre Melhor I - Federal
RAIMUNDO ANGELIM VASCONCELOS;ANGELIM;Deputado Federal;1314;PT;Deferido;Frente Popular do Acre II
RAIMUNDO VAZ DE AZEVEDO;RAIMUNDO VAZ;Deputado Federal;4444;PRP;Deferido;Frente Popular do Acre II
RAIZZA MARIA CARDOSO DE AZEVEDO;RAIZZA CARDOSO;Deputado Federal;1399;PT;Deferido;Frente Popular do Acre II
RAMAO VIEIRA DE OLIVEIRA;ROBERTO DA PRINCESINHA;Deputado Federal;9090;PROS;Deferido;Frente Popular do Acre II
REGINA AMELIA D ALENCAR LINO;REGINA LINO;Deputado Federal;1400;PTB;Deferido;Frente Popular do Acre II
ROSELI COSTA;ROSE COSTA;Deputado Federal;1321;PT;Deferido;Frente Popular do Acre II
RUY MEDEIROS DE ARAÚJO BIRICO;BIRICO;Deputado Federal;5524;PSD;Deferido;Aliança Por Um Acre Melhor I - Federal
SAULO DE FREITAS RIBEIRO;SAULO RIBEIRO;Deputado Federal;2577;DEM;Deferido;PRODUZIR PARA EMPREGAR
