Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABELARDO PEDRO NOBRE JUNIOR;PROFESSOR ABELARDO;Deputado Estadual;90321;PROS;Deferido;NINGUEM É FORTE SOZINHO
ADERVAL ROCHA TENORIO;ADERVAL TENÓRIO;Deputado Estadual;28100;PRTB;Renúncia;CAMINHANDO COM O POVO
AILTA RODRIGUES DA SILVA;AILTA RODRIGUES;Deputado Estadual;28210;PRTB;Aguardando julgamento;CAMINHANDO COM O POVO
ALAN NUNES SILVA;ALAN NUNES;Deputado Estadual;28789;PRTB;Deferido;CAMINHANDO COM O POVO
ALANN FABRICIO DE MELO SALUSTIANO;ALANN FABRICIO;Deputado Estadual;54054;PPL;Deferido;CAMINHANDO COM O POVO
ALBERTO JOSÉ MENDONÇA CAVALCANTE;ALBERTO SEXTAFEIRA;Deputado Estadual;40000;PSB;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
ALCIDES DE ANDRADE NETO;CIDOCA - ALCIDES ANDRADE;Deputado Estadual;55555;PSD;Deferido;COM O POVO PRA ALAGOAS MUDAR II
ALDA CRISTINA MARQUES MONTEIRO;ALDA MONTEIRO;Deputado Estadual;15756;PMDB;Deferido;COM O POVO PRA ALAGOAS MUDAR II
ALESSON LOUREIRO CAVALCANTE;LÉO LOUREIRO;Deputado Estadual;54444;PPL;Deferido;CAMINHANDO COM O POVO
ALEX FERNANDES DOS SANTOS;ALEX FERNANDES;Deputado Estadual;14789;PTB;Deferido;COM O POVO PRA ALAGOAS MUDAR II
ALEXANDRE MONTE E SILVA;ALEXANDRE MONTE;Deputado Estadual;43003;PV;Aguardando julgamento;NINGUEM É FORTE SOZINHO
ALMIR DOS SANTOS;ALMIR SANTOS;Deputado Estadual;15333;PMDB;Deferido;COM O POVO PRA ALAGOAS MUDAR II
