Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADERVAL ROCHA TENÓRIO;ADERVAL TENÓRIO;Deputado Federal;2877;PRTB;Aguardando julgamento;CAMINHANDO COM O POVO
ADISSON FLORENCIO DA SILVA CORREA;ADISSON MALTA;Deputado Federal;4550;PSDB;Deferido;UM NOVO JEITO DE FAZER
ALEXANDRE MURTA DE ARAÚJO ROCHA;ALEXANDRE MURTA;Deputado Federal;1500;PMDB;Deferido;COM O POVO PRA ALAGOAS MUDAR I
ALISSON CARDOSO DA SILVA;ALISSON CARDOSO;Deputado Federal;2727;PSDC;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
ALVARO FERREIRA GUIMARÃES FILHO;ALVARO GUIMARÃES;Deputado Federal;4000;PSB;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
ANDREIA CHRISTINA DOS SANTOS VITAL;ANDREIA VITAL;Deputado Federal;4589;PSDB;Deferido;UM NOVO JEITO DE FAZER
ANTONIO CARLOS AZEVEDO LESSA;DELEGADO LESSA;Deputado Federal;3333;PMN;Deferido;CAMINHANDO COM O POVO
ANTONIO CARLOS RAMOS;CHAMARIZ;Deputado Federal;1414;PTB;Deferido;COM O POVO PRA ALAGOAS MUDAR I
ANTONIO JORGE GOMES;JORGE DA SORTE;Deputado Federal;2811;PRTB;Deferido;CAMINHANDO COM O POVO
ANTÔNIO LUIZ DA SILVA;PASTOR LUIZÃO;Deputado Federal;1001;PRB;Aguardando julgamento;UM NOVO JEITO DE FAZER
ANTONIO NELSON OLIVEIRA DE AZEVEDO;ANTONIO NELSON;Deputado Federal;2311;PPS;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
ARTHUR CESAR PEREIRA DE LIRA;ARTHUR LIRA;Deputado Federal;1111;PP;Aguardando julgamento;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
AUDINEIDE SILVA CAVALCANTE;AUDI CAVALCANTE;Deputado Federal;1166;PP;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
AUDIVAL AMÉLIO DA SILVA NETO;VAL AMÉLIO;Deputado Federal;2888;PRTB;Deferido;CAMINHANDO COM O POVO
CARLOS ALBERTO DA SILVA;CARLOS ALBERTO;Deputado Federal;4333;PV;Deferido;COM O POVO PRA ALAGOAS MUDAR I
CARLOS EUGÊNIO LESSA DE AZEVEDO SAMPAIO;GG SAMPAIO;Deputado Federal;1533;PMDB;Deferido;COM O POVO PRA ALAGOAS MUDAR I
CICERA MARIA DE OLIVEIRA;CICERA PSICOLOGA;Deputado Federal;2899;PRTB;Deferido;CAMINHANDO COM O POVO
CLIUTON SANTOS;CLIUTON SANTOS;Deputado Federal;1022;PRB;Deferido;UM NOVO JEITO DE FAZER
COSMO JOSE CALHEIROS PEDROSA;DR COSMO CALHEIROS PR COSMINHO;Deputado Federal;2813;PRTB;Renúncia;CAMINHANDO COM O POVO
CRISTIANE MARQUES SAMPAIO;SHAKTI SAMPAIO - A INDIA;Deputado Federal;7070;PT do B;Deferido;COM O POVO PRA ALAGOAS MUDAR I
DIONE CAVALCANTE TEIXEIRA FARIAS RIBEIRO;DIONE;Deputado Federal;2829;PRTB;Aguardando julgamento;CAMINHANDO COM O POVO
DOMICIO JOSE GREGORIO ARRUDA SILVA;DOMICIO SILVA;Deputado Federal;1100;PP;Renúncia;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
EDIELSON BARBOSA LIMA;DINHO LEITE;Deputado Federal;2882;PRTB;Deferido;CAMINHANDO COM O POVO
EDIERSON GOMES DA SILVA;GOMES;Deputado Federal;3656;PTC;Deferido;PTC
EDSON MAIA NOBRE DE ABREU;DR. EDSON;Deputado Federal;2505;DEM;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
ELIEL JOSE BARBOSA DE LIMA;SARGENTO ELIEL;Deputado Federal;5151;PEN;Aguardando julgamento;PEN
FABIA FARIAS SANTANA;FABIA FARIAS;Deputado Federal;1200;PDT;Aguardando julgamento;COM O POVO PRA ALAGOAS MUDAR I
FERNANDO ANTÔNIO MACEDO HOLANDA;FERNANDO HOLLANDA;Deputado Federal;1599;PMDB;Deferido;COM O POVO PRA ALAGOAS MUDAR I
FLAVIO HENRIQUE CATÃO NOGUEIRA;FLÁVIO CATÃO;Deputado Federal;2555;DEM;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
FRANCISCO DE SOUZA IRMÃO;CHICO DA CAPIAL;Deputado Federal;1556;PMDB;Aguardando julgamento;COM O POVO PRA ALAGOAS MUDAR I
GESIEL ANTÔNIO DE OLIVEIRA;GESIEL AMIGO LEAL;Deputado Federal;1077;PRB;Deferido;UM NOVO JEITO DE FAZER
GIVALDO DE SÁ GOUVEIA CARIMBÃO;GIVALDO CARIMBÃO;Deputado Federal;9090;PROS;Deferido;COM O POVO PRA ALAGOAS MUDAR I
HEMERSON CASADO GAMA;HEMERSON CASADO;Deputado Federal;1510;PMDB;Aguardando julgamento;COM O POVO PRA ALAGOAS MUDAR I
ILDO RAFAEL DE VASCONCELOS;ILDO RAFAEL;Deputado Federal;2855;PRTB;Deferido;CAMINHANDO COM O POVO
IRACI BATISTA DA SILVA;IRACI BATISTA;Deputado Federal;5001;PSOL;Deferido;FRENTE DE ESQUERDA DE ALAGOAS
IRIS DOS SANTOS MELO;IRIS FAUSTINO;Deputado Federal;4044;PSB;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
IVON BERTO TIBURCIO DE LIMA;CORONEL IVON;Deputado Federal;1444;PTB;Deferido;COM O POVO PRA ALAGOAS MUDAR I
JAILTON SANTOS COSTA;DR JAILTON COSTA;Deputado Federal;2880;PRTB;Deferido;CAMINHANDO COM O POVO
JAMISON RODRIGUES DA SILVA;JAMINHO;Deputado Federal;3131;PHS;Deferido;COM O POVO PRA ALAGOAS MUDAR I
JESSYCA BEATRIZ PINTO FERREIRA;JESSYCA FERREIRA;Deputado Federal;4505;PSDB;Deferido;UM NOVO JEITO DE FAZER
JOAO BATISTA DA SILVA;JOAO BATISTA;Deputado Federal;4553;PSDB;Aguardando julgamento;UM NOVO JEITO DE FAZER
JOÃO CORRÊA DE MELO NETO;PASTOR JOÃO;Deputado Federal;1013;PRB;Aguardando julgamento;UM NOVO JEITO DE FAZER
JOÃO HENRIQUE HOLANDA CALDAS;JHC;Deputado Federal;7777;SD;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
JOÃO JOSÉ PEREIRA DE LYRA;JOÃO LYRA;Deputado Federal;5578;PSD;Aguardando julgamento;COM O POVO PRA ALAGOAS MUDAR I
JOGELSON DOMARQUES PAES DE VERAS;JOGELSON;Deputado Federal;1511;PMDB;Renúncia;COM O POVO PRA ALAGOAS MUDAR I
JORGE VI LAMENHA LINS;JORGE VI;Deputado Federal;4566;PSDB;Deferido;UM NOVO JEITO DE FAZER
JOSE BARBOSA LIMEIRA;PASTOR BARBOZINHA;Deputado Federal;2812;PRTB;Deferido;CAMINHANDO COM O POVO
JOSE CICERO SOARES DE ALMEIDA;CICERO ALMEIDA;Deputado Federal;2800;PRTB;Deferido;CAMINHANDO COM O POVO
JOSÉ FRANCISCO DE LIMA;CHICO LIMA;Deputado Federal;2500;DEM;Aguardando julgamento;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
JOSÉ JERÔNIMO DE FARIAS NETO;IRMÃO JOTA JÉO;Deputado Federal;2014;PSC;Deferido;COM O POVO PRA ALAGOAS MUDAR I
JOSE JULIO DE ALMEIDA FILHO;JULIO HOULY;Deputado Federal;1122;PP;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
JOSÉ JÚNIOR NASCIMENTO SILVA;JUNIOR;Deputado Federal;5050;PSOL;Deferido;FRENTE DE ESQUERDA DE ALAGOAS
JOSE MARCOS DAS CHAGAS;MARCOS CHAGAS;Deputado Federal;2833;PRTB;Deferido;CAMINHANDO COM O POVO
JOSÉ REGIS BARROS CAVALCANTE;REGIS CAVALCANTE;Deputado Federal;2323;PPS;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
JOSE SALUSTIANO DOS SANTOS FILHO;SALUSTIANO;Deputado Federal;2828;PRTB;Deferido;CAMINHANDO COM O POVO
JOSIVAL FERREIRA DE LIMA;DORGE DO QUEIJO;Deputado Federal;2870;PRTB;Deferido;CAMINHANDO COM O POVO
JULIANA DOS SANTOS LIMA;JULIANA;Deputado Federal;2820;PRTB;Deferido;CAMINHANDO COM O POVO
JULIO CESAR MARTINS DE CERQUEIRA;JULIO CERQUEIRA;Deputado Federal;1555;PMDB;Aguardando julgamento;COM O POVO PRA ALAGOAS MUDAR I
LOANNE DE MIRANDA VASCONCELOS;LOANNE VASCONCELOS;Deputado Federal;1023;PRB;Renúncia;UM NOVO JEITO DE FAZER
LUANDA ROSA COSTA LINS;LUANDA COSTA;Deputado Federal;3644;PTC;Deferido;PTC
LUCAS COSTA MOREIRA CESAR BARBOSA;LUCAS COSTTA;Deputado Federal;2333;PPS;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
LUCIANA DA SILVA LIMA;LUCIANA LIMA CANTORA;Deputado Federal;1144;PP;Renúncia;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
LUIZ ALBERTO ALVES TEIXEIRA;CABO LUIZ ALVES;Deputado Federal;2838;PRTB;Aguardando julgamento;CAMINHANDO COM O POVO
LUIZ CARLOS GOMES MORAES;LUIZ CARLOS;Deputado Federal;4513;PSDB;Aguardando julgamento;UM NOVO JEITO DE FAZER
MABEL TENORIO CAVALCANTE M. DE LIMA;MABEL TENORIO;Deputado Federal;1044;PRB;Renúncia;UM NOVO JEITO DE FAZER
MALBA TENORIO CAVANCANTE;MALBA TENORIO;Deputado Federal;1033;PRB;Renúncia;UM NOVO JEITO DE FAZER
MARCELO ALVES DA SILVA;MARCELO ALVES;Deputado Federal;3311;PMN;Deferido;CAMINHANDO COM O POVO
MÁRCIA CRISTINA MARCOLINO;MÁRCIA MARCOLINO;Deputado Federal;1551;PMDB;Deferido;COM O POVO PRA ALAGOAS MUDAR I
MARCOS ANTONIO FERREIRA NUNES;MARCOS FERREIRA;Deputado Federal;4555;PSDB;Aguardando julgamento;UM NOVO JEITO DE FAZER
MARCOS ANTÔNIO VIEIRA DA SILVA;MARCOS VIEIRA;Deputado Federal;2525;DEM;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
MARIA APARECIDA GERMANO DOS SANTOS;CIDA DO POVÃO;Deputado Federal;4312;PV;Aguardando julgamento;COM O POVO PRA ALAGOAS MUDAR I
MARIA BARREIROS BARBOSA DE ARAUJO;MARIA ARAUJO;Deputado Federal;2346;PPS;Aguardando julgamento;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
MARIA DA GLÓRIA SANTOS OLIVEIRA;MARIA DA GLÓRIA;Deputado Federal;5005;PSOL;Aguardando julgamento;FRENTE DE ESQUERDA DE ALAGOAS
MARIA DE FATIMA BRASILEIRO DANYLO;FATIMA BRASILEIRO;Deputado Federal;4512;PSDB;Aguardando julgamento;UM NOVO JEITO DE FAZER
MARIA DE FÁTIMA DOS SANTOS;FÁTIMA CANTORA;Deputado Federal;1512;PMDB;Deferido;COM O POVO PRA ALAGOAS MUDAR I
MARIA DO ROSÁRIO BARBOZA DA SILVA;MARIA DO ROSÁRIO;Deputado Federal;1033;PRB;Deferido;UM NOVO JEITO DE FAZER
MARIA ELISABETE DOS SANTOS;BETE;Deputado Federal;4590;PSDB;Aguardando julgamento;UM NOVO JEITO DE FAZER
MARIA FATIMA GALINA FORTES FERREIRA SANTIAGO;FATIMA SANTIAGO;Deputado Federal;1178;PP;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
MARIA LIGIA MININ DE LINS;LIGIA DO PONTAL;Deputado Federal;4099;PSB;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
MARIA SILVANA RODRIGUES SOARES;SILVANA SOARES;Deputado Federal;2845;PRTB;Deferido;CAMINHANDO COM O POVO
MARILIA DA SILVA SANTOS;MARILIA;Deputado Federal;2356;PPS;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
MARX BELTRÃO LIMA SIQUEIRA;MARX BELTRÃO;Deputado Federal;1515;PMDB;Deferido;COM O POVO PRA ALAGOAS MUDAR I
MAURÍCIO QUINTELLA MALTA LESSA;MAURICIO QUINTELLA;Deputado Federal;2266;PR;Aguardando julgamento;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
MAURO LYRA;PASTOR MAURO;Deputado Federal;3600;PTC;Aguardando julgamento;PTC
MEIRE ROSE NUNES ALVES;MEIRE ROSE;Deputado Federal;2299;PR;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
NIVALDO FERREIRA DE ALBUQUERQUE NETO;NIVALDO ALBUQUERQUE;Deputado Federal;4444;PRP;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
ODILON TENORIO DA SILVA;ODILON TENORIO;Deputado Federal;2777;PSDC;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
OSVALDO BATISTA ACIOLY MACIEL;OSVALDO MACIEL;Deputado Federal;2121;PCB;Renúncia;PCB
PAULA CAVALCANTE AMELIO SILVA;PAULA;Deputado Federal;2835;PRTB;Deferido;CAMINHANDO COM O POVO
PAULO FERNANDO DOS SANTOS;PAULÃO;Deputado Federal;1313;PT;Deferido;COM O POVO PRA ALAGOAS MUDAR I
PAULO ROBERTO CHAGAS SANTOS;PROFESSOR PAULO ROBERTO;Deputado Federal;5000;PSOL;Deferido;FRENTE DE ESQUERDA DE ALAGOAS
PAULO ROBERTO NUNES CALAÇA;MAJOR PAULO NUNES;Deputado Federal;4040;PSB;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
PAULO SÉRGIO DA SILVA FALCÃO;PAULO FALCÃO;Deputado Federal;1616;PSTU;Aguardando julgamento;FRENTE DE ESQUERDA DE ALAGOAS
PEDRO RODRIGUES GAIA NETO;PEDRO GAIA;Deputado Federal;1580;PMDB;Deferido;COM O POVO PRA ALAGOAS MUDAR I
PEDRO TORRES BRANDÃO VILELA;PEDRO VILELA;Deputado Federal;4545;PSDB;Aguardando julgamento;UM NOVO JEITO DE FAZER
POLYANA NOBRE DE LIMA;POLYANA NOBRE;Deputado Federal;3636;PTC;Aguardando julgamento;PTC
POLYANNA KAROLYNE HONORATO TEIXEIRA;POLYANNA TEIXEIRA;Deputado Federal;2344;PPS;Deferido;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
ROBERTO CARLOS TEIXEIRA GOMES;ROBERTO TEIXEIRA;Deputado Federal;5500;PSD;Deferido;COM O POVO PRA ALAGOAS MUDAR I
ROBERTO FREIRES DE ARAUJO;ROBERTO FREIRES;Deputado Federal;2850;PRTB;Deferido;CAMINHANDO COM O POVO
ROGERIO AUTO TEOFILO;ROGERIO TEOFILO;Deputado Federal;4500;PSDB;Deferido;UM NOVO JEITO DE FAZER
RONALDO AUGUSTO LESSA SANTOS;RONALDO LESSA;Deputado Federal;1212;PDT;Aguardando julgamento;COM O POVO PRA ALAGOAS MUDAR I
ROSEANE CAVALCANTE DE FREITAS;ROSINHA DA ADEFAL;Deputado Federal;7000;PT do B;Aguardando julgamento;COM O POVO PRA ALAGOAS MUDAR I
ROSIETE GOIS RAMOS;TIA ROSA;Deputado Federal;4377;PV;Aguardando julgamento;COM O POVO PRA ALAGOAS MUDAR I
SERGIO CABRAL BARBOSA;SERGIO CABRAL;Deputado Federal;5444;PPL;Deferido;CAMINHANDO COM O POVO
SEVERINO CORREIA CAVALCANTE;SEVERINO DO CHAPÉU;Deputado Federal;3633;PTC;Aguardando julgamento;PTC
SONIA MARIA TEIXEIRA SOARES;SONIA MARIA;Deputado Federal;3312;PMN;Deferido;CAMINHANDO COM O POVO
TACIANA CORREIA SILVA;TACIANA CORREIA;Deputado Federal;3300;PMN;Deferido;CAMINHANDO COM O POVO
TEODORO CAVALCANTI DE MELO;PROFESSOR TEODORO;Deputado Federal;1052;PRB;Deferido;UM NOVO JEITO DE FAZER
THALES CAVALCANTE NOVAIS DE CASTRO;THALES NOVAES;Deputado Federal;1000;PRB;Deferido;UM NOVO JEITO DE FAZER
THEO FORTES SILVEIRA CAVALCANTI;THEO FORTES;Deputado Federal;1113;PP;Renúncia;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
UBIRATAN ALVES DANTAS;DR. UBIRATAN;Deputado Federal;7788;SD;Aguardando julgamento;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
VALBERTSON DE BRITO LYRA SANTOS;BETO BRITO;Deputado Federal;5010;PSOL;Deferido;FRENTE DE ESQUERDA DE ALAGOAS
VALDEREZ BISPO LIMA BARROS;SARGENTO VALDEREZ;Deputado Federal;5150;PEN;Aguardando julgamento;PEN
VANDEVAL MARION FRAGOSO DA SILVA;MARION FRAGROSO;Deputado Federal;1900;PTN;Aguardando julgamento;PTN
VANIA LUCIA SOUZA DA SILVA;VÂNIA LÚCIA;Deputado Federal;1516;PMDB;Deferido;COM O POVO PRA ALAGOAS MUDAR I
VANILDO RUFINO DOS SANTOS;RUFINO;Deputado Federal;4599;PSDB;Deferido;UM NOVO JEITO DE FAZER
VENANCIO DOS ANJOS TELES;PALHACO PIRULITO;Deputado Federal;4567;PSDB;Deferido;UM NOVO JEITO DE FAZER
VIVIANE JULIANE RAMOS DA SILVA;VIVIANE RAMOS;Deputado Federal;4595;PSDB;Aguardando julgamento;UM NOVO JEITO DE FAZER
VIVIANE LUCIA DA SILVA;VIVIANE SILVA;Deputado Federal;1133;PP;Renúncia;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
WELLINGTON RODRIGUES FRAGOSO;MAJOR FRAGOSO;Deputado Federal;1112;PP;Aguardando julgamento;JUNTOS COM O POVO PELA MELHORIA DE ALAGOAS 1
YONARA TENÓRIO TOLEDO;YONARA TENÓRIO;Deputado Federal;1560;PMDB;Deferido;COM O POVO PRA ALAGOAS MUDAR I
ZEDEQUIAS ALVES RIBEIRO;ZEDEQUIAS;Deputado Federal;1011;PRB;Aguardando julgamento;UM NOVO JEITO DE FAZER
