Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABDALA HABIB FRAXE JUNIOR;ABDALA FRAXE;Deputado Estadual;19000;PTN;Aguardando julgamento;FAZENDO MAIS PELA NOSSA GENTE 5
ADAIL ALVES CELESTINO;SGT ADAIL DA ACASOTA;Deputado Estadual;25200;DEM;Deferido;FAZENDO MAIS POR NOSSA GENTE II
ADENOR DE SOUZA FIGUEIRA;FIGUEIRA;Deputado Estadual;25425;DEM;Deferido;FAZENDO MAIS POR NOSSA GENTE II
ADILSON MAIA ROSA;PROFESSOR ADILSON MAIA;Deputado Estadual;50050;PSOL;Deferido;PSOL
ADJUTO RODRIGUES AFONSO;ADJUTO AFONSO;Deputado Estadual;11111;PP;Deferido;RENOVAÇÃO E EXPERIÊNCIA 1
ÁDREA MARIA XAVIER LIRA;ÁDRIA LIRA;Deputado Estadual;31010;PHS;Deferido;FAZENDO MAIS POR NOSSA GENTE II
ADRIA SILVA DO NASCIMENTO;PROFª ADRIA DO PARAMAZONAS;Deputado Estadual;23223;PPS;Deferido;Renovação e Coragem
ADRIEL SALES DA CONCEIÇÃO;ADRIEL KOKAMA;Deputado Estadual;45550;PSDB;Deferido;FAZENDO MAIS POR NOSSA GENTE 1
AELSON DE LIMA FERREIRA;PROFESSOR AELSON;Deputado Estadual;33033;PMN;Deferido;PMN
AFONSO LUIZ COSTA LINS JUNIOR;AFONSO LINS;Deputado Estadual;45222;PSDB;Deferido;FAZENDO MAIS POR NOSSA GENTE 1
AFRÂNIO PEREIRA JUNIOR;MAJOR AFRÂNIO;Deputado Estadual;19333;PTN;Deferido;FAZENDO MAIS PELA NOSSA GENTE 5
ALARICO JUSTINO CIDADE NETO;ALARICO CIDADE;Deputado Estadual;54054;PPL;Deferido;RENOVAÇÃO E EXPERIÊNCIA 2
ALCIMAR JOSE GARCIA;ALCIMAR GARCIA DE EIRUNEPÉ;Deputado Estadual;44490;PRP;Indeferido;FAZENDO MAIS POR NOSSA GENTE III
ALCIMAR MACIEL PEREIRA;CABO MACIEL;Deputado Estadual;22333;PR;Deferido;FAZENDO MAIS POR NOSSA GENTE III
ALCIMAR RODRIGUES DOS SANTOS;IRMAO ALCIMAR;Deputado Estadual;11713;PP;Deferido;RENOVAÇÃO E EXPERIÊNCIA 1
ALCINDO JATOBÁ SIMÕES;ALCINDO JATOBÁ;Deputado Estadual;12555;PDT;Deferido;Renovação e Coragem
ALDERVAN SOUZA CORDOVIL;DR. ADEVA CORDOVIL;Deputado Estadual;19500;PTN;Deferido;FAZENDO MAIS PELA NOSSA GENTE 5
ALDO EMANUEL DE OLIVEIRA LUCAS;ALDO LUCAS;Deputado Estadual;51777;PEN;Deferido;FAZENDO MAIS POR NOSSA GENTE II
ALESSANDRA ALMEIDA DE MELO;ALE MELO;Deputado Estadual;33444;PMN;Deferido;PMN
ALESSANDRA CAMPELO DA SILVA;ALESSANDRA CAMPELO;Deputado Estadual;65123;PC do B;Deferido;PC do B
ALESSANDRO DOS SANTOS FROIS;ALESSANDRO FROIS;Deputado Estadual;33000;PMN;Deferido;PMN
ALEX FERREIRA ALMEIDA;ALEX FERREIRA;Deputado Estadual;19033;PTN;Deferido;FAZENDO MAIS PELA NOSSA GENTE 5
ALFREDO JACAUNA PINHEIRO FILHO;ALFREDO JACAUNA PINHEIRO;Deputado Estadual;19777;PTN;Deferido;FAZENDO MAIS PELA NOSSA GENTE 5
ALGENOR DA COSTA BUTEL;AGENOR BUTEL;Deputado Estadual;31333;PHS;Deferido;FAZENDO MAIS POR NOSSA GENTE II
ALI ASSI;PROF. ALI ASSI;Deputado Estadual;40001;PSB;Deferido;PSB
ALTAIR VIEIRA RODRIGUES;ALTAIR VIEIRA RODRIGUES;Deputado Estadual;19004;PTN;Deferido;FAZENDO MAIS PELA NOSSA GENTE 5
ALTAMIR PEREIRA DE OLIVEIRA FILHO;MIRO;Deputado Estadual;31555;PHS;Deferido;FAZENDO MAIS POR NOSSA GENTE II
ÁLVARO JOÃO CAMPELO DA MATA;ÁLVARO CAMPELO;Deputado Estadual;11011;PP;Deferido;RENOVAÇÃO E EXPERIÊNCIA 1
AMILCA RIBEIRO DAS CHAGAS;AMYLKA RIBEIRO;Deputado Estadual;45444;PSDB;Deferido;FAZENDO MAIS POR NOSSA GENTE 1
ANA CLÁUDIA BOTELHO NÓBREGA;ANA BOTELHO;Deputado Estadual;50150;PSOL;Deferido;PSOL
ANA FLAVIA ROCHA DE CARVALHO;DR ANA FRAVIA;Deputado Estadual;54333;PPL;Deferido;RENOVAÇÃO E EXPERIÊNCIA 2
ANA LÚCIA SOARES DE OLIVEIRA;ANA SOARES;Deputado Estadual;50091;PSOL;Deferido;PSOL
ANA SOLIVETE SANTOS DE OLIVEIRA;ANA SOLIVETE;Deputado Estadual;19447;PTN;Deferido;FAZENDO MAIS PELA NOSSA GENTE 5
ANATALICIO MAURICIO DE LEMOS;LEMOS;Deputado Estadual;33333;PMN;Deferido;PMN
ANDRE BARBOSA ASSAM;ANDRÉ ASSAM;Deputado Estadual;16000;PSTU;Deferido;PSTU
ANDRÉ DE SOUZA SANTOS;ANDREZINHO;Deputado Estadual;25144;DEM;Deferido;FAZENDO MAIS POR NOSSA GENTE II
ANDRE JULIO SILVA OLIVEIRA;ANDRE OLIVEIRA;Deputado Estadual;10321;PRB;Deferido;RENOVAÇÃO E EXPERIÊNCIA 1
ANDRÉ LUIZ BOTINELLY CUSTODIO;ANDRÉ BOTINELLY;Deputado Estadual;23232;PPS;Deferido;Renovação e Coragem
ANDRE LUIZ SIQUEIRA DE SOUZA CRUZ;MISSIONARIO ANDRE;Deputado Estadual;55333;PSD;Deferido;FAZENDO MAIS POR NOSSA GENTE 1
ANDRE MARSILIO CARVALHO E PINHO;ANDRE MARSILIO;Deputado Estadual;65456;PC do B;Deferido;PC do B
ANDREA FREITAS DE OLIVEIRA;ANDREA CAXIAS;Deputado Estadual;15654;PMDB;Deferido;RENOVAÇÃO E EXPERIÊNCIA 1
ANDREIA FREITAS DE LIMA;ANDREA FREITAS;Deputado Estadual;65650;PC do B;Deferido;PC do B
ANDREIA LADISLAU DE SOUZA;ANDRÉIA LADISLAU;Deputado Estadual;31321;PHS;Deferido;FAZENDO MAIS POR NOSSA GENTE II
ANDREY LUCIO OLIVEIRA ARCOS;ANDREY WILLIAMS;Deputado Estadual;43121;PV;Deferido;JUNTOS PELO POVO
ANDREZA ALMEIDA DE MELO;ANDREZA MELO;Deputado Estadual;33336;PMN;Deferido;PMN
ANDREZA DE AZEVEDO NOVOA;ANDREZA AZEVEDO;Deputado Estadual;40117;PSB;Deferido;PSB
ANTONIA ALMEIDA DE SOUZA;TOINHA ALMEIDA;Deputado Estadual;15852;PMDB;Deferido;RENOVAÇÃO E EXPERIÊNCIA 1
ANTONIO AGRA PEREIRA FILHO;TOM AGRA;Deputado Estadual;27700;PSDC;Deferido;RENOVAÇÃO E EXPERIÊNCIA 2
ANTÔNIO AMARANTO MOURA DA SILVA;TOINHO AMARANTO;Deputado Estadual;25456;DEM;Indeferido;FAZENDO MAIS POR NOSSA GENTE II
ANTONIO ARRUDA ARAGÃO;ANTONIO ARAGÃO;Deputado Estadual;70333;PT do B;Deferido;FAZENDO MAIS POR NOSSA GENTE III
ANTONIO BRAGA LEAL;ANTONIO BRAGA;Deputado Estadual;27001;PSDC;Deferido;RENOVAÇÃO E EXPERIÊNCIA 2
ANTÔNIO CARMO DE LIMA;CEARÁ DO SANTO ETELVINA;Deputado Estadual;25325;DEM;Deferido;FAZENDO MAIS POR NOSSA GENTE II
ANTÔNIO CESAR DANTAS AMARAL;CESAR DANTAS;Deputado Estadual;51123;PEN;Deferido;FAZENDO MAIS POR NOSSA GENTE II
ANTONIO DALMIR BEZERRA SALAZAR;DALMIR SALAZAR;Deputado Estadual;19100;PTN;Deferido;FAZENDO MAIS PELA NOSSA GENTE 5
ANTÔNIO DE MATOS BARBOSA;ANTÔNIO MATOS;Deputado Estadual;31007;PHS;Deferido;FAZENDO MAIS POR NOSSA GENTE II
ANTONIO JOSÉ SANTOS DE SOUZA;ANTONIO SOUZA DOS RODOVIÁRIOS;Deputado Estadual;43233;PV;Deferido;JUNTOS PELO POVO
ANTONIO MARCOS MACIEL FERNANDES;MARQUINHOS DA MACIL;Deputado Estadual;40400;PSB;Aguardando julgamento;PSB
ANTONIO PEIXOTO DE OLIVEIRA;PEIXOTO DO PT;Deputado Estadual;13111;PT;Deferido;RENOVAÇÃO E EXPERIÊNCIA 1
ANTONIO ROSA DE BRITO JUNIOR;ANTONIO JUNIOR;Deputado Estadual;17822;PSL;Deferido;FAZENDO MAIS POR NOSSA GENTE III
ANTONIVALDO DE SOUSA;ANTONIVALDO;Deputado Estadual;65666;PC do B;Deferido;PC do B
ARAMIS PIETROLUONGO LEITÃO;ARAMIS;Deputado Estadual;12580;PDT;Deferido;Renovação e Coragem
ARIANA ALMEIDA DE MELO;ARIANA MELO;Deputado Estadual;33433;PMN;Deferido;PMN
ARINOS MARCIÃO ESQUERDO;ARINOS ESQUERDO;Deputado Estadual;50123;PSOL;Indeferido com recurso;PSOL
ARLES LUIS FERREIRA DOS SANTOS;ARLES LUIS;Deputado Estadual;27963;PSDC;Deferido;RENOVAÇÃO E EXPERIÊNCIA 2
ARLINDO PEDRO DA SILVA JUNIOR;ARLINDO JUNIOR;Deputado Estadual;90090;PROS;Aguardando julgamento;FAZENDO MAIS POR NOSSA GENTE 1
ARMANDO DE OLIVEIRA FREITAS;DR. ARMANDO FREITAS;Deputado Estadual;19552;PTN;Deferido;FAZENDO MAIS PELA NOSSA GENTE 5
ARMANDO JOSÉ SOARES DO ESPIRÍTO SANTO JÚNIOR;ARMANDINHO TODY;Deputado Estadual;12007;PDT;Deferido;Renovação e Coragem
ARNALDO ALMEIDA MITOUSO;MITOUSO;Deputado Estadual;33133;PMN;Indeferido com recurso;PMN
ARQUIMERES AMÂNCIO DA SILVA;MERO;Deputado Estadual;40888;PSB;Deferido;PSB
ARTHUR HENRIQUE DE SOUZA AZEVEDO;ARTHUR HENRIQUE;Deputado Estadual;33123;PMN;Deferido;PMN
AUGUSTO FELIPE DE CASTRO;AUGUSTO CASTRO;Deputado Estadual;21021;PCB;Aguardando julgamento;PCB
AUGUSTO FELIPE DE CASTRO;AUGUSTO CASTRO;Deputado Estadual;21021;PCB;Aguardando julgamento;PCB
AURICELIO ROSEVELT SAMPAIO DA COSTA;AURICELIO SAMPAIO;Deputado Estadual;40777;PSB;Deferido;PSB
AURIO NOGUEIRA DA CRUZ;AURIO NOGUEIRA;Deputado Estadual;40555;PSB;Deferido;PSB
AYRTON FERREIRA DO NORTE;CORONEL NORTE;Deputado Estadual;15000;PMDB;Deferido;RENOVAÇÃO E EXPERIÊNCIA 1
BELARMINO LINS DE ALBUQUERQUE;BELARMINO LINS;Deputado Estadual;15666;PMDB;Deferido;RENOVAÇÃO E EXPERIÊNCIA 1
BOLIVAR PEREIRA FILHO;BOLIVAR FILHO;Deputado Estadual;45645;PSDB;Deferido;FAZENDO MAIS POR NOSSA GENTE 1
BRUNO LUIS LITAIFF RAMALHO;BRUNO RAMALHO;Deputado Estadual;15789;PMDB;Aguardando julgamento;RENOVAÇÃO E EXPERIÊNCIA 1
CAMILA DE SOUZA FEITOSA;CAMILA SOUZA;Deputado Estadual;27444;PSDC;Deferido;RENOVAÇÃO E EXPERIÊNCIA 2
CAMILA RAMOS FERREIRA;CAMILA FERREIRA;Deputado Estadual;25963;DEM;Deferido;FAZENDO MAIS POR NOSSA GENTE II
CÂNDIDO HONÓRIO FERREIRA FILHO;CÂNDIDO HONÓRIO;Deputado Estadual;43476;PV;Aguardando julgamento;JUNTOS PELO POVO
CARLA ADRIANE OLIVEIRA NASCIMENTO;TRYNITY;Deputado Estadual;40740;PSB;Deferido;PSB
CARLOS ALBERTO BRITO DAVILA;PAI AMADO;Deputado Estadual;43111;PV;Deferido;JUNTOS PELO POVO
CARLOS ALBERTO DA SILVA NICACIO;NICÁCIO;Deputado Estadual;44115;PRP;Deferido;FAZENDO MAIS POR NOSSA GENTE III
CARLOS ALBERTO DE CASTRO ALMEIDA;PASTOR CARLOS ALBERTO;Deputado Estadual;10123;PRB;Deferido;RENOVAÇÃO E EXPERIÊNCIA 1
CARLOS ALBERTO RODRIGUES DE SOUZA;DR. CARLOS RODRIGUES;Deputado Estadual;45005;PSDB;Deferido;FAZENDO MAIS POR NOSSA GENTE 1
CARLOS AUGUSTO DA COSTA E SILVA;PROFº CARLOS;Deputado Estadual;25192;DEM;Deferido;FAZENDO MAIS POR NOSSA GENTE II
