Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADAMOR SANTANA LIBERAL DE JESUS;ADAMOR;Deputado Federal;5012;PSOL;Deferido;PSOL
ALEXANDRE SIMÕES DE SOUZA;ALEXANDRE SIMÕES;Deputado Federal;5011;PSOL;Deferido;PSOL
ALFREDO PEREIRA DO NASCIMENTO;ALFREDO NASCIMENTO;Deputado Federal;2222;PR;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
ALONSO OLIVEIRA DE SOUZA;DR. ALONSO OLIVEIRA;Deputado Federal;3600;PTC;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
ANA CRISTINA DE CARLI;ANA DE ' CARLI;Deputado Federal;7777;SD;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
ANA MARIA DOS SANTOS BRITO;ANINHA;Deputado Federal;1522;PMDB;Deferido;RENOVAÇÃO E EXPERIÊNCIA
ANA SUZY DE ALMEIDA CAVALCANTE;ANA SUZY;Deputado Federal;4423;PRP;Deferido;PRP
ANDERSON JOSE RAZORI;PARANA;Deputado Federal;4404;PRP;Deferido;PRP
ANTONIA NIELE DA COSTA SILVA;NIELE SILVA;Deputado Federal;1030;PRB;Deferido;RENOVAÇÃO E EXPERIÊNCIA
ANTONIO DO NASCIMENTO CORDEIRO;CORDEIRO;Deputado Federal;4444;PRP;Deferido;PRP
ARMANDO ANDRADE ARAUJO;DR. ARMANDO;Deputado Federal;4446;PRP;Deferido;PRP
ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO;ARTUR BISNETO;Deputado Federal;4545;PSDB;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
ATILA SIDNEY LINS DE ALBUQUERQUE;ATILA LINS;Deputado Federal;5525;PSD;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
AUXILIADORA DE SOUZA SANTOS;DORA SANTOS;Deputado Federal;5000;PSOL;Deferido;PSOL
BENILDES DOS SANTOS SILVA;BENILDES SILVA;Deputado Federal;4422;PRP;Deferido;PRP
CARLOS ALBERTO CAVALCANTE DE SOUZA;CARLOS SOUZA;Deputado Federal;5522;PSD;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
CARLOS CRISTIANO FELIX;CARLOS FELIX;Deputado Federal;9007;PROS;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
CARLOS RENÊ DE SOUZA FERNANDES;CARLOS PORTTA;Deputado Federal;4040;PSB;Deferido;PSB
CLEISIANE OLIVEIRA DA SILVA;CLEISIANE OLIVEIRA;Deputado Federal;7035;PT do B;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
CRISTIANE AMARAL SALES TELLES;CRISTIANE SALES;Deputado Federal;1312;PT;Deferido;RENOVAÇÃO E EXPERIÊNCIA
DAMIANA AMORIM CABRAL;DAMIANA AMORIM;Deputado Federal;1616;PSTU;Deferido;PSTU
DARCY GRAÇA VALERIO DE SOUSA;DARCY VALERIO;Deputado Federal;4445;PRP;Deferido;PRP
DARLENE MAQUINÉ DOS SANTOS;DARLENE MAQUINÉ;Deputado Federal;3346;PMN;Deferido;PMN
DEUSA RAMIRO LOPES;DEUSA SILVA;Deputado Federal;4022;PSB;Deferido;PSB
ELSON CARVALHO BEZERRA;ELSON BEZERRA;Deputado Federal;4400;PRP;Renúncia;PRP
ERIVALDO COUTINHO AGUIAR;ERIVALDINHO;Deputado Federal;5151;PEN;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
ERONILDO BRAGA BEZERRA;ERON BEZERRA;Deputado Federal;6565;PC do B;Deferido;RENOVAÇÃO E EXPERIÊNCIA
FERNANDO JOSÉ RODRIGUES LOBATO;FERNANDO LOBATO;Deputado Federal;5077;PSOL;Deferido;PSOL
FRANCISCO NAZARENO CORREA NEVES;CHICO NEVES;Deputado Federal;1300;PT;Deferido;RENOVAÇÃO E EXPERIÊNCIA
FRANCISCO RITTA BERNARDINO JUNIOR;RITTA BERNARDINO JR.;Deputado Federal;5515;PSD;Indeferido com recurso;FAZENDO MAIS POR NOSSA GENTE 1.
GEDEAO TIMOTEO AMORIM;GEDEÃO AMORIM;Deputado Federal;1555;PMDB;Deferido;RENOVAÇÃO E EXPERIÊNCIA
GILBERTO HILARIO DA SILVA;GILBERTO HILARIO;Deputado Federal;4456;PRP;Deferido;PRP
GILMAR EDUARDO COSTA DO COUTO;GILMAR COUTO;Deputado Federal;1717;PSL;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
GUARACY DE JESUS DIAS REBELO;GUARACY DE JESUS;Deputado Federal;5577;PSD;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
HISSA NAGIB ABRAHÃO FILHO;HISSA ABRAHÃO;Deputado Federal;2323;PPS;Deferido;RENOVAÇÃO E EXPERIÊNCIA
INALDO CRUZ PLACIDO;INALDO CRUZ PLACIDO;Deputado Federal;1222;PDT;Indeferido;RENOVAÇÃO E EXPERIÊNCIA
IVONE MARIA DO NASCIMENTO PERRONE;IVONE PERRONE;Deputado Federal;1344;PT;Deferido;RENOVAÇÃO E EXPERIÊNCIA
JOÃO PEDRO GONÇALVES DA COSTA;JOÃO PEDRO;Deputado Federal;1315;PT;Deferido;RENOVAÇÃO E EXPERIÊNCIA
JOSE ADALBERTO DA SILVA;ADAL;Deputado Federal;4350;PV;Indeferido com recurso;FAZENDO MAIS POR NOSSA GENTE 1.
JOSE DOS SANTOS NASCIMENTO;ZE NASCIMENTO;Deputado Federal;1313;PT;Deferido;RENOVAÇÃO E EXPERIÊNCIA
JOSE NILMAR ALVES DE OLIVEIRA;PASTOR NILMAR;Deputado Federal;1010;PRB;Deferido;RENOVAÇÃO E EXPERIÊNCIA
JOSE OTACI TEIXEIRA FILHO;OTACI TEIXERA;Deputado Federal;4405;PRP;Deferido;PRP
JOSÉ ROBERTO DOS SANTOS;ROBERTO SANTOS;Deputado Federal;5050;PSOL;Deferido;PSOL
KATIA CILENE DOS SANTOS SILVA;KATIA SANTOS;Deputado Federal;2014;PSC;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
LAURI DA SILVA GUERREIRO;LAURI GUERREIRO;Deputado Federal;4413;PRP;Deferido;PRP
LUIS FELIPE SILVA DE SOUZA;FELIPE SOUZA;Deputado Federal;1900;PTN;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
LUIZ ANTONIO CAMPOS CORREA;LUIZ ANTONIO;Deputado Federal;4411;PRP;Indeferido;PRP
LUIZ GONZAGA OLIVEIRA DE MORAES;GONZAGA DO ARSENAL;Deputado Federal;3101;PHS;Deferido;FAZENDO MAIS POR NOSSA GENTE 1.
MARCELA LIMA TEIXEIRA;MARCELA TEIXEIRA;Deputado Federal;5080;PSOL;Deferido;PSOL
MARCELO FURTADO MACHADO LEITÃO;MARCELO LEITÃO;Deputado Federal;2111;PCB;Deferido;PCB
MARCELO SOARES DE OLIVEIRA;MARCELO GENEROSO;Deputado Federal;2727;PSDC;Deferido;RENOVAÇÃO E EXPERIÊNCIA
MARCOS SERGIO ROTTA;MARCOS ROTTA;Deputado Federal;1515;PMDB;Deferido;RENOVAÇÃO E EXPERIÊNCIA
