Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ACÁCIO DA SILVA FAVACHO NETO;ACÁCIO FAVACHO;Deputado Estadual;15999;PMDB;Deferido;A FORÇA DO POVO
ACENILDO FURTADO DA COSTA;ACENILDO COSTA;Deputado Estadual;22700;PR;Deferido;Para o Amapá Avançar
ADAIL BARRIGA DIAS JUNIOR;ADAIL JR.;Deputado Estadual;70123;PT do B;Deferido;TRABALHO E CIDADANIA
ADAUTO CARLOS PAIVA COSTA;ADAUTO;Deputado Estadual;27888;PSDC;Aguardando julgamento;TRABALHO E LUTA
ADELSON BORGES ROCHA;ADELSON DE ROCHA;Deputado Estadual;55000;PSD;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
ADERVAN DE ATAIDE SOARES;ADERVAN;Deputado Estadual;20360;PSC;Deferido;PSC
ADIELSON VIEGAS DA SILVA;ADIELSON VIEGAS;Deputado Estadual;20300;PSC;Deferido;PSC
AGENOR BRUNO SAMPAIO;AGENOR BRUNO;Deputado Estadual;40120;PSB;Deferido;PSB
AGNALDO BALIEIRO DA GAMA;BALIEIRO;Deputado Estadual;40190;PSB;Aguardando julgamento;PSB
AILTON DIAS BELO COSTA;AILTON DIAS BELO;Deputado Estadual;70569;PT do B;Deferido;TRABALHO E CIDADANIA
AILTON FERREIRA DA COSTA;AILTON COSTA;Deputado Estadual;16123;PSTU;Deferido;PSTU
ALAIN CRISTOPHE FAÇANHA MEDEIROS;ALAN CRISTOPHE;Deputado Estadual;22123;PR;Deferido;Para o Amapá Avançar
ALAN MAURICIO FERREIRA DOS SANTOS;ALAN SANTOS;Deputado Estadual;13999;PT;Aguardando julgamento;AMAPÁ QUE AVANÇA
ALCIDES BRAZÃO;MAJOR ALCIDES;Deputado Estadual;20190;PSC;Deferido;PSC
ALDA CARDOSO SANTA ROSA;ALDA;Deputado Estadual;40013;PSB;Deferido;PSB
ALDEILDA MIRA BEZERRA;CAPITÃ MIRA;Deputado Estadual;50130;PSOL;Aguardando julgamento;AMAPÁ QUE AVANÇA
ALDETE MOREIRA MACEDO;ALDETE;Deputado Estadual;54222;PPL;Deferido;UNIDOS PELO AMAPÁ
ALDO DA SILVA BRITO;ALDO BRITO;Deputado Estadual;20100;PSC;Deferido;PSC
ALDO DE SOUZA OLIVEIRA;ALDO OLIVEIRA;Deputado Estadual;40333;PSB;Deferido;PSB
ALECIO BOIADEIRO AYRES NEGRAO;BOIADEIRO;Deputado Estadual;45321;PSDB;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
ALESSANDRO DE SOUSA DA SILVA;PROFESSOR ALESSANDRO;Deputado Estadual;27777;PSDC;Aguardando julgamento;TRABALHO E LUTA
ALEX CLEITON SA;ALEX SÁ;Deputado Estadual;55321;PSD;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
ALEX DE ALMEIDA PEREIRA;ALEX PEREIRA;Deputado Estadual;31800;PHS;Deferido;Para o Amapá Avançar
ALEXANDRE DOLABELA PEREIRA BARCELLOS;ALEXANDRE BARCELOS;Deputado Estadual;20200;PSC;Deferido;PSC
ALEXANDRE JULIO DA SILVA MARECO;ZÉ GALINHA;Deputado Estadual;22111;PR;Deferido;Para o Amapá Avançar
ALEXANDRE MIRANDA DA LUZ;IRMÃO ALEXANDRE;Deputado Estadual;44147;PRP;Deferido;PRP
ALLAN PATRICK PANTOJA DE OLIVEIRA;ALLAN RAMALHO;Deputado Estadual;40111;PSB;Deferido;PSB
ALMIRO ALVES DE ABREU;PROF ALMIRO ABREU;Deputado Estadual;55655;PSD;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
ALTAIR DE SOUZA FREITAS;ALTAIR;Deputado Estadual;10500;PRB;Deferido;Para o Amapá Avançar
ALTAIR JOSÉ MARTEL AYRES DA SILVA;MARTEL AGRA;Deputado Estadual;40100;PSB;Deferido;PSB
AMELIANY ASSUNÇÃO AZEVEDO;AMELIANY AZEVEDO;Deputado Estadual;20777;PSC;Deferido;PSC
AMIRALDO DA SILVA FAVACHO JUNIOR;JUNIOR FAVACHO;Deputado Estadual;15699;PMDB;Deferido;A FORÇA DO POVO
ANA CAMILA ROCHA MACIEL;ANA CAMILA;Deputado Estadual;22022;PR;Deferido;Para o Amapá Avançar
