Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADIMIRÇO DE ALMEIDA RAMOS;CORONEL ADIMIRÇO;Deputado Federal;2790;PSDC;Aguardando julgamento;Avança Amapá
AGORD DE MATOS PINTO;AGORD PINTO;Deputado Federal;3636;PTC;Deferido;O AMAPÁ QUE QUEREMOS
AGUIDA BARRIGA DA SILVA;PROFª. AGUIDA BARRIGA;Deputado Federal;2010;PSC;Deferido;O AMAPÁ QUE QUEREMOS
ALBERTO SAMUEL ALCOLUMBRE TOBELEM;ALBERTO ALCOLUMBRE;Deputado Federal;2580;DEM;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
ALDICLEIA LIRA GÓES;TEKA GÓES;Deputado Federal;1230;PDT;Deferido;A FORÇA DO POVO
ALDRIN NUNES TORRINHA;ALDRIN NUNES;Deputado Federal;9090;PROS;Deferido;Avança Amapá
ALISON DIEGO DOS SANTOS PINHEIRO;DIEGO DUARTE;Deputado Federal;1112;PP;Deferido;A FORÇA DO POVO
ALLAN ROSAS SALES;ALLAN SALES;Deputado Federal;2323;PPS;Deferido;O AMAPÁ QUE QUEREMOS
ALUIZIO SANTOS SILVA;ALUIZIO IDEIA;Deputado Federal;5151;PEN;Deferido;Avança Amapá
ALVARO DE OLIVEIRA CORREA JUNIOR;TENENTE JÚNIOR;Deputado Federal;4090;PSB;Deferido;FRENTE POPULAR A FAVOR DO AMAPA
ALZENIR DE SOUZA SANTOS;DRª. ALZENIR;Deputado Federal;5423;PPL;Deferido;O AMAPÁ QUE QUEREMOS
AMARILDO PORTO ARAÚJO;AMARILDO PORTO;Deputado Federal;1513;PMDB;Deferido;A FORÇA DO POVO
ANDRÉ DOS SANTOS ABDON;ANDRÉ ABDON;Deputado Federal;1010;PRB;Deferido;Avança Amapá
ANTONIA SOARES DOS SANTOS;IRMÃ TOINHA;Deputado Federal;5000;PSOL;Aguardando julgamento;FRENTE POPULAR A FAVOR DO AMAPA
ANTONIO DE DEUS NUNES DOS SANTOS;GRILO;Deputado Federal;4343;PV;Deferido;Avança Amapá
ANTONIO LUIZ COUTINHO MARQUES;TEN. PM ANTONIO LUIZ;Deputado Federal;2040;PSC;Deferido;O AMAPÁ QUE QUEREMOS
ANTONIO RAIMUNDO BLANC DOS SANTOS;TONI BLANC;Deputado Federal;2899;PRTB;Deferido;O AMAPÁ QUE QUEREMOS
ANTÔNIO ROBERTO RODRIGUES GÓES DA SILVA;ROBERTO GÓES;Deputado Federal;1212;PDT;Aguardando julgamento;A FORÇA DO POVO
ARLITA SÁ DA SILVA;PROFESSORA ARLI;Deputado Federal;2747;PSDC;Aguardando julgamento;Avança Amapá
BRUNA SUZI E SILVA XAVIER;BRUNA XAVIER;Deputado Federal;4580;PSDB;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
CAMILO OLIVEIRA DE SOUZA;CAMILO S.O.S;Deputado Federal;2828;PRTB;Deferido;O AMAPÁ QUE QUEREMOS
CLAUDIANE PINHEIRO ARAÚJO;CLAUDIANE ARAÚJO;Deputado Federal;1616;PSTU;Deferido;PSTU
CLAY PALMEIRA DA SILVA;CLAY PALMEIRA;Deputado Federal;4512;PSDB;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
CLESIO CASTRO DO CARMO;PROF. CLESIO PATCHACO;Deputado Federal;7777;SD;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
CONCEIÇÃO CORREA MEDEIROS;PROFª CONCEIÇÃO MEDEIROS;Deputado Federal;1236;PDT;Deferido;A FORÇA DO POVO
DALCILENE ANDRADE DE SOUSA;DALCI;Deputado Federal;7788;SD;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
DANIEL DOMINGOS DOS SANTOS;DANIEL JARI;Deputado Federal;4590;PSDB;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
DENISE APARECIDA MORELLI RIBEIRO;DRª. DENISE MORELLI;Deputado Federal;2011;PSC;Deferido;O AMAPÁ QUE QUEREMOS
EDILSON VIEIRA ROCHA;ROCHA DO SUCATÃO;Deputado Federal;1380;PT;Deferido;FRENTE POPULAR A FAVOR DO AMAPA
EDUARDO BRASIL DANTAS;EDUARDO DANTAS;Deputado Federal;1222;PDT;Deferido;A FORÇA DO POVO
EDUARDO SEABRA DA COSTA;EDUARDO SEABRA;Deputado Federal;1414;PTB;Deferido;O AMAPÁ QUE QUEREMOS
ELISANGELA LOPES CHAVES;ELISANGELA DE JESUS;Deputado Federal;2577;DEM;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
ELIZOMAR PEREIRA ALVES;DR ELIZOMAR;Deputado Federal;7080;PT do B;Deferido;Avança Amapá
EMERSON SILVEIRA DA SILVA;EMERSON SILVEIRA;Deputado Federal;1321;PT;Deferido;FRENTE POPULAR A FAVOR DO AMAPA
EUDES GOMES DA COSTA;SHEA GOMES;Deputado Federal;5021;PSOL;Deferido;FRENTE POPULAR A FAVOR DO AMAPA
EURICELIA MELO CARDOSO;EURICELIA CARDOSO;Deputado Federal;1111;PP;Aguardando julgamento;A FORÇA DO POVO
EURISON DE ANDRADE DA SILVA;ERISON REAL;Deputado Federal;2707;PSDC;Deferido;Avança Amapá
EVANDRO COSTA GAMA;EVANDRO GAMA;Deputado Federal;2855;PRTB;Deferido;O AMAPÁ QUE QUEREMOS
EVANDRO COSTA MILHOMEN;MILHOMEN;Deputado Federal;6566;PC do B;Aguardando julgamento;FRENTE POPULAR A FAVOR DO AMAPA
FABIANA FERREIRA BARROS;FABIANA;Deputado Federal;2716;PSDC;Aguardando julgamento;Avança Amapá
FÁTIMA LÚCIA PELAES;FÁTIMA PELAES;Deputado Federal;1515;PMDB;Deferido;A FORÇA DO POVO
FRAN SOARES NASCIMENTO JUNIOR;FRAN JUNIOR;Deputado Federal;3333;PMN;Aguardando julgamento;O AMAPÁ QUE QUEREMOS
FRANCISCO CRISTIANO LUCENA;CRISTIANO LUCENA;Deputado Federal;5013;PSOL;Deferido;FRENTE POPULAR A FAVOR DO AMAPA
FRANCISCO ODILON FILHO;ODILON;Deputado Federal;5412;PPL;Deferido;O AMAPÁ QUE QUEREMOS
GENIVALDO MARVULLI;DR. MARVULLI;Deputado Federal;5566;PSD;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
GEORGE CARLOS BARBOSA SANTANA;GEORGE;Deputado Federal;9012;PROS;Aguardando julgamento;Avança Amapá
GLAUBER WILLIAM SOUZA DOS SANTOS;WILLIAM SOUZA;Deputado Federal;2290;PR;Deferido;Avança Amapá
