Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
DAVID SAMUEL ALCOLUMBRE TOBELEM;DAVI ALCOLUMBRE;Senador;255;DEM;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
DORALICE NASCIMENTO DE SOUZA;DORA NASCIMENTO;Senador;131;PT;Aguardando julgamento;FRENTE POPULAR A FAVOR DO AMAPA
GILVAM PINHEIRO BORGES;GILVAM;Senador;152;PMDB;Aguardando julgamento;A FORÇA DO POVO
JORVAN TAVARES NASCIMENTO;PASTOR JORVAN;Senador;441;PRP;Aguardando julgamento;PRP
MANOEL RICARDO VILHENA;RICARDO VILHENA;Senador;210;PCB;Aguardando julgamento;PCB
MARCO ANTONIO REIS DE ABREU;MARQUINHO ABREU;Senador;280;PRTB;Deferido;PRTB
MOISES RIVALDO PEREIRA;PROMOTOR MOISÉS;Senador;511;PEN;Aguardando julgamento;UNIDOS PELO AMAPÁ QUE QUEREMOS
PALMIRA DAS NEVES BITTENCOURT;CORONEL PALMIRA;Senador;369;PTC;Deferido;PTC
PAULO RICARDO OLIVEIRA FARIAS;PROFESSOR PAULO RICARDO;Senador;161;PSTU;Deferido;PSTU
RAQUEL CAPIBERIBE DA SILVA;RAQUEL CAPIBRIBE;Senador;333;PMN;Aguardando julgamento;PMN
