Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
CLEINEIDE MOREIRA BATISTA;CLEINEIDE BATISTA;Senador 1º Suplente;511;PROS;Aguardando julgamento;UNIDOS PELO AMAPÁ QUE QUEREMOS
ELLIANE DE NAZARE SOUZA GOMES;ELLIANE GOMES;Senador 1º Suplente;210;PCB;Aguardando julgamento;PCB
HELIO JOÃO MARTINS E SILVA;HELIO MARTINS;Senador 1º Suplente;333;PMN;Aguardando julgamento;PMN
INES DO SOCORRO RABELO DA SILVA;INES RABELO;Senador 1º Suplente;280;PRTB;Deferido;PRTB
JOSE SAMUEL ALCOLUMBRE TOBELEM;JOSIEL;Senador 1º Suplente;255;DEM;Aguardando julgamento;JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA
JUCIMAR DIAS DA CUNHA;JUCIMAR DA CUNHA;Senador 1º Suplente;161;PSTU;Deferido;PSTU
PAULO FERNANDO BATISTA GUERRA;PAULO GUERRA;Senador 1º Suplente;152;PMDB;Aguardando julgamento;A FORÇA DO POVO
PAULO MOTA ROCHA;PAULO ROCHA;Senador 1º Suplente;131;PSB;Aguardando julgamento;FRENTE POPULAR A FAVOR DO AMAPA
RICARDO ALEXANDRE BATISTA DE SOUSA;RICARDO ALEXANDRE;Senador 1º Suplente;369;PTC;Deferido;PTC
RODRIGO LIMA JUNIOR;PASTOR RODRIGO LIMA;Senador 1º Suplente;441;PRP;Aguardando julgamento;PRP
