Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABISOLON PEREIRA DE OLIVEIRA;SARGENTO ABISOLON;Deputado Estadual;70417;PT do B;Indeferido;PT do B
ACLAUDIMAR ALELUIA DE OLIVEIRA;CADI;Deputado Estadual;31789;PHS;Aguardando julgamento;PHS
ADALICE DOS SANTOS PEDREIRA;ADALICE;Deputado Estadual;44600;PRP;Deferido;JUNTOS SOMOS FORTES
ADELMO DOS REIS NUNES;ADELMO NUNES;Deputado Estadual;43120;PV;Aguardando julgamento;JUNTOS SOMOS FORTES
ADELMO FERREIRA SILVA;ADELMO SILVA;Deputado Estadual;17255;PSL;Renúncia;UM NOVO CAMINHO PARA  A BAHIA
ADEMILSON DA ROCHA SANTOS;TIZIU;Deputado Estadual;13213;PT;Deferido;PRA BAHIA AVANÇAR MAIS
ADERBAL FULCO CALDAS;ADERBAL CALDAS;Deputado Estadual;11111;PP;Deferido;PRA BAHIA AVANÇAR MAIS
ADMILSON CRISPINIANO JOSÉ DOS SANTOS;ADMILSON LILICO;Deputado Estadual;50322;PSOL;Deferido;PSOL
ADOLFO EMANUEL MONTEIRO DE MENEZES;ADOLFO MENEZES;Deputado Estadual;55111;PSD;Aguardando julgamento;PRA BAHIA AVANÇAR MAIS
ADOLFO VIANA DE CASTRO NETO;ADOLFO VIANA;Deputado Estadual;45450;PSDB;Deferido;UNIDOS PARA UMA BAHIA MELHOR
ADRIANO BARBOSA MEIRELES;ADRIANO MEIRELES;Deputado Estadual;22123;PR;Deferido;PRA BAHIA AVANÇAR MAIS
ADRIANO SILVA LIMA;ADRIANO SILVA LIMA;Deputado Estadual;25170;DEM;Deferido;UNIDOS PARA UMA BAHIA MELHOR
ADSON DE SANTANA GOMES;ADSON GOMES;Deputado Estadual;28500;PRTB;Deferido;POR UMA BAHIA LIVRE E JUSTA
AILDA SANTOS BORBA;AILDA BORBA (DECA);Deputado Estadual;19187;PTN;Deferido;UNIDOS PARA UMA BAHIA MELHOR
AILTON TOMAZELLI;AILTON TOMAZELLI;Deputado Estadual;36444;PTC;Deferido;JUNTOS SOMOS FORTES
AISLAN REIS ROCHA;AISLAN ROCHA;Deputado Estadual;65100;PC do B;Deferido;PC do B
ALAN DE CASTRO DAYUBE;ALAN CASTRO;Deputado Estadual;19700;PTN;Deferido;UNIDOS PARA UMA BAHIA MELHOR
ALAN EDUARDO SANCHES DOS SANTOS;ALAN SANCHES;Deputado Estadual;55000;PSD;Deferido;PRA BAHIA AVANÇAR MAIS
ALARICO FAGUNDES BRAZ;ALARICO BRAZ;Deputado Estadual;33055;PMN;Deferido;PRA BAHIA SEGUIR MUDANDO
ALBEIA RODRIGUES ARAÚJO;ABELHINHA;Deputado Estadual;20022;PSC;Deferido;UNIDOS PARA UMA BAHIA MELHOR
ALBERT ARAUJO SOUZA FERREIRA;ALBERT FERREIRA;Deputado Estadual;51510;PEN;Aguardando julgamento;POR UMA BAHIA LIVRE E JUSTA
ALBERTO PEREIRA CASTRO;ALBERTO CASTRO;Deputado Estadual;19345;PTN;Deferido;UNIDOS PARA UMA BAHIA MELHOR
ALDA JUSTINA DOS SANTOS;ALDA JUSTINA;Deputado Estadual;10252;PRB;Deferido;UNIDOS PARA UMA BAHIA MELHOR
ALDENES MEIRA SANTOS;ALDENES MEIRA;Deputado Estadual;65111;PC do B;Deferido;PC do B
ALDO JOSE CORDEIRO DE ALCANTARA;ALDO RABELO;Deputado Estadual;51001;PEN;Indeferido;POR UMA BAHIA LIVRE E JUSTA
ALECSANDRO DE SOUZA SANTOS;LÉO KRET DO BRASIL;Deputado Estadual;25024;DEM;Deferido;UNIDOS PARA UMA BAHIA MELHOR
ALESSANDRO DE SOUZA NEVES;NEVES;Deputado Estadual;23999;PPS;Deferido;JUNTOS SOMOS FORTES
ALESSANDRO SANTANA VASCONCELOS NASCIMENTO;ALESSANDRO;Deputado Estadual;70222;PT do B;Indeferido;PT do B
ALEX DE CASTRO LIMA;ALEX LIMA;Deputado Estadual;19123;PTN;Deferido;UNIDOS PARA UMA BAHIA MELHOR
ALEX LOPES DA SILVA;ALEX DA PIATÃ;Deputado Estadual;15150;PMDB;Deferido;UNIDOS PARA UMA BAHIA MELHOR
ALEXANDRE SANTOS NASCIMENTO;ALEXANDRE NASCIMENTO;Deputado Estadual;43500;PV;Deferido;JUNTOS SOMOS FORTES
ALFINA MARIA DE ANDRADE;ALFINA NINHA;Deputado Estadual;65601;PC do B;Deferido;PC do B
ALFREDO BOA SORTE JUNIOR;ALFREDO BOA SORTE;Deputado Estadual;65789;PC do B;Deferido;PC do B
ALFREDO NASCIMENTO CARVALHO;ALFREDO ALVORADA;Deputado Estadual;51028;PEN;Aguardando julgamento;POR UMA BAHIA LIVRE E JUSTA
ALINE CAPISTRANO DOS SANTOS;ALINE;Deputado Estadual;17001;PSL;Aguardando julgamento;UM NOVO CAMINHO PARA  A BAHIA
ALINE MARCIEL DE ALMEIDA;ALINE MACIEL;Deputado Estadual;51998;PEN;Indeferido;POR UMA BAHIA LIVRE E JUSTA
