Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ACELINO FREITAS;POPÓ;Deputado Federal;1000;PRB;Deferido;UNIDOS POR UMA BAHIA MELHOR
ADALBERTO LELIS FILHO;BETO LELIS;Deputado Federal;1540;PMDB;Aguardando julgamento;UNIDOS POR UMA BAHIA MELHOR
ADALBERTO SOUZA GALVAO;BEBETO;Deputado Federal;4013;PSB;Deferido;UM NOVO CAMINHO PARA  A BAHIA
ADILSON COSTA NOGUEIRA;ADILSON NOGUEIRA;Deputado Federal;3151;PHS;Aguardando julgamento;PHS
ADILSON PINTO BRANDAO;ADILSON BRANDAO;Deputado Federal;2822;PRTB;Deferido;POR UMA BAHIA LIVRE E JUSTA
ADILSON VICENTE DA SILVA;ADILSON SILVA;Deputado Federal;1777;PSL;Deferido;UM NOVO CAMINHO PARA  A BAHIA
ADRIANA SANTOS SILVA;ADRIANA SANTOS;Deputado Federal;4002;PSB;Aguardando julgamento;UM NOVO CAMINHO PARA  A BAHIA
ADRIANA SILVA ROSARIO;PROFESSORA ADRIANA SILVA;Deputado Federal;2820;PRTB;Indeferido;POR UMA BAHIA LIVRE E JUSTA
ADSON MUNIZ SANTOS;ADSON MUNIZ;Deputado Federal;1090;PRB;Deferido;UNIDOS POR UMA BAHIA MELHOR
AFONSO BANDEIRA FLORENCE;AFONSO FLORENCE;Deputado Federal;1301;PT;Deferido;MAIS MUDANÇAS, NOVAS CONQUISTAS
ALANA MARIA FERREIRA BISPO;ALANA FERREIRA;Deputado Federal;5081;PSOL;Deferido;PSOL
ALBERTO FÁBIO FERREIRA DE SANTANA;CAPITÃO FÁBIO;Deputado Federal;2529;DEM;Deferido;UNIDOS POR UMA BAHIA MELHOR
ALECCIENE CHAVES GUSMAO;ALECCIENE;Deputado Federal;4099;PSB;Deferido;UM NOVO CAMINHO PARA  A BAHIA
ALEX SACRAMENTO DA CUNHA;ALEX DE ARGENTINO;Deputado Federal;2789;PSDC;Aguardando julgamento;JUNTOS SOMOS FORTES
ALEXANDRE GOMES MARQUES;ALEXANDRE MARQUES;Deputado Federal;4477;PRP;Deferido;JUNTOS SOMOS FORTES
ALEXSANDRO NASCIMENTO DA SILVA;LEO QUEIROZ;Deputado Federal;4404;PRP;Deferido;JUNTOS SOMOS FORTES
ALICE MAZZUCO PORTUGAL;ALICE PORTUGAL;Deputado Federal;6522;PC do B;Deferido;MAIS MUDANÇAS, NOVAS CONQUISTAS
ALMIR LEMOS;ALMIR LEMOS;Deputado Federal;3169;PHS;Indeferido;PHS
ALONSO JOSE DOS SANTOS CAMANDAROBA;ALONSO CAMANDAROBA;Deputado Federal;4355;PV;Deferido;JUNTOS SOMOS FORTES
ALTINA DE SENA GOMES MOREIRA;IRMÃ NETA;Deputado Federal;3630;PTC;Não conhecimento do pedido;JUNTOS SOMOS FORTES
ALTINA DE SENA GOMES MOREIRA;IRMÃ NETA;Deputado Federal;3630;PTC;Indeferido;JUNTOS SOMOS FORTES
ALVIR DOS SANTOS SILVA;ALVIR SILVA;Deputado Federal;5138;PEN;Indeferido;POR UMA BAHIA LIVRE E JUSTA
AMADEUS DOS SANTOS SILVA;AMADEUS;Deputado Federal;1717;PSL;Deferido;UM NOVO CAMINHO PARA  A BAHIA
AMAURI SANTOS TEIXEIRA;AMAURI TEIXEIRA;Deputado Federal;1311;PT;Deferido;MAIS MUDANÇAS, NOVAS CONQUISTAS
