Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
AÉCIO NEVES DA CUNHA;AÉCIO NEVES;Presidente;45;PSDB;Aguardando julgamento;MUDA BRASIL
DILMA VANA ROUSSEFF;DILMA;Presidente;13;PT;Deferido;COLIGAÇÃO COM A FORÇA DO POVO
EDUARDO HENRIQUE ACCIOLY CAMPOS;EDUARDO CAMPOS;Presidente;40;PSB;Deferido;UNIDOS PELO BRASIL
EDUARDO JORGE MARTINS ALVES SOBRINHO;EDUARDO JORGE;Presidente;43;PV;Deferido;PV
EVERALDO DIAS PEREIRA;PASTOR EVERALDO;Presidente;20;PSC;Deferido;PSC
JOSÉ LEVY FIDELIX DA CRUZ;LEVY FIDELIX;Presidente;28;PRTB;Deferido;PRTB
JOSÉ MARIA DE ALMEIDA;ZÉ MARIA;Presidente;16;PSTU;Deferido;PSTU
JOSE MARIA EYMAEL;EYMAEL;Presidente;27;PSDC;Deferido;PSDC
LUCIANA KREBS GENRO;LUCIANA GENRO;Presidente;50;PSOL;Deferido;PSOL
MAURO LUÍS IASI;MAURO IASI;Presidente;21;PCB;Deferido;PCB
RUI COSTA PIMENTA;RUI COSTA PIMENTA;Presidente;29;PCO;Deferido;PCO
