Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ALOYSIO NUNES FERREIRA FILHO;ALOYSIO NUNES FERREIRA;Vice-Presidente;45;PSDB;Aguardando julgamento;MUDA BRASIL
BELSASAR ROBERTO LOPES;ROBERTO LOPES;Vice-Presidente;27;PSDC;Deferido;PSDC
CELIA OLIVEIRA DE JESUS SACRAMENTO;CÉLIA SACRAMENTO;Vice-Presidente;43;PV;Deferido;PV
CLAUDIA ALVES DURANS;CLAUDIA DURANS;Vice-Presidente;16;PSTU;Deferido;PSTU
JORGE LEONARDO PAZ;JORGE PAZ;Vice-Presidente;50;PSOL;Deferido;PSOL
JOSÉ ALVES DE OLIVEIRA;CEL. JOSÉ ALVES;Vice-Presidente;28;PRTB;Deferido;PRTB
LEONARDO DE MELO GADELHA;LEONARDO GADELHA;Vice-Presidente;20;PSC;Deferido;PSC
MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA;MARINA SILVA;Vice-Presidente;40;PSB;Deferido;UNIDOS PELO BRASIL
MICHEL MIGUEL ELIAS TEMER LULIA;MICHEL TEMER;Vice-Presidente;13;PMDB;Deferido;COLIGAÇÃO COM A FORÇA DO POVO
RICARDO DE SOUSA MACHADO;RICARDO MACHADO;Vice-Presidente;29;PCO;Deferido;PCO
SOFIA PÁDUA MANZANO;SOFIA MANZANO;Vice-Presidente;21;PCB;Deferido;PCB
