Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ACACI ANTONIO DE AMORIM;ACACI;Deputado Estadual;65400;PC do B;Deferido;PC do B
ADELMO QUEIROZ DE AQUINO;ADELMO AQUINO;Deputado Estadual;77111;SD;Indeferido com recurso;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
ADRIANA RODRIGUES ALVES;ADRIANA RODRIGGUES;Deputado Estadual;51700;PEN;Deferido;PEN - PRTB - PPL
ADRIANA RODRIGUES DA SILVA;ADRIANA RODRIGUES;Deputado Estadual;36295;PTC;Deferido;PTC
AGAMENON CORREIA GARCEZ;IR AGAMENON HOMEM DA CADEIRA;Deputado Estadual;19888;PTN;Deferido;Renove e Comprove
AGENOR GOMES DE ARAUJO NETO;AGENOR NETO;Deputado Estadual;15888;PMDB;Deferido;PMDB/PR/DEM/PRP/PSDB
AGENOR MANOEL RIBEIRO;AGENOR RIBEIRO;Deputado Estadual;27013;PSDC;Indeferido com recurso;Renove e Comprove
AGOSTINHO CLESON DE SOUSA LIMA;CLESON DAS TOPICS;Deputado Estadual;51101;PEN;Renúncia;PEN - PRTB - PPL
AGOSTINHO FREDERICO CARMO GOMES;TIN GOMES;Deputado Estadual;31234;PHS;Deferido;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
AGRIPINO RODRIGUES GOMES MAGALHÃES;AGRIPINO MAGALHÃES;Deputado Estadual;27700;PSDC;Deferido;Renove e Comprove
AGUINALDO DE FRANCA RODRIGUES;BOB SIGHT;Deputado Estadual;20027;PSC;Deferido;PSC
ALEXANDRA DA CUNHA SA;ALEXANDRA SA;Deputado Estadual;19881;PTN;Deferido;Renove e Comprove
ALEXANDRE CUNHA JOCA;PASTOR ALEXANDRE JOCA;Deputado Estadual;28123;PRTB;Deferido;PEN - PRTB - PPL
ALINE DA SILVA SOUZA;ALINE SOUZA;Deputado Estadual;36967;PTC;Indeferido;PTC
ALISIO DE MENEZES MEIRA;ALISIO MEIRA;Deputado Estadual;13000;PT;Deferido;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
ALISSON ANDRADE DA COSTA;ALISSON ANDRADE;Deputado Estadual;51100;PEN;Renúncia;PEN - PRTB - PPL
ALMIR ANTONIO DE SOUSA;ALMIR GUILHERME;Deputado Estadual;45001;PSDB;Deferido;PMDB/PR/DEM/PRP/PSDB
ALMIR CARNEIRO DE SOUSA;ALMIR CARNEIRO;Deputado Estadual;20301;PSC;Aguardando julgamento;PSC
ALOISIO TEIXEIRA DE PAULA;ALOISIO TEIXEIRA;Deputado Estadual;44777;PRP;Deferido;PMDB/PR/DEM/PRP/PSDB
ALYNNE SENA NUNES;ALYNNE SENA;Deputado Estadual;22286;PR;Deferido;PMDB/PR/DEM/PRP/PSDB
AMALIA LOPES DE SOUSA;AMÁLIA;Deputado Estadual;11555;PP;Deferido;PP - PT DO B - PMN
AMARILIO FRANCISCO MOURA DE MELO;CEL AMARILIO MELO;Deputado Estadual;51999;PEN;Indeferido;PEN - PRTB - PPL
ANA CLEIDE PEREIRA GOMES;ANA CLEIDE;Deputado Estadual;12112;PDT;Indeferido;PDT
ANA CRISTHINA DE OLIVEIRA BRASIL;CRISTHINA BRASIL;Deputado Estadual;70654;PT do B;Deferido;PP - PT DO B - PMN
ANA JULIA DA COSTA BRAVO;ANA JULIA BRAVO;Deputado Estadual;70023;PT do B;Aguardando julgamento;PP - PT DO B - PMN
ANA LAIS PEIXOTO CORREIA NUNES;LAIS NUNES;Deputado Estadual;90555;PROS;Deferido;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
ANA LUIZA VIEIRA DE SOUSA;ANA LUIZA;Deputado Estadual;70070;PT do B;Deferido;PP - PT DO B - PMN
ANA MARIA FERREIRA DA CUNHA CAMPOS;ANA MARIA CUNHA;Deputado Estadual;13444;PT;Deferido;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
ANA PAULA BRANDÃO DA SILVA;ANA PAULA BRANDÃO;Deputado Estadual;65789;PC do B;Deferido;PC do B
ANA PAULA GOMES DA CRUZ;ANA PAULA CRUZ;Deputado Estadual;31147;PHS;Renúncia;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
ANA VALERIA ESCOLASTICO MENDONÇA;VALERIA MENDONÇA;Deputado Estadual;13300;PT;Deferido;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
ANA VALERIA MOREIRA MONTEIRO;VALERIA MOREIRA;Deputado Estadual;31618;PHS;Deferido;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
ANDRÉ BARRETO ESMERALDO;ANDRÉ BARRETO;Deputado Estadual;28888;PRTB;Deferido;PEN - PRTB - PPL
ANDREA PEREIRA DA SILVA;ANDREA PEREIRA;Deputado Estadual;19444;PTN;Deferido;Renove e Comprove
ANGELITA MAGALHÃES MARTINS;ANGELITA MARTINS;Deputado Estadual;10444;PRB;Deferido;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
ANTERO TEMOTEO DE MACEDO NETO;PROFESSOR ANTERO;Deputado Estadual;22124;PR;Deferido;PMDB/PR/DEM/PRP/PSDB
ANTONIA GERCINA RIBEIRO LOPES;GERCINA DO HOSPITAL;Deputado Estadual;23909;PPS;Indeferido com recurso;Renove e Comprove
ANTONIA SILVIA NUNES DE SOUSA;TOINHA;Deputado Estadual;36839;PTC;Indeferido;PTC
ANTONIA WELA FERNANDES BASTOS;WELA BASTOS;Deputado Estadual;36002;PTC;Indeferido;PTC
ANTÔNIO ACCIOLY MAIA NETO;ACCIOLY MAIA;Deputado Estadual;28555;PRTB;Deferido;PEN - PRTB - PPL
ANTONIO AGENOR CAVALCANTE MOTA;AGENOR MOTA;Deputado Estadual;20223;PSC;Deferido;PSC
ANTONIO ALCYMAR MONTEIRO DOS SANTOS;ALCYMAR MONTEIRO;Deputado Estadual;27222;PSDC;Deferido;Renove e Comprove
ANTONIO ALVES PAIVA;TOINHO PAIVA;Deputado Estadual;27123;PSDC;Deferido;Renove e Comprove
ANTONIO ARNALDO FORTE DOS SANTOS;ARNALDO FORTE;Deputado Estadual;45678;PSDB;Deferido;PMDB/PR/DEM/PRP/PSDB
ANTONIO AUCELIO FELIPE COUTINHO;AUCELIO COUTINHO;Deputado Estadual;65175;PC do B;Deferido;PC do B
ANTONIO BANDEIRA JUNIOR;BANDEIRA JR;Deputado Estadual;15444;PMDB;Deferido;PMDB/PR/DEM/PRP/PSDB
ANTONIO CARLOS DE FREITAS SOUZA;ANTONIO CARLOS;Deputado Estadual;13131;PT;Deferido;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
ANTONIO CLAUDIO GOMES SILVA;CLAUDIO GOMES PICI;Deputado Estadual;36136;PTC;Deferido;PTC
ANTONIO ELIAS DA COSTA;PROF. ELIAS;Deputado Estadual;45455;PSDB;Deferido;PMDB/PR/DEM/PRP/PSDB
ANTONIO ERONILDO MOREIRA DA SILVA;HERON MOREIRA;Deputado Estadual;50144;PSOL;Deferido;Frente de Esquerda Socialista
ANTONIO FARIAS DE SOUSA;A ONDE É;Deputado Estadual;36497;PTC;Indeferido com recurso;PTC
ANTONIO FRANCISCO DE OLIVEIRA;PASTOR ANTONIO OLIVEIRA;Deputado Estadual;20100;PSC;Deferido;PSC
ANTÔNIO FRANÇUÁ MACIEL;FRANÇUÁ MACIEL;Deputado Estadual;10888;PRB;Deferido;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
ANTONIO HERMINIO BEZERRA RESENDE;HERMINIO RESENDE;Deputado Estadual;90852;PROS;Renúncia;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
ANTONIO HILDEGARDIS FERREIRA;POETA HILDEGARDES;Deputado Estadual;50300;PSOL;Deferido;Frente de Esquerda Socialista
ANTONIO HOLANDA LIMA;HOLANDA DO POVÃO;Deputado Estadual;70999;PT do B;Deferido;PP - PT DO B - PMN
ANTONIO MARCOS COSTA BEZERRA;MARCOS COSTA;Deputado Estadual;20190;PSC;Deferido;PSC
ANTONIO MAURICIO BEZERRA;DR. MAURICIO BEZERRA;Deputado Estadual;36140;PTC;Deferido;PTC
ANTONIO MENDES PACÍFICO;PACIFICO;Deputado Estadual;36789;PTC;Deferido;PTC
ANTONIO PEDRO COELHO;PEDRO COELHO;Deputado Estadual;19331;PTN;Deferido;Renove e Comprove
ANTONIO PINHEIRO GRANJA;ANTONIO GRANJA;Deputado Estadual;90000;PROS;Deferido;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
ANTONIO ROQUE DE ARAUJO;DEPUTADO ROQUE;Deputado Estadual;90222;PROS;Indeferido;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
ANTONIO VALDENIZO DA COSTA;NIZO COSTA;Deputado Estadual;27000;PSDC;Deferido;Renove e Comprove
ARLINDO AUGUSTO DE ARAÚJO FILHO;PROFESSOR ARLINDO;Deputado Estadual;15650;PMDB;Deferido;PMDB/PR/DEM/PRP/PSDB
ARLINDO GIRÃO MOTA;ARLINDO MOTA;Deputado Estadual;22777;PR;Deferido;PMDB/PR/DEM/PRP/PSDB
ARTUR JOSE VIEIRA BRUNO;ARTUR BRUNO;Deputado Estadual;13222;PT;Deferido;PRB/PT/PTB/PSL/PHS/PV/PSD/SD/PROS
AUDIC CAVALCANTE MOTA DIAS;AUDIC MOTA;Deputado Estadual;15610;PMDB;Aguardando julgamento;PMDB/PR/DEM/PRP/PSDB
AUGUSTA BRITO DE PAULA;AUGUSTA BRITO;Deputado Estadual;65700;PC do B;Indeferido com recurso;PC do B
AUGUSTO FERREIRA DA SILVA NETO;DR. AUGUSTO NETO;Deputado Estadual;36117;PTC;Deferido;PTC
AURELIO JOSE JARDIM JERONIMO;AURELIO JARDIM;Deputado Estadual;19234;PTN;Deferido;Renove e Comprove
BENAIA SILVA NASCIMENTO;BENAIA;Deputado Estadual;36829;PTC;Renúncia;PTC
BENEDITO DA COSTA SOUSA;PASTOR BENEDITO;Deputado Estadual;20303;PSC;Aguardando julgamento;PSC
BRENDA DE SOUSA VIEIRA;BRENDA VIEIRA;Deputado Estadual;20044;PSC;Deferido;PSC
BRUNA FEITOZA ALMEIDA;BRUNA FEITOSA;Deputado Estadual;51085;PEN;Deferido;PEN - PRTB - PPL
BRUNO BARROS GONCALVES;DR BRUNO GONCALVES;Deputado Estadual;51515;PEN;Deferido;PEN - PRTB - PPL
BRUNO FERREIRA DE SOUSA;BRUNO DE SEU GINO;Deputado Estadual;40222;PSB;Deferido;PSB
BRUNO TORQUATO PEDROSA;BRUNO PEDROSA;Deputado Estadual;20222;PSC;Deferido;PSC
CAETANO GUEDES JÚNIOR;JUNIOR GUEDES;Deputado Estadual;22300;PR;Renúncia;PMDB/PR/DEM/PRP/PSDB
CAIO DANIEL MENESES LOUREIRO;CAIO LOUREIRO;Deputado Estadual;12332;PDT;Deferido;PDT
CARLA DE ANDRADE GOMES;CARLA ANDRADE;Deputado Estadual;27534;PSDC;Deferido;Renove e Comprove
CARLOMANO GOMES MARQUES;CARLOMANO MARQUES;Deputado Estadual;15150;PMDB;Deferido com recurso;PMDB/PR/DEM/PRP/PSDB
CARLOS ALBERTO DE CARVALHO PONTES;BETO PONTES;Deputado Estadual;51333;PEN;Deferido;PEN - PRTB - PPL
