Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABRAAO LUCIANO DOS SANTOS COSTA;CAPITAO ABRAAO;Deputado Federal;2727;PSDC;Deferido;EM DEFESA DO CEARÁ
ADELITA MONTEIRO NUNES;ADELITA MONTEIRO;Deputado Federal;5000;PSOL;Deferido;Frente de Esquerda Socialista
ADRIANO ROBERTO DO VALE;ADRIANO DO VALE-VAQUEIRO IOIO;Deputado Federal;4001;PSB;Deferido;PSB
ALBA CRISTINA NOGUEIRA LOPES;ALBA CRISTINA;Deputado Federal;1351;PT;Deferido;PRB /PP /PDT /PT /PTB /PSL /PHS /PSD /PC DO B /SD /PROS
ALCÂNTARA LOBO DE ASSIS;CABO LOBO;Deputado Federal;2291;PR;Deferido;PMDB/PSC/PR/PRP/PSDB
ALEXANDRE LINHARES COLARES;ALEX LINHARES;Deputado Federal;3617;PTC;Deferido;PTC - PEN - PV - PT DO B - PRTB - PMN - PPL
ALINE RODRIGUES DE ANDRADE MAGALHAES;MACACO TIAO MAGALHAES;Deputado Federal;3171;PHS;Deferido;PRB /PP /PDT /PT /PTB /PSL /PHS /PSD /PC DO B /SD /PROS
ALIPIO RODRIGUES DE OLIVEIRA NETO;ALIPIO RODRIGUES;Deputado Federal;1999;PTN;Renúncia;EM DEFESA DO CEARÁ
AMILTON ALVES GOMES;CAPITÃO AMILTON;Deputado Federal;2700;PSDC;Deferido;EM DEFESA DO CEARÁ
ANA MIRTES LEITE MACHADO;ANA MIRTES;Deputado Federal;1511;PMDB;Indeferido;PMDB/PSC/PR/PRP/PSDB
ANA PAULA ALVES FERREIRA;ANA PAULA;Deputado Federal;2567;DEM;Deferido;EM DEFESA DO CEARÁ
ANDRÉ  RAMOS SILVA;ANDRÉ RAMOS;Deputado Federal;5454;PPL;Deferido;PTC - PEN - PV - PT DO B - PRTB - PMN - PPL
ANDRE PEIXOTO FIGUEIREDO LIMA;ANDRÉ FIGUEIREDO;Deputado Federal;1234;PDT;Deferido;PRB /PP /PDT /PT /PTB /PSL /PHS /PSD /PC DO B /SD /PROS
ANIBAL FERREIRA GOMES;ANIBAL;Deputado Federal;1500;PMDB;Deferido;PMDB/PSC/PR/PRP/PSDB
ANTÔNIA AURENI DE CARVALHO ALBUQUERQUE;NINA CARVALHO;Deputado Federal;1090;PRB;Deferido;PRB /PP /PDT /PT /PTB /PSL /PHS /PSD /PC DO B /SD /PROS
ANTONIA GLEIDE DA SILVA SANTOS;GLEIDE MARQUES;Deputado Federal;2815;PRTB;Deferido;PTC - PEN - PV - PT DO B - PRTB - PMN - PPL
ANTÔNIO ALMIR DE SOUSA;ALMIR SOUSA;Deputado Federal;4050;PSB;Deferido;PSB
ANTONIO AUGUSTO MOREIRA DE MENEZES;DUTE;Deputado Federal;4455;PRP;Deferido;PMDB/PSC/PR/PRP/PSDB
ANTONIO BALHMANN CARDOSO NUNES FILHO;BALMAN;Deputado Federal;9000;PROS;Deferido;PRB /PP /PDT /PT /PTB /PSL /PHS /PSD /PC DO B /SD /PROS
ANTONIO CARLOS DE SA BRANDAO;CARLOS SÁ;Deputado Federal;4044;PSB;Deferido;PSB
ANTONIO CARLOS RIBEIRO DE MORAIS;ANTONIO CARLOS RIBEIRO;Deputado Federal;4320;PV;Deferido;PTC - PEN - PV - PT DO B - PRTB - PMN - PPL
ANTONIO EUDES XAVIER;EUDES XAVIER;Deputado Federal;1312;PT;Deferido;PRB /PP /PDT /PT /PTB /PSL /PHS /PSD /PC DO B /SD /PROS
ANTONIO FERNANDES DA SILVA FILHO;FERNANDES FILHO;Deputado Federal;2580;DEM;Deferido;EM DEFESA DO CEARÁ
ANTONIO REGINALDO COSTA MOREIRA;REGINALDO MOREIRA;Deputado Federal;3333;PMN;Deferido;PTC - PEN - PV - PT DO B - PRTB - PMN - PPL
BENJAMIM DA SILVA LIMA;BENJAMIM;Deputado Federal;2590;DEM;Deferido;EM DEFESA DO CEARÁ
CARLOS ALBERTO SOUSA MADEIRA;CARLOS MADEIRA;Deputado Federal;4099;PSB;Indeferido;PSB
CARLOS FRANCISCO BONAPARTE;BONAPARTE;Deputado Federal;4512;PSDB;Deferido;PMDB/PSC/PR/PRP/PSDB
CARLOS MAURO CABRAL BENEVIDES;MAURO BENEVIDES;Deputado Federal;1555;PMDB;Deferido;PMDB/PSC/PR/PRP/PSDB
CELIA ROMERO GONÇALVES RODRIGUES;CELIA ROMERO;Deputado Federal;1310;PT;Deferido;PRB /PP /PDT /PT /PTB /PSL /PHS /PSD /PC DO B /SD /PROS
CELINA NETO DA MOTTA;CELINA MOTTA;Deputado Federal;5118;PEN;Deferido;PTC - PEN - PV - PT DO B - PRTB - PMN - PPL
CELIO STUDART BARBOSA;CELIO STUDART;Deputado Federal;4321;PV;Deferido;PTC - PEN - PV - PT DO B - PRTB - PMN - PPL
CÍCERA MARIA ARAÚJO;CICERA;Deputado Federal;3311;PMN;Deferido;PTC - PEN - PV - PT DO B - PRTB - PMN - PPL
CRISTIANO DA SILVA ANDRADE;CRISTIANO ANDRADE;Deputado Federal;3399;PMN;Renúncia;PTC - PEN - PV - PT DO B - PRTB - PMN - PPL
DARLAN MENEZES ABRANTES;DARLAN ABRANTES;Deputado Federal;4574;PSDB;Deferido;PMDB/PSC/PR/PRP/PSDB
DEODATO JOSE RAMALHO JUNIOR;DEODATO RAMALHO;Deputado Federal;1321;PT;Deferido;PRB /PP /PDT /PT /PTB /PSL /PHS /PSD /PC DO B /SD /PROS
DIONES DA SILVA MOURA;BIDONGA;Deputado Federal;2711;PSDC;Deferido;EM DEFESA DO CEARÁ
DOMINGOS GOMES DE AGUIAR NETO;DOMINGOS NETO;Deputado Federal;9090;PROS;Deferido;PRB /PP /PDT /PT /PTB /PSL /PHS /PSD /PC DO B /SD /PROS
DOMINGOS SAVIO BEZERRA GONÇALVES;DOMINGOS GONÇALVES;Deputado Federal;4004;PSB;Deferido;PSB
DULCILDO BEZERRA DE OLIVEIRA;MAJOR DULCILDO;Deputado Federal;1901;PTN;Deferido;EM DEFESA DO CEARÁ
EDILSON ALVES MARTINS PINTO;PROFESSOR EDILSON;Deputado Federal;5033;PSOL;Deferido;Frente de Esquerda Socialista
EDSON SILVA;EDSON SILVA;Deputado Federal;9013;PROS;Deferido;PRB /PP /PDT /PT /PTB /PSL /PHS /PSD /PC DO B /SD /PROS
EDSON XAVIER FERREIRA;EDSON XAVIER;Deputado Federal;1622;PSTU;Deferido;Frente de Esquerda Socialista
ELIANE MARIA LIMA QUEIROZ;ELIANE QUEIROZ;Deputado Federal;4007;PSB;Deferido;PSB
ELIETE SAMPAIO PINHEIRO;ELIETE SAMPAIO;Deputado Federal;4565;PSDB;Deferido;PMDB/PSC/PR/PRP/PSDB
ELISANGELA PICANÇO COSTA;ELISANGELA PICANÇO;Deputado Federal;1944;PTN;Deferido;EM DEFESA DO CEARÁ
ERIK RANNY PINHEIRO;ERIK PINHEIRO;Deputado Federal;4003;PSB;Deferido;PSB
ERINALDO MATOS DA SILVA;PROFESSOR ELINALDO;Deputado Federal;5011;PSOL;Indeferido com recurso;Frente de Esquerda Socialista
ESMERALDA ROBERTO DE SOUSA LIMA;DADINHA ROBERTO;Deputado Federal;1515;PMDB;Deferido;PMDB/PSC/PR/PRP/PSDB
EUCLIDES JUNIOR FERNANDES;PROFESSOR EUCLIDES JUNIOR;Deputado Federal;4016;PSB;Indeferido;PSB
EUGÊNIO RABELO;EUGENIO RABELO;Deputado Federal;1113;PP;Aguardando julgamento;PRB /PP /PDT /PT /PTB /PSL /PHS /PSD /PC DO B /SD /PROS
FÁBIO AURÉLIO DA SILVA MARTINS;FÁBIO DA TOPIC;Deputado Federal;2888;PRTB;Deferido;PTC - PEN - PV - PT DO B - PRTB - PMN - PPL
FATIMA MARIA VIDIGAL RIBEIRO;IRMÃ FATIMA RIBEIRO;Deputado Federal;2225;PR;Deferido;PMDB/PSC/PR/PRP/PSDB
FAUSTO PINHEIRO PEDROSA NETO;FAUSTO;Deputado Federal;1611;PSTU;Deferido;Frente de Esquerda Socialista
FERNANDO LUIZ LIMA SARAIVA;FERNANDO SARAIVA;Deputado Federal;1610;PSTU;Deferido;Frente de Esquerda Socialista
FLAVIO ALVES SABINO;CABO SABINO;Deputado Federal;2290;PR;Deferido;PMDB/PSC/PR/PRP/PSDB
FRANCIJANE PIRES COSTA;FRANCIJANE COSTA;Deputado Federal;3643;PTC;Deferido;PTC - PEN - PV - PT DO B - PRTB - PMN - PPL
