Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADALBERTO MONTEIRO;ADALBERTO MONTEIRO;Deputado Federal;4455;PRP;Aguardando julgamento;RESPEITO POR BRASÍLIA 1
ADRIANO DE ANDRADE MARROCOS;MARROCOS;Deputado Federal;4565;PSDB;Aguardando julgamento;POR UM FUTURO MELHOR II
ALCIMAR ALVES DE FARIA;APÓSTOLO ALCIMAR;Deputado Federal;1231;PDT;Deferido;SOMOS TODOS BRASÍLIA
ALÍRIO DE OLIVEIRA NETO;ALÍRIO;Deputado Federal;5151;PEN;Aguardando julgamento;RESPEITO POR BRASÍLIA 1
AMILTON SILVA;AMILTON SILVA;Deputado Federal;1700;PSL;Aguardando julgamento;RESPEITO POR BRASÍLIA 1
AMINTAS FERREIRA DA ROCHA;AMINTAS ROCHA;Deputado Federal;5021;PSOL;Aguardando julgamento;PSOL
ANA ANGÉLICA JOSÉ DE MATOS;APOSENTADA;Deputado Federal;1367;PT;Aguardando julgamento;RESPEITO POR BRASÍLIA -2
ANDERSON BATISTA DE MELO;PROFESSOR BATISTA;Deputado Federal;5051;PSOL;Aguardando julgamento;PSOL
ANDRÉ RODOLFO DE LIMA;ANDRÉ LIMA;Deputado Federal;1234;PDT;Deferido;SOMOS TODOS BRASÍLIA
ANTONIO CARLOS CASSIANO SILVA;CASSIANO;Deputado Federal;2720;PSDC;Aguardando julgamento;POR UM FUTURO MELHOR II
ANTONIO CARLOS LOPES BURITY;TONCÁ BURITY;Deputado Federal;5024;PSOL;Aguardando julgamento;PSOL
AUGUSTO SILVEIRA DE CARVALHO;AUGUSTO CARVALHO;Deputado Federal;7777;SD;Aguardando julgamento;SOMOS TODOS BRASÍLIA
BENAIR MARIA DOMINGOS;BENA DOMINGOS;Deputado Federal;1133;PP;Aguardando julgamento;RESPEITO POR BRASÍLIA -2
CARLOS ALBERTO DOS SANTOS;TENENTE ALBERTO;Deputado Federal;4524;PSDB;Aguardando julgamento;POR UM FUTURO MELHOR II
CAROLINA MOURÃO ALBUQUERQUE;CAROL DOS ANIMAIS;Deputado Federal;3131;PHS;Aguardando julgamento;RESPEITO POR BRASÍLIA 1
CLAUDIA LYRA NASCIMENTO;CLAUDIA LYRA;Deputado Federal;1533;PMDB;Aguardando julgamento;RESPEITO POR BRASÍLIA 1
CLODOALDO SILVA DE ANDRADE;CLODOALDO ANDRADE;Deputado Federal;1900;PTN;Aguardando julgamento;RESPEITO POR BRASÍLIA 1
DANIEL RIBEIRO LEMOS;DANIEL LEMOS;Deputado Federal;2020;PSC;Aguardando julgamento;RESPEITO POR BRASÍLIA -2
DENISE ASSUMPÇÃO FERNANDES;DENISE ASSUMPÇÃO;Deputado Federal;2010;PSC;Aguardando julgamento;RESPEITO POR BRASÍLIA -2
DIVINO ROCHA GONÇALVES DE ALCÂNTARA;DIVINO ROCHA;Deputado Federal;5034;PSOL;Aguardando julgamento;PSOL
EDNA RAMOS DA SILVA;EDNA RAMOS;Deputado Federal;1280;PDT;Deferido;SOMOS TODOS BRASÍLIA
EDSON DA SILVA;EDSON;Deputado Federal;1600;PSTU;Aguardando julgamento;PSTU
