Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABEL SANT ANNA JUNIOR;ABEL SANTANNA JUNIOR;Deputado Estadual;43143;PV;Deferido;"JUNTOS PELO ESPIRITO SANTO"
ACELIA NASS PAGUNG;ACELIA PAGUNG;Deputado Estadual;15733;PMDB;Indeferido;O ESPIRÍTO SANTO É MAIS
ADAIR CORREA;ADAIR CORREA  MICHEL;Deputado Estadual;17566;PSL;Deferido;Frente Inovar para Renovar
ADAIR JOSÉ GAVA;ADAIR GAVA;Deputado Estadual;40025;PSB;Renúncia;FRENTE POPULAR CAPIXABA
ADALTO PEREIRA DA COSTA;ADALTO COSTA;Deputado Estadual;45200;PSDB;Deferido;POR UM ESPIRITO SANTO MELHOR
ADALTON OLIMPIO DA CUNHA SANTOS;ADALTON CUNHA;Deputado Estadual;23445;PPS;Deferido;FRENTE POPULAR CAPIXABA
ADELSON DADALTO;ADELSON DADALTO;Deputado Estadual;44011;PRP;Deferido;ESPÍRITO SANTO QUE DÁ CERTO
ADEMIR ANTONIO FREITAS DA SILVA;ADEMIR FREITAS;Deputado Estadual;27234;PSDC;Deferido;ESPIRITO SANTO MAIS FORTE
ADEMIR LUIZ PEREIRA ROSA;ADEMIR PEREIRA;Deputado Estadual;77888;SD;Deferido;POR UM ESPIRITO SANTO MELHOR
ADEMIR SANTOS CARDOSO;PROFESSOR ADEMIR CARDOSO;Deputado Estadual;43043;PV;Deferido;"JUNTOS PELO ESPIRITO SANTO"
ADENILSON MODESTO GODI DO NASCIMENTO;MODESTO GODI;Deputado Estadual;70333;PT do B;Indeferido;Frente Inovar para Renovar
ADEVALDO BRAGA ROSA;ADEVALDO;Deputado Estadual;40222;PSB;Deferido;FRENTE POPULAR CAPIXABA
ADILSON AVELINA DOS SANTOS;AVELINA;Deputado Estadual;55336;PSD;Deferido;FRENTE POPULAR CAPIXABA
ADILSON DA SILVA SOARES;ADILSON MEU NEGO;Deputado Estadual;70460;PT do B;Deferido;Frente Inovar para Renovar
ADRIANO COSTA PEREIRA;ADRIANO MARATIMBA;Deputado Estadual;40001;PSB;Aguardando julgamento;FRENTE POPULAR CAPIXABA
ADRIANO ROSA;ADRIANO ROSA;Deputado Estadual;50500;PSOL;Deferido;PSOL
ADRIANO TEIXEIRA DA SILVA;BRUNO DO VITALINO;Deputado Estadual;70222;PT do B;Deferido;Frente Inovar para Renovar
AIDCE DE FATIMA TAPIAS OLIVEIRA;AIDCE TAPIAS;Deputado Estadual;51999;PEN;Deferido;O ESPIRÍTO SANTO É MAIS
AJURIMAR AVELINO DA COSTA KAPITZKY;JÔ;Deputado Estadual;70070;PT do B;Deferido;Frente Inovar para Renovar
