Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADELAR MARQUES RICARDO;ADELAR;Deputado Federal;2733;PSDC;Aguardando julgamento;FRENTE POR UM  ESPIRITO SANTO MELHOR
ADER LUIZ DE FARIAS MOREIRA;ADER;Deputado Federal;1400;PTB;Deferido;UNIDOS PELO ESPIRITO SANTO
ADRIANA DUTRA BARBOZA;ADRIANA BARBOZA;Deputado Federal;1330;PT;Deferido;COM A FORÇA DO POVO CAPIXABA
AGNALDO LUPPI GOLDNER;AGNALDO GOLDNER;Deputado Federal;4476;PRP;Deferido;JUNTOS POR UM ESPÍRITO SANTO MAIS FORTE
ALCEBIADES BAPTISTA SOBREIRA;BIDO SOBREIRA;Deputado Federal;4455;PRP;Deferido;JUNTOS POR UM ESPÍRITO SANTO MAIS FORTE
ALEX FERNANDO ORTELAN;ALEX ORTELAN;Deputado Federal;4080;PSB;Aguardando julgamento;TODOS PELO ESPÍRITO SANTO
ALEXANDRE DE LACERDA ROSSONI;ALEXANDRE ROSSONI;Deputado Federal;5151;PEN;Deferido;JUNTOS POR UM ESPÍRITO SANTO MAIS FORTE
ALEXANDRE MARTINS DE CASTRO;DR. ALEXANDRE MARTINS;Deputado Federal;2552;DEM;Aguardando julgamento;O ESPIRITO SANTO PODE MAIS
ALOISIO JOSE MURUCE;ALOISIO MURUCE;Deputado Federal;4488;PRP;Deferido;JUNTOS POR UM ESPÍRITO SANTO MAIS FORTE
AMARA ANTONIO MARTINS;AMARA;Deputado Federal;1230;PDT;Aguardando julgamento;COM A FORÇA DO POVO CAPIXABA
AMARILDO ARAUJO;AMARILDO;Deputado Federal;4014;PSB;Renúncia;TODOS PELO ESPÍRITO SANTO
AMARILDO SELVA LOVATO;AMARILDO LOVATI;Deputado Federal;1200;PDT;Deferido;COM A FORÇA DO POVO CAPIXABA
ANA FLÁVIA PEÇANHA DE AZEREDO;ANA FLAVIA AZEREDO;Deputado Federal;4004;PSB;Aguardando julgamento;TODOS PELO ESPÍRITO SANTO
ANDREZA ATAIDE BRANDIZZI ROCHA;ANDREZA BRANDIZZI ROCHA;Deputado Federal;1717;PSL;Deferido;TODOS PELO ESPÍRITO SANTO
ANNA DE SOUZA ALTOÉ;ANA ALTOÉ;Deputado Federal;2580;DEM;Aguardando julgamento;O ESPIRITO SANTO PODE MAIS
ANTONIO BUNGENSTAB DE LIMA;ANTONIO BUNGENSTAB;Deputado Federal;2800;PRTB;Aguardando julgamento;TODOS PELO ESPÍRITO SANTO
ANTONIO CARLOS RODRIGUES ALVARENGA;DR. ALVARENGA;Deputado Federal;2588;DEM;Aguardando julgamento;O ESPIRITO SANTO PODE MAIS
ANTONIO CELSO GOMES WANDELKOOKEM;WANDELKOOKEM;Deputado Federal;4421;PRP;Deferido;JUNTOS POR UM ESPÍRITO SANTO MAIS FORTE
ANTONIO FERNANDO SANTOS LACOURT;LACOURT 4013;Deputado Federal;4013;PSB;Deferido;TODOS PELO ESPÍRITO SANTO
ANTONIO ROBERTE BOURGUIGNON;ANTONIO ROBERTE;Deputado Federal;1140;PP;Deferido;UNIDOS PELO ESPIRITO SANTO
ANTONIO SERGIO ALVES VIDIGAL;SERGIO VIDIGAL;Deputado Federal;1212;PDT;Deferido;COM A FORÇA DO POVO CAPIXABA
APARECIDA DO CARMO MARQUES DE MOURA;CIDINHA;Deputado Federal;2100;PCB;Deferido;Frente Classista e Socialista
ARLINDO JOSE TEODORO NETO;PASTOR ARLINDO THEODORO;Deputado Federal;2014;PSC;Aguardando julgamento;FRENTE POR UM  ESPIRITO SANTO MELHOR
BENEDITO CORRÊA DOS SANTOS;BENER;Deputado Federal;1100;PP;Deferido;UNIDOS PELO ESPIRITO SANTO
BRUNO POLEZ COELHO;BRUNO POLEZ;Deputado Federal;1023;PRB;Deferido;UNIDOS PELO ESPIRITO SANTO
CAMILO COLA;CAMILO COLA;Deputado Federal;1544;PMDB;Aguardando julgamento;O ESPIRITO SANTO PODE MAIS
CARINA PAGANINI DAMM;CARINA DAMM;Deputado Federal;4001;PSB;Indeferido;TODOS PELO ESPÍRITO SANTO
CARLOS ALEXANDRE DA COSTA BANHOS;ALEXANDRE CAL;Deputado Federal;2545;DEM;Aguardando julgamento;O ESPIRITO SANTO PODE MAIS
CARLOS ALMEIDA FILHO;DR. CARLOS ALMEIDA;Deputado Federal;1236;PDT;Deferido;COM A FORÇA DO POVO CAPIXABA
CARLOS HUMBERTO MANNATO;MANATO;Deputado Federal;7777;SD;Aguardando julgamento;O ESPIRITO SANTO PODE MAIS
CARLOS JAQUES MAZZEI FERREIRA;DR JAQUES;Deputado Federal;5555;PSD;Deferido;UNIDOS PELO ESPIRITO SANTO
CARLOS JOSE DE SOUZA OLIVEIRA;PROFESSOR CARLOS;Deputado Federal;5123;PEN;Indeferido;JUNTOS POR UM ESPÍRITO SANTO MAIS FORTE
CARLOS ROBERTO CAVALLINI;CABALINI;Deputado Federal;2210;PR;Aguardando julgamento;FRENTE POR UM  ESPIRITO SANTO MELHOR
CARLOS ROBERTO COSTA;CARLOS COSTA;Deputado Federal;4422;PRP;Deferido;JUNTOS POR UM ESPÍRITO SANTO MAIS FORTE
CELY DUTRA ELER;CELY ELER;Deputado Federal;1577;PMDB;Aguardando julgamento;O ESPIRITO SANTO PODE MAIS
CHARLES JEAN LOPES JUSTINO;CHARLES JEAN;Deputado Federal;2212;PR;Aguardando julgamento;FRENTE POR UM  ESPIRITO SANTO MELHOR
CLARA MARIA ZUCARATO DIAS AMORIM;CLARINHA ZUCARATO;Deputado Federal;2555;DEM;Aguardando julgamento;O ESPIRITO SANTO PODE MAIS
CLAUDIA MARCIA RUAS SILVA;CLAUDIA MARTINELI;Deputado Federal;5599;PSD;Deferido;UNIDOS PELO ESPIRITO SANTO
CLEBER JUNIOR PEREIRA BENTO;PROFESSOR CLEBER;Deputado Federal;4000;PSB;Deferido;TODOS PELO ESPÍRITO SANTO
