Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ACENIL GUERRA DA COSTA;BILL GUERRA MOCHILINK;Deputado Estadual;10660;PRB;Deferido;PRB
ADAIANE SANTANA SALES DOS REIS;ADAIANE;Deputado Estadual;51035;PEN;Deferido;GARANTIA DE UM FUTURO MELHOR PARA GOIÁS "3"
ADEIRSON FELICIO RIBEIRO;LILICO;Deputado Estadual;17701;PSL;Deferido;PRA GOIÁS AVANÇAR
ADELINO FARINHA JUNIOR;ADELINO JR;Deputado Estadual;19500;PTN;Deferido;AMOR POR GOIAS III
ADEMAR LUIZ DE OLIVEIRA;ADEMAR DA UGOPOCI;Deputado Estadual;17197;PSL;Deferido;PRA GOIÁS AVANÇAR
ADEMILZA ALVES CALADO DE SOUZA;ADEMILZA CALADO;Deputado Estadual;31954;PHS;Indeferido;PHS
ADEMIR PINHEIRO GONÇALVES;BIL;Deputado Estadual;55300;PSD;Deferido;Garantia de um Futuro Melhor para Goiás II
ADENILSON PESSONI;DR. ADENILSON PESSONI;Deputado Estadual;15141;PMDB;Aguardando julgamento;AMOR POR GOIAS I
ADERI FRANCISCO MARQUES;ADERI MARQUES;Deputado Estadual;51999;PEN;Deferido;GARANTIA DE UM FUTURO MELHOR PARA GOIÁS "3"
ADIB ELIAS JUNIOR;ADIB ELIAS;Deputado Estadual;15111;PMDB;Deferido com recurso;AMOR POR GOIAS I
ADILSON ELIAS DA SILVA;ADILSON DO GAS;Deputado Estadual;43100;PV;Deferido;GARANTIA DE UM FUTURO MELHOR PARA GOIÁS "3"
ADOLFO LOPES JAMEL EDIN;ADOLFO LOPES;Deputado Estadual;15007;PMDB;Deferido;AMOR POR GOIAS I
ADRIANA CASIMIRO MARTINS;ADRIANA CASIMIRO;Deputado Estadual;28002;PRTB;Deferido;AMOR POR GOIAS III
ADRIANA FERNANDES DA SILVA;ADRIANA FERNANDES;Deputado Estadual;33623;PMN;Deferido;GARANTIA DE UM FUTURO MELHOR PARA GOIAS III
ADRIANA GOMES LOBATO DA SILVA;ADRIANA;Deputado Estadual;51211;PEN;Deferido;GARANTIA DE UM FUTURO MELHOR PARA GOIÁS "3"
ADRIANA SAUTHIER ACCORSI;DELEGADA ADRIANA ACCORSI;Deputado Estadual;13123;PT;Deferido;PT
ADRIANO FRANCO VALOTTO;ADRIANO VALOTTO;Deputado Estadual;10156;PRB;Deferido;PRB
ADRIANO MURCY REIS;ADRIANO MURCY;Deputado Estadual;10777;PRB;Deferido;PRB
ADRIANO RODRIGO LINO MALTEZ;DR. ADRIANO MALTEZ;Deputado Estadual;25001;DEM;Deferido;AMOR POR GOIAS I
AFRENI GONÇALVES LEITE;AFRENI GONÇALVES;Deputado Estadual;45456;PSDB;Deferido;Garantia de um Futuro Melhor para Goiás II
AGMAR ANTONIO DE LIMA;AGMAR BANANEIRO;Deputado Estadual;51153;PEN;Deferido;GARANTIA DE UM FUTURO MELHOR PARA GOIÁS "3"
AILSON BARROSO OLIVEIRA;AILSON BARROSO;Deputado Estadual;51051;PEN;Deferido;GARANTIA DE UM FUTURO MELHOR PARA GOIÁS "3"
AILTON ALVES MOREIRA;AILTON MAGAYVER;Deputado Estadual;54001;PPL;Deferido;AMOR POR GOIAS III
AILTON PEREIRA DA SILVA;AILTON DO TAIYO;Deputado Estadual;28555;PRTB;Deferido;AMOR POR GOIAS III
ALACIDES SOUSA BRITO;ALACIDES BRITO;Deputado Estadual;40567;PSB;Deferido;PARTICIPAÇÃO POPULAR 2
ALAIDE VIGIANA DE MOURA;ALAIDE VIGIANA;Deputado Estadual;17005;PSL;Deferido;PRA GOIÁS AVANÇAR
ALBA STEFÂNIA SILVA BATISTA;ALBA STEFÂNIA;Deputado Estadual;15250;PMDB;Deferido;AMOR POR GOIAS I
ALBRECHT PEDRO DIETZ;PEDRO DIETZ;Deputado Estadual;50321;PSOL;Deferido;PSOL
ALCEBIADES FRANCISCO AVELAR FILHO;ALCEBIADES GAMELEIRA;Deputado Estadual;20500;PSC;Deferido;PARTICIPAÇÃO POPULAR 2
ALDEMIR PEREIRA CLEMENTINO;DR. ALDEMIR;Deputado Estadual;15234;PMDB;Deferido;AMOR POR GOIAS I
ALDEVANE MACHADO SANTANA;CEARÁ DA RODOVIÁRIA;Deputado Estadual;51445;PEN;Deferido;GARANTIA DE UM FUTURO MELHOR PARA GOIÁS "3"
ALDEVIR MARTINS DA SILVA JUNIOR;JUNIOR PEZÃO, PEZÃO;Deputado Estadual;45644;PSDB;Deferido;Garantia de um Futuro Melhor para Goiás II
ALESSANDRO MENDONCA CABRAL;CAXOTINHO;Deputado Estadual;17680;PSL;Deferido;PRA GOIÁS AVANÇAR
