Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADENICE CLAUDIA FERREIRA DIAS;CLAUDINA DIAS;Deputado Federal;2748;PSDC;Indeferido;PSDC
ALEX JOSE DOS ANJOS FERNANDES;ALEX DOS ANJOS;Deputado Federal;3650;PTC;Indeferido;UNIDOS POR GOIAS
ALEXANDRE BALDY DE SANT'ANNA BRAGA;ALEXANDRE BALDY;Deputado Federal;4555;PSDB;Deferido;Garantia de um Futuro Melhor para Goiás I
ALEXANDRE MARTINS RIBEIRO;ALEXANDRE MARTINS;Deputado Federal;2888;PRTB;Indeferido;AMOR POR GOIAS
ALFREDO DA ROCHA ARAUJO FILHO;ALFREDO BAMBU;Deputado Federal;5133;PEN;Indeferido;UNIDOS POR GOIAS
ALMIR LUIZ DA SILVA;ALMIR LUIZ;Deputado Federal;4010;PSB;Deferido;PARTICIPAÇÃO POPULAR 1
ALTAIR DE MOURA FILHO;ALTAIR DE MOURA;Deputado Federal;1526;PMDB;Aguardando julgamento;AMOR POR GOIAS
ANA CLAUDIA DOS SANTOS SOUZA;ANA CLAUDIA SOUZA;Deputado Federal;2789;PSDC;Deferido;PSDC
ANIZIO ANTONIO MAGALHAES;ANIZIO;Deputado Federal;3666;PTC;Indeferido;UNIDOS POR GOIAS
ANTONIO FALEIROS FILHO;FALEIROS;Deputado Federal;4567;PSDB;Deferido;Garantia de um Futuro Melhor para Goiás I
ANTONIO LUCENA FONTES;FONTES;Deputado Federal;4404;PRP;Deferido;PARTICIPAÇÃO POPULAR 1
ANTONIO MARCOS RODRIGUES DA COSTA;SD. DA COSTA;Deputado Federal;3113;PHS;Indeferido;UNIDOS POR GOIAS
ARLEIDE TRANQUEIRA DE SOUSA;ARLEIDE MORENINHA;Deputado Federal;2010;PSC;Renúncia;PARTICIPAÇÃO POPULAR 1
BIEIZ VALERIANO DE OLIVEIRA;BISPO BIEIZ;Deputado Federal;1733;PSL;Indeferido;UNIDOS POR GOIAS
BRUNA CRISTINA VENCESLAU;BRUNA VENCESLAU;Deputado Federal;2100;PCB;Indeferido com recurso;PCB
CARLOS ALBERTO ALVES MENDES;CARLOS NOBREZA;Deputado Federal;4499;PRP;Deferido;PARTICIPAÇÃO POPULAR 1
CARLOS ANTONIO DE ARAUJO;SARGENTO ARAUJO;Deputado Federal;5190;PEN;Indeferido;UNIDOS POR GOIAS
CARLOS EDUARDO BELELLI;MAJOR BELELLI;Deputado Federal;3190;PHS;Indeferido;UNIDOS POR GOIAS
CÉLIO ANTÔNIO DA SILVEIRA;CÉLIO SILVEIRA;Deputado Federal;4599;PSDB;Deferido;Garantia de um Futuro Melhor para Goiás I
CELSO DE ALMEIDA;CELSO DE ALMEIDA;Deputado Federal;2816;PRTB;Deferido;AMOR POR GOIAS
CENICE RIBEIRO NETTO;CENICE RIBEIRO;Deputado Federal;2099;PSC;Deferido;PARTICIPAÇÃO POPULAR 1
CLAUDIA FERREIRA DA CRUZ;CLAUDIA DA SAÚDE;Deputado Federal;1442;PTB;Indeferido;Garantia de um Futuro Melhor para Goiás I
CLAUDIO DE OLIVEIRA SILVA;CORONEL CLÁUDIO;Deputado Federal;4590;PSDB;Deferido;Garantia de um Futuro Melhor para Goiás I
CLEOMAR REIS DE AZEVEDO;CLEO (ENTORNO);Deputado Federal;3153;PHS;Indeferido;UNIDOS POR GOIAS
CLEOVAN SIQUEIRA AMORIM;CLEOVAN;Deputado Federal;5522;PSD;Deferido;Garantia de um Futuro Melhor para Goiás I
CLESIO DE PAULA JUNIOR;CLESIO DE PAULA;Deputado Federal;5151;PEN;Indeferido;UNIDOS POR GOIAS
DAIANA DE SOUZA SILVA;DAIANA SILVA;Deputado Federal;3129;PHS;Indeferido;UNIDOS POR GOIAS
DANIEL ELIAS CARVALHO VILELA;DANIEL VILELA;Deputado Federal;1510;PMDB;Deferido;AMOR POR GOIAS
DARIO ALVES PAIVA NETO;DARIO PAIVA;Deputado Federal;1717;PSL;Indeferido;UNIDOS POR GOIAS
DEYNER BATISTA FARIA;PROFESSOR DEYNER;Deputado Federal;1616;PSTU;Deferido;PSTU
DIVINA DAS DORES RIBEIRO DA SILVA;NINA;Deputado Federal;2717;PSDC;Deferido;PSDC
DOMINGAS CARVALHO SOBRINHA;DOMINGAS CARVALHO;Deputado Federal;1566;PMDB;Deferido;AMOR POR GOIAS
DOMINGOS BARBOSA DOS SANTOS;PROF. DUMAS;Deputado Federal;4041;PSB;Deferido;PARTICIPAÇÃO POPULAR 1
DOMINGOS LEMOS DOS SANTOS;DOMINGUINHOS;Deputado Federal;3630;PTC;Indeferido;UNIDOS POR GOIAS
EDGAR OLIVEIRA;CEARÁ DO LANCHE;Deputado Federal;5033;PSOL;Deferido;PSOL
EDIEL FERNANDES DE SOUZA;EDIEL FERNANDES;Deputado Federal;1456;PTB;Deferido;Garantia de um Futuro Melhor para Goiás I
EDUARDO JOSE SOUZA OLIVEIRA;EDU CANTOR;Deputado Federal;3608;PTC;Indeferido;UNIDOS POR GOIAS
EDUARDO MACHADO E SILVA RODRIGUES;EDUARDO MACHADO;Deputado Federal;3131;PHS;Renúncia;UNIDOS POR GOIAS
EDWARD MADUREIRA BRASIL;PROF. EDWARD MADUREIRA;Deputado Federal;1310;PT;Deferido;PT
ELENIRA TATIANA LEMOS VIEIRA CHADUD;TATIANA LEMOS;Deputado Federal;6565;PC do B;Deferido;AMOR POR GOIAS
ELIAS DOS SANTOS CORREIA;ELIAS CORREIA;Deputado Federal;2030;PSC;Deferido;PARTICIPAÇÃO POPULAR 1
EMERSON VAZ DOS SANTOS;EMERSON VAZ;Deputado Federal;4411;PRP;Indeferido;PARTICIPAÇÃO POPULAR 1
ENI PEREIRA DOS SANTOS MENDONÇA;CANTORA ENI MENDONÇA;Deputado Federal;1725;PSL;Indeferido;UNIDOS POR GOIAS
ENIO BRITO DESÁ;ENIO DE BRITO DE SA;Deputado Federal;3135;PHS;Indeferido;UNIDOS POR GOIAS
ENIO CESAR CESILIO;ENIO TATICO;Deputado Federal;2829;PRTB;Indeferido;AMOR POR GOIAS
ENNIO FERREIRA BASTOS;DR. ENNIO BASTOS;Deputado Federal;4040;PSB;Deferido;PARTICIPAÇÃO POPULAR 1
ESLAINE PERES DE OLIVEIRA;PEPITA ESLAINE;Deputado Federal;3611;PTC;Indeferido;UNIDOS POR GOIAS
EUCLIDES DE OLIVEIRA MARQUES;EUCLIDES KIDÚ;Deputado Federal;3622;PTC;Indeferido;UNIDOS POR GOIAS
EUMARIA SOCORRO MENEZES FRAGA;EUMARIA;Deputado Federal;3659;PTC;Indeferido;UNIDOS POR GOIAS
EURIPEDES GOMES DE MACEDO JUNIOR;EURIPEDES JUNIOR;Deputado Federal;9090;PROS;Deferido com recurso;Garantia de um Futuro Melhor para Goiás I
EUZEBIO JOSE NETO;DR. EUZEBIO NETO;Deputado Federal;3678;PTC;Indeferido;UNIDOS POR GOIAS
FÁBIO FERNANDES DE SOUSA;FÁBIO SOUSA;Deputado Federal;4578;PSDB;Deferido;Garantia de um Futuro Melhor para Goiás I
FABRICIO SALVADOR LEMOS;FABRICIO LEMOS;Deputado Federal;5050;PSOL;Deferido;PSOL
FELIPE CORTES BEZERRA;FELIPE CORTES;Deputado Federal;3131;PHS;Indeferido;UNIDOS POR GOIAS
FERNANDO DA COSTA SILVA;FERNANDO COSTA;Deputado Federal;3602;PTC;Indeferido;UNIDOS POR GOIAS
FERNANDO LEMES ROCHA;ROCHA;Deputado Federal;2719;PSDC;Deferido;PSDC
FLAVIA CARREIRO ALBUQUERQUE MORAIS;FLAVIA MORAIS;Deputado Federal;1212;PDT;Deferido;Garantia de um Futuro Melhor para Goiás I
FRANCISCA DE ASSIS CANDIDA;FANCISCA FANCISQUINHA;Deputado Federal;4514;PSDB;Deferido;Garantia de um Futuro Melhor para Goiás I
GÊNIO EURÍPEDES CABRAL DE ASSIS;GÊNIO EURÍPEDES;Deputado Federal;4550;PSDB;Indeferido;Garantia de um Futuro Melhor para Goiás I
GERALDO LIMA SANTOS;BISPO GERALDO LIMA;Deputado Federal;2710;PSDC;Deferido;PSDC
GERCINO DOS SANTOS;GERCINO DOS SANTOS;Deputado Federal;2777;PSDC;Deferido;PSDC
GILBERTO GOMES DE OLIVEIRA;SGT GILBERTO;Deputado Federal;3143;PHS;Indeferido;UNIDOS POR GOIAS
GILBERTO LOPES FARIA;GILBERTO FARIAS;Deputado Federal;9045;PROS;Deferido;Garantia de um Futuro Melhor para Goiás I
GILBERTO PATRICIO DA SILVA;GILBERTO PATRICIO;Deputado Federal;2511;DEM;Deferido;AMOR POR GOIAS
GILVAM MAXIMO;GILVAN MAXIMO;Deputado Federal;1010;PRB;Deferido;Garantia de um Futuro Melhor para Goiás I
GIOVANI ANTONIO BARBOSA;GEOVANI ANTONIO;Deputado Federal;4562;PSDB;Deferido;Garantia de um Futuro Melhor para Goiás I
GIUSEPPE VECCI;GIUSEPPE VECCI;Deputado Federal;4545;PSDB;Deferido;Garantia de um Futuro Melhor para Goiás I
GUILHERME AZAMBUJA CASTELO BRANCO;CASTELO BRANCO;Deputado Federal;4343;PV;Indeferido;UNIDOS POR GOIAS
HAMILTON FERNANDES COSTA;HAMILTON COSTA;Deputado Federal;5122;PEN;Indeferido;UNIDOS POR GOIAS
HELDER MEIRA FERREIRA;HELDER MEIRA FERREIRA;Deputado Federal;4422;PRP;Deferido;PARTICIPAÇÃO POPULAR 1
HELIA FERREIRA LUCENA;HELIA FERREIRA;Deputado Federal;2011;PSC;Indeferido;PARTICIPAÇÃO POPULAR 1
HELSON PEREIRA SOARES;PROFESSOR MALAQUIAS;Deputado Federal;3600;PTC;Renúncia;UNIDOS POR GOIAS
HEULER ABREU CRUVINEL;HEULER CRUVINEL;Deputado Federal;5500;PSD;Deferido;Garantia de um Futuro Melhor para Goiás I
HUDMILA DE CASTRO SANTOS;HUDMILA CASTRO;Deputado Federal;9010;PROS;Indeferido;Garantia de um Futuro Melhor para Goiás I
IACY DA SILVA MAGALHÃES;LUA MAGALHÃES;Deputado Federal;5551;PSD;Indeferido;Garantia de um Futuro Melhor para Goiás I
IBRAIN LOPES DIAS;IBRAIN LOPES;Deputado Federal;3147;PHS;Indeferido;UNIDOS POR GOIAS
IRIS DE ARAÚJO REZENDE MACHADO;IRIS DE ARAÚJO;Deputado Federal;1515;PMDB;Deferido;AMOR POR GOIAS
ISABEL CRISTINA RIBEIRO DE LIMA;ISABEL;Deputado Federal;3133;PHS;Indeferido;UNIDOS POR GOIAS
ISAEL BARBOSA DA SILVA;PANTERA;Deputado Federal;3111;PHS;Indeferido;UNIDOS POR GOIAS
ISMAENE BERNARDO DE PADUA ROSA;ISMAENE BERNARDO;Deputado Federal;1513;PMDB;Renúncia;AMOR POR GOIAS
IZILDINA ALVES FLORES MORAIS;IZILDINA FLORES;Deputado Federal;2059;PSC;Aguardando julgamento;PARTICIPAÇÃO POPULAR 1
JAIR PEREIRA DOS SANTOS;JAIR MALA;Deputado Federal;2871;PRTB;Deferido;AMOR POR GOIAS
JAIR SERAFIM AMADOR;JAIR SERAFIM;Deputado Federal;2544;DEM;Deferido;AMOR POR GOIAS
JERUZA MAXIMO DE ARAÚJO;JERUZA MAXIMO;Deputado Federal;1511;PMDB;Indeferido;AMOR POR GOIAS
JOAB SOUZA LOBO;JOAB LOBO;Deputado Federal;2727;PSDC;Deferido;PSDC
JOÃO BATISTA RIBEIRO DE QUEIROZ;JOÃO BATISTA QUEIROZ;Deputado Federal;1528;PMDB;Deferido;AMOR POR GOIAS
JOÃO BOSCO LUZ KALIL;LUZ KALIL;Deputado Federal;1506;PMDB;Deferido;AMOR POR GOIAS
JOAO CAMPOS DE ARAUJO;JOAO CAMPOS;Deputado Federal;4565;PSDB;Deferido;Garantia de um Futuro Melhor para Goiás I
JOAO RODRIGUES DA COSTA;JOAOZINHO CARPINTEIRO;Deputado Federal;3134;PHS;Indeferido;UNIDOS POR GOIAS
