Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABIGAIL COUTINHO SOUZA;ABIGAIL;Deputado Estadual;36890;PTC;Deferido;PTC
ABMAEL ESSER BEZERRA RIBEIRO NETO;ABMAEL FEITOSA;Deputado Estadual;77580;SD;Deferido;MUDANÇA PARA UM NOVO MARANHÃO
ADAILTON DE LIMA GASPARI;ADAILTON GASPARI;Deputado Estadual;51010;PEN;Deferido;VAMOS JUNTOS MARANHÃO
ADELINO OLIVEIRA GUIMARAES;SARGENTO ADELINO;Deputado Estadual;77192;SD;Deferido;MUDANÇA PARA UM NOVO MARANHÃO
ADENILSON DIAS DE SOUZA;DR. ADENILSON;Deputado Estadual;13121;PT;Deferido;PT
ADRIANA LIMA DE ARAUJO;ADRIANA ARAUJO;Deputado Estadual;17010;PSL;Indeferido;PSL
ADRIANO TITO CAVALCANTI FIGUEREDO;DR. ADRIANO TITO;Deputado Estadual;65555;PC do B;Deferido;TODOS PELO MARANHÃO 4
AFONSO MANOEL BORGES FERREIRA;AFONSO MANOEL;Deputado Estadual;15369;PMDB;Deferido;PRA FRENTE MARANHÃO 2
AFONSO SOCRATES PINTO;SÓCRATES PINTO;Deputado Estadual;36122;PTC;Deferido;PTC
ALANA MARA DE SOUZA VASCONCELOS FERREIRA;ALANA ALVES;Deputado Estadual;36456;PTC;Indeferido;PTC
ALBERTO PEREIRA MARTINS JUNIOR;ALBERTO JUNIOR;Deputado Estadual;36541;PTC;Deferido;PTC
ALDIONILTON PINTO VAZ;ZIDANE VAZ;Deputado Estadual;50222;PSOL;Deferido;PSOL
ALDIR UCHÔA DUARTE;ALDIR UCHÔA;Deputado Estadual;36567;PTC;Deferido;PTC
ALEXANDRE ARAUJO DOS SANTOS;ALEX SANTOS;Deputado Estadual;33000;PMN;Deferido;VAMOS JUNTOS MARANHÃO
ALEXANDRE VICENTE DE PAULA ALMEIDA;ALEXANDRE ALMEIDA;Deputado Estadual;19123;PTN;Deferido;Força Jovem
ALFREDO HORÁCIO FIGUEIREDO CORREA;ALFREDO CORREA - O CHEPA;Deputado Estadual;17014;PSL;Deferido;PSL
ALICE MARIA FURTADO MUNIZ BORGES;ALICE MUNIZ;Deputado Estadual;43210;PV;Deferido;PRA FRENTE MARANHÃO 2
AMERICO DE SOUSA DOS SANTOS;AMÉRICO DE SOUSA;Deputado Estadual;13111;PT;Deferido;PT
