Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADILTON SOUZA SILVA;DR. ADILTON SOUZA SILVA;Deputado Federal;2712;PSDC;Deferido;DEMOCRATA TRABALHISTA
AGEMIRO MEDEIROS DE SOUSA;AGEMIRO;Deputado Federal;1717;PSL;Deferido;DEMOCRATA TRABALHISTA
ALAN FIALHO GANDRA;ALAN GANDRA;Deputado Federal;4000;PSB;Deferido;TODOS PELO MARANHÃO 3
ALANE KELLY FERREIRA CARDOSO;ALANE KELLY;Deputado Federal;1113;PP;Deferido;TODOS PELO MARANHÃO 3
ALCIONE CRISTINA LEAL VIANA;ALCIONE LEAL;Deputado Federal;1236;PDT;Indeferido;TODOS PELO MARANHÃO 2
ALDAMIR GARCIA SPINDOLA;ZE DO NORDESTE;Deputado Federal;2710;PSDC;Deferido;DEMOCRATA TRABALHISTA
ALDILENE SILVA FERREIRA;LENNY;Deputado Federal;5537;PSD;Deferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
ALEX LIMA SILVA;ALEX GOMES;Deputado Federal;7015;PT do B;Deferido;POR UM MARANHÃO MAIS FORTE
ALEXANDRE BRITO ARAUJO;ALEXANDRE ARAÚJO;Deputado Federal;1350;PT;Deferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
ALEXANDRE MAGNO DE AGUIAR BARROSO;ALEXANDRE BARROSO;Deputado Federal;7010;PT do B;Indeferido;POR UM MARANHÃO MAIS FORTE
ALINE MARIA DOS SANTOS PEREIRA;ALINE MARIA;Deputado Federal;5051;PSOL;Deferido;PSOL
ALMIR BRUNO JACINTO TAVARES;ALMIR BRUNO;Deputado Federal;1310;PT;Deferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
ALUISIO GUIMARÃES MENDES FILHO;ALUISIO MENDES;Deputado Federal;2727;PSDC;Deferido;DEMOCRATA TRABALHISTA
ALUIZIO BARROSO DE MELO;ALUISIO MELO;Deputado Federal;2147;PCB;Deferido;PCB
AMANDHA THALITA LOPES GUERRA;AMANDHA THALITA;Deputado Federal;3601;PTC;Indeferido;TODOS PELO MARANHÃO 2
ANA DELCITA SANTOS JACINTO TAVARES;ANA SANTOS;Deputado Federal;1340;PT;Indeferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
ANA LUCIA RIBEIRO SERRA DA SILVA;ANA SERRA;Deputado Federal;2277;PR;Deferido;PRA FRENTE MARANHÃO 1
ANDRÉ LUIS CARVALHO RIBEIRO;ANDRE FUFUCA;Deputado Federal;5151;PEN;Deferido;POR UM MARANHÃO MAIS FORTE
ANTÔNIO CÍCERO LOPES ASSUNÇÃO;PASTOR ANTÔNIO CÍCERO;Deputado Federal;1413;PTB;Deferido;PRA FRENTE MARANHÃO 1
ANTONIO DA CONCEIÇÃO COSTA FERREIRA;COSTA FERREIRA;Deputado Federal;2014;PSC;Deferido;POR UM MARANHÃO MAIS FORTE
ANTONIO DA CRUZ FILGUEIRA JUNIOR;JUNIOR MARRECA;Deputado Federal;5122;PEN;Deferido;POR UM MARANHÃO MAIS FORTE
ANTONIO DE JESUS FRAZÃO ABREU;ANTONIO FRAZAO;Deputado Federal;1720;PSL;Deferido;DEMOCRATA TRABALHISTA
ANTÔNIO FELICIANO DA SILVA;FELICIANO DO BOMBOM;Deputado Federal;1455;PTB;Deferido;PRA FRENTE MARANHÃO 1
ANTONIO FERREIRA MARTINS;TOTO MARTINS;Deputado Federal;3100;PHS;Deferido;POR UM MARANHÃO MAIS FORTE
ANTONIO ISAIAS PEREIRA FILHO;PEREIRINHA;Deputado Federal;1733;PSL;Deferido;DEMOCRATA TRABALHISTA
ANTONIO MARTINS;MARTINS TETEU;Deputado Federal;1320;PT;Indeferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
ANTONIO NONATO SANTOS VIANA;ANTONIO MOQUIBOM;Deputado Federal;1611;PSTU;Indeferido com recurso;PSTU
ARI ROGÉRIO FERREIRA DA SILVA;ARI ROGERIO;Deputado Federal;3677;PTC;Deferido;TODOS PELO MARANHÃO 2
ARTUR EDUARDO MONTEIRO;ARTUR MONTEIRO;Deputado Federal;4415;PRP;Deferido;DEMOCRATA TRABALHISTA
ASTROGILSON DOS SANTOS LEAL;ASTROGILSON DO MALUCÃO;Deputado Federal;1444;PTB;Deferido;PRA FRENTE MARANHÃO 1
AURILENE DE JESUS SOUSA SILVA;AURILENE DE JESUS;Deputado Federal;1597;PMDB;Aguardando julgamento;PRA FRENTE MARANHÃO 1
AUXILIADORA RODRIGUES;AUXILIADORA;Deputado Federal;4433;PRP;Deferido;DEMOCRATA TRABALHISTA
AUXILIADORA RODRIGUES;AUXILIADORA;Deputado Federal;4433;PRP;Não conhecimento do pedido;DEMOCRATA TRABALHISTA
CACILDA CASTRO LOPES;CACILDA CASTRO;Deputado Federal;1302;PT;Indeferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
CARLENE COSTA OLIVEIRA;CARLENE OLIVEIRA;Deputado Federal;1362;PT;Indeferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
CARLOS ANTONIO ARAUJO LOUREIRO;CARLOS LOUREIRO;Deputado Federal;1770;PSL;Deferido;DEMOCRATA TRABALHISTA
CARLOS AUGUSTO PINTO DINIZ;CARLOS PEIXEIRO;Deputado Federal;4020;PSB;Indeferido com recurso;TODOS PELO MARANHÃO 3
CARLOS HENRIQUE BORGES NERES;CAPAL;Deputado Federal;4430;PRP;Deferido;DEMOCRATA TRABALHISTA
CARLOS MARITON OLIVEIRA DA SILVA;MARITON;Deputado Federal;6577;PC do B;Deferido;TODOS PELO MARANHÃO 3
CARLOS VICTOR GUTERRES MENDES;VICTOR MENDES;Deputado Federal;4356;PV;Deferido;PRA FRENTE MARANHÃO 1
CESAR ROBERTO LESSA DE CARVALHO;ROBERTO LESSA O LUTADOR;Deputado Federal;2212;PR;Deferido;PRA FRENTE MARANHÃO 1
CLAUDICEA ALVES DURANS;CLAUDICEA DURANS;Deputado Federal;1616;PSTU;Deferido;PSTU
CLÁUDIO ANTONIO LIMA FURTADO;CLAÚDIO FURTADO;Deputado Federal;6500;PC do B;Deferido;TODOS PELO MARANHÃO 3
CLAUDIO JOSÉ TRINCHÃO SANTOS;TRINCHÃO;Deputado Federal;5510;PSD;Deferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
CLAUDIO MARCOS BASTOS COSTA;BASTOS O ABESTADO;Deputado Federal;1122;PP;Deferido;TODOS PELO MARANHÃO 3
CLAUDONETE PEREIRA LIMA;CLAUDIO LIMA;Deputado Federal;1355;PT;Indeferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
CLEBER VERDE CORDEIRO MENDES;CLEBER VERDE;Deputado Federal;1010;PRB;Deferido;PRA FRENTE MARANHÃO 1
CONCEIÇÃO COSTA PINTO;CONCITA PINTO;Deputado Federal;5123;PEN;Deferido;POR UM MARANHÃO MAIS FORTE
DALTON HUGOLINO ARRUDA DE SOUSA;DALTON ARRUDA;Deputado Federal;7088;PT do B;Deferido;POR UM MARANHÃO MAIS FORTE
DANIEL AUGUSTO SILVA GONÇALVES DE JESUS;DANIEL DE JESUS;Deputado Federal;9009;PROS;Deferido;TODOS PELO MARANHÃO 2
DANIEL VAZ ABREU;FOCA;Deputado Federal;7024;PT do B;Deferido;POR UM MARANHÃO MAIS FORTE
DAVI ALVES SILVA JÚNIOR;DAVI ALVES SILVA JÚNIOR;Deputado Federal;2211;PR;Deferido;PRA FRENTE MARANHÃO 1
DEOCLIDES ANTONIO SANTOS NETO MACEDO;DEOCLIDES MACEDO;Deputado Federal;1233;PDT;Deferido;TODOS PELO MARANHÃO 2
DILMAR SOUSA ARAÚJO;DILMAR ARAÚJO;Deputado Federal;3322;PMN;Deferido;POR UM MARANHÃO MAIS FORTE
DOMINGOS BARBOSA CAMPELO;DOMINGOS BARBOSA CAMPELO;Deputado Federal;1244;PDT;Deferido;TODOS PELO MARANHÃO 2
DOMINGOS FRANCISCO DUTRA FILHO;DUTRA;Deputado Federal;7713;SD;Deferido;TODOS PELO MARANHÃO 3
EDILEIDE SANTOS LIMA;LIMA;Deputado Federal;3350;PMN;Indeferido;POR UM MARANHÃO MAIS FORTE
EDILSON SOUSA RODRIGUES;EDILSON SOUSA;Deputado Federal;2210;PR;Deferido;PRA FRENTE MARANHÃO 1
EDMILSON SANCHES;SANCHES;Deputado Federal;6515;PC do B;Deferido;TODOS PELO MARANHÃO 3
EDMUNDO RODRIGUES BELFORT;PROF. EDMUNDO BELFORT;Deputado Federal;3696;PTC;Deferido;TODOS PELO MARANHÃO 2
EDSON CARVALHO VIDIGAL;VIDIGAL;Deputado Federal;1240;PDT;Deferido;TODOS PELO MARANHÃO 2
EDVAN FERREIRA MATOS;EDVAN MATOS;Deputado Federal;3334;PMN;Deferido;POR UM MARANHÃO MAIS FORTE
ELBER MONTEIRO DOS SANTOS;ELBER CONSTRUÇÃO;Deputado Federal;1790;PSL;Deferido;DEMOCRATA TRABALHISTA
ELIZIANE PEREIRA GAMA FERREIRA;ELIZIANE GAMA;Deputado Federal;2323;PPS;Deferido;TODOS PELO MARANHÃO 3
ELIZIENE BARBOSA COSTA;ELIZIENE BARBOSA;Deputado Federal;5133;PEN;Indeferido com recurso;POR UM MARANHÃO MAIS FORTE
EMILCE MARIA CAMPOS;CAMPOS;Deputado Federal;1441;PTB;Aguardando julgamento;PRA FRENTE MARANHÃO 1
ESTER ALVES SOARES;ESTER SOARES;Deputado Federal;1773;PSL;Deferido;DEMOCRATA TRABALHISTA
EVALDO DA SILVA LEAL;EVALDO LEAL;Deputado Federal;2844;PRTB;Deferido;DEMOCRATA TRABALHISTA
EVANDRO NONATO DE SOUSA FILHO;EVANDRO SOUSA;Deputado Federal;1301;PT;Indeferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
EVILANNE KARLA BEZERRA DE SOUSA;KARLA SOUSA;Deputado Federal;1725;PSL;Indeferido;DEMOCRATA TRABALHISTA
ÉZIO ROGERIO SANTOS CORREIA;ÉZIO ROGÉRIO;Deputado Federal;3616;PTC;Deferido;TODOS PELO MARANHÃO 2
FABIO GONDIM PEREIRA DA COSTA;FÁBIO GONDIM;Deputado Federal;1313;PT;Deferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
FABIO OLIVEIRA MOREIRA;DR. FABIO MOREIRA;Deputado Federal;5199;PEN;Deferido;POR UM MARANHÃO MAIS FORTE
FELIX LIMA E SILVA;GATO FELIX;Deputado Federal;2121;PCB;Deferido;PCB
FERNANDA MARIA DE MATOS CORREA DE OLIVEIRA;FERNANDA MARIA;Deputado Federal;1714;PSL;Deferido;DEMOCRATA TRABALHISTA
FRANCISCA DAS CHAGAS DINIZ GOMES;CHAGUINHA DINIZ;Deputado Federal;1312;PT;Deferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
FRANCISCO CLEBER SILVA ARAUJO;PROFESSOR CLEBER MEIRELES;Deputado Federal;5555;PSD;Deferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
FRANCISCO COELHO DE SOUSA;FRANCISCO COELHO;Deputado Federal;1316;PT;Deferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
FRANCISCO DAS CHAGAS SOUSA;PROF FRANCISCO;Deputado Federal;5050;PSOL;Deferido;PSOL
FRANCISCO DE ASSIS MILHOMEM COELHO;CHICO COELHO;Deputado Federal;1710;PSL;Deferido;DEMOCRATA TRABALHISTA
FRANCISCO LOPES DA SILVA;F. SILVA;Deputado Federal;2811;PRTB;Deferido;DEMOCRATA TRABALHISTA
FRANCISCO LUIZ ESCORCIO LIMA;CHIQUINHO ESCORCIO;Deputado Federal;1515;PMDB;Deferido;PRA FRENTE MARANHÃO 1
FRANCISCO PEREIRA DE SOUSA;DEDÉ LOCUTOR;Deputado Federal;3611;PTC;Deferido;TODOS PELO MARANHÃO 2
FRANCISCO RODRIGUES DA CRUZ FILHO;SERRA PELADA;Deputado Federal;1214;PDT;Indeferido;TODOS PELO MARANHÃO 2
FRANCISCO ROGÉRIO SOUSA;ROGÉRIO DO PT;Deputado Federal;1311;PT;Deferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
FRANCISCO SOUZA CAITANO;CHICO CAITANO;Deputado Federal;2855;PRTB;Deferido;DEMOCRATA TRABALHISTA
FRANCISMAR FERREIRA;PROFESSOR FRANCISMAR;Deputado Federal;1372;PT;Deferido;PRA SEGUIR EM FRENTE COM MUITO MAIS MUDANÇA
GABRIELLE ANDRESSA FREITAS MARANHAO;GABRIELLE MARANHAO;Deputado Federal;1731;PSL;Deferido;DEMOCRATA TRABALHISTA
GARDENIA SABOIA ALMEIDA AIRES;GARDENIA;Deputado Federal;2808;PRTB;Deferido;DEMOCRATA TRABALHISTA
GASPAR MORAES;GASPAR MORAES;Deputado Federal;5423;PPL;Deferido;PPL
