Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABNER FERREIRA DO NASCIMENTO;BINE ZIMMER;Deputado Estadual;20111;PSC;Aguardando julgamento;MINAS MELHOR
ABRAHÃO HISSA SAFAR NETO;ABRAHÃO HISSA;Deputado Estadual;36545;PTC;Deferido;MINAS MELHOR
ACSA JUNIA GERMANO;ACSA JUNIA GERMANO;Deputado Estadual;40002;PSB;Aguardando julgamento;MINAS QUER MUDANÇA
ADAIL JAQUES PRATES RODRIGUES;DOUTOR ADAIL;Deputado Estadual;90110;PROS;Deferido;MINAS PARA TODOS
ADAILTON DA SILVA MARQUES;ADAILTON MARQUES;Deputado Estadual;50123;PSOL;Deferido;FRENTE DE ESQUERDA SOCIALISTA
ADAILTON MOREIRA;ADAILTON;Deputado Estadual;21456;PCB;Deferido;PCB
ADAIR LEANDRO DA ORAÇÃO;ADAIR ( DJ ARAGÃO);Deputado Estadual;23124;PPS;Deferido;A VOZ DE MINAS
ADAIR OTAVIANO DE OLIVEIRA;ADAIR OTAVIANO;Deputado Estadual;15555;PMDB;Deferido;MINAS PARA TODOS
ADALCLEVER RIBEIRO LOPES;ADALCLEVER LOPES;Deputado Estadual;15123;PMDB;Aguardando julgamento;MINAS PARA TODOS
ADAUTO JORGE BRASIL DO AMARAL;ADAUTO BRASIL;Deputado Estadual;70125;PT do B;Deferido;PT do B
ADAUTO PEREIRA DA SILVA;ADAUTO CARTEIRO;Deputado Estadual;90500;PROS;Deferido;MINAS PARA TODOS
ADEMIR LUCAS GOMES;ADEMIR LUCAS;Deputado Estadual;22456;PR;Deferido;PR
ADENILSON SOARES DOS SANTOS;DENILSON SANTOS;Deputado Estadual;70071;PT do B;Deferido;PT do B
ADILSON GOMES PEREIRA;ADILSON GOMES;Deputado Estadual;14510;PTB;Deferido;AVANTE MINAS
ADILSON PINHEIRO DA SILVA;PROFESSOR  ADILSON PUMA;Deputado Estadual;10456;PRB;Deferido;MINAS PARA TODOS
ADILSON SILVA;ADILSON CONSELHO DE SAÚDE;Deputado Estadual;54313;PPL;Aguardando julgamento;MINAS QUER MUDANÇA
ADILSON SOARES RUFINO JÚNIOR;JÚNIOR DO SACOLÃO TOTAL;Deputado Estadual;15014;PMDB;Deferido;MINAS PARA TODOS
ADONIAS MARTINS DE  SOUZA;ADONIAS;Deputado Estadual;10789;PRB;Deferido;MINAS PARA TODOS
ADRIANA  LOURENÇO DE BARROS;ADRIANA L BARROS;Deputado Estadual;31841;PHS;Deferido;SOU + MINAS
ADRIANA APARECIDA TEODORO;ADRIANA APARECIDA TEODORO;Deputado Estadual;31221;PHS;Deferido;SOU + MINAS
ADRIANA CRISTINA FABIANO DE SOUZA;ADRIANA DE SOUZA;Deputado Estadual;65314;PC do B;Deferido;PC do B
ADRIANA DO CARMO PERES;ADRIANA PERES;Deputado Estadual;70779;PT do B;Deferido;PT do B
ADRIANA KUTRAS;ADRIANA KUTRAS;Deputado Estadual;20001;PSC;Deferido;MINAS MELHOR
ADRIANO DE SOUZA VENTURA;ADRIANO VENTURA;Deputado Estadual;13012;PT;Deferido;MINAS PARA TODOS
ADRIANO ZAGO;ADRIANO ZAGO;Deputado Estadual;15015;PMDB;Deferido;MINAS PARA TODOS
ADSON AROLDO DE SOUZA REIS;ADSON REIS;Deputado Estadual;54111;PPL;Aguardando julgamento;MINAS QUER MUDANÇA
AÉCIO XAVIER SILVA;AÉCIO XAVIER SILVA;Deputado Estadual;31050;PHS;Deferido;SOU + MINAS
AGILIO MONTEIRO FILHO;DELEGADO AGILIO MONTEIRO;Deputado Estadual;45455;PSDB;Deferido;A VOZ DE MINAS
AGNALDO GIOVANI BICALHO;AGNALDO BICALHO;Deputado Estadual;13713;PT;Aguardando julgamento;MINAS PARA TODOS
AGNALDO SILVA ALEXANDRE;PROFESSOR AGNALDO;Deputado Estadual;21478;PCB;Deferido;PCB
AGOSTINHO CELIO ANDRADE PATRUS;AGOSTINHO PATRUS FILHO;Deputado Estadual;43500;PV;Aguardando julgamento;MINAS AVANÇA
AGUEDA STEFANIE SILVA FREITAS;AGUEDA FREITAS;Deputado Estadual;12777;PDT;Aguardando julgamento;MINAS AVANÇA
AGUINEL FERREIRA DA CRUZ;GUINA GUINÉ;Deputado Estadual;54501;PPL;Aguardando julgamento;MINAS QUER MUDANÇA
AILTON RODRIGUES DE MIRANDA;AILTON FILCA;Deputado Estadual;14185;PTB;Deferido;AVANTE MINAS
AIMAR DOS SANTOS RIBEIRO;AIMAR DO CARTORIO;Deputado Estadual;33111;PMN;Deferido;PMN
AINOÃ SILVA CRUZ;AINOÃ;Deputado Estadual;51000;PEN;Deferido;SOU + MINAS
AIRTON DE OLIVEIRA PINHAL;AIRTON PINHAL;Deputado Estadual;70800;PT do B;Deferido;PT do B
ALAN CANDIDO DE ANDRADE;ALAN ANDRADE;Deputado Estadual;65900;PC do B;Aguardando julgamento;PC do B
ALANDERSON DAMASCENO GOMIDE;ALANDERSON;Deputado Estadual;51001;PEN;Deferido;SOU + MINAS
ALAOR DE OLIVEIRA LIMA;ALAOR OLIVEIRA LIMA;Deputado Estadual;22345;PR;Renúncia;PR
ALBERTO LEONARDO GOMES RAMOS;LEO MOGOL;Deputado Estadual;12155;PDT;Aguardando julgamento;MINAS AVANÇA
ALCIDES DINIZ DA SILVA;ALCIDES DINIZ;Deputado Estadual;23114;PPS;Deferido;A VOZ DE MINAS
ALENCAR MAGALHAES DA SILVEIRA JUNIOR;ALENCAR DA SILVEIRA JR;Deputado Estadual;12212;PDT;Aguardando julgamento;MINAS AVANÇA
ALESSANDRA CARVALHO;ALESSANDRA KALARRAM;Deputado Estadual;27927;PSDC;Deferido;UMA SO MINAS
ALESSANDRA CONCEIÇÃO FERREIRA AUAREK CAMPOS;ALESSANDRA FARMACÊUTICA;Deputado Estadual;23444;PPS;Deferido;A VOZ DE MINAS
ALESSANDRO MARQUES;ALESSANDRO MARQUES;Deputado Estadual;27123;PSDC;Deferido;UMA SO MINAS
ALEXANDRE DE JESUS CAMPOS;ALEXANDRE CARREIRINHA;Deputado Estadual;17200;PSL;Deferido;MINAS MELHOR
ALEXANDRE MAGNO DE SOUZA PEREIRA;XANDÃO;Deputado Estadual;36631;PTC;Aguardando julgamento;MINAS MELHOR
ALEXANDRINA MARIA RODRIGUES GUIMARÃES;ALEXANDRINA;Deputado Estadual;33052;PMN;Aguardando julgamento;PMN
ALEXANDRO JOAO DE MORAES FALEIROS;ALEXANDRO FALEIROS;Deputado Estadual;65115;PC do B;Deferido;PC do B
ALFREDO TEIXEIRA DE LIMA FILHO;ALFREDO TEIXEIRA;Deputado Estadual;44300;PRP;Deferido;SOU + MINAS
ALINE SOARES NOGUEIRA;ALINE NOGUEIRA;Deputado Estadual;43200;PV;Aguardando julgamento;MINAS AVANÇA
ALLAN MARTINS DUTRA BORGES;ALLAN BORGES;Deputado Estadual;15515;PMDB;Deferido;MINAS PARA TODOS
ALMIR PEREIRA DA SILVA;ALMIR SILVA;Deputado Estadual;70777;PT do B;Deferido;PT do B
AMANDA DA SILVA MARTINS;AMANDA MARTINS;Deputado Estadual;43415;PV;Aguardando julgamento;MINAS AVANÇA
AMERICO ALEXANDRE CIANFARANI XAVIER;XAVIER;Deputado Estadual;10500;PRB;Deferido;MINAS PARA TODOS
AMÉRICO FERREIRA DA SILVA;AMÉRICO;Deputado Estadual;50777;PSOL;Aguardando julgamento;FRENTE DE ESQUERDA SOCIALISTA
AMIL SOCORRO DE PAULA FARIA;AMIL;Deputado Estadual;19200;PTN;Deferido;UMA SO MINAS
ANA AMELIA DE FATIMA DUARTE;DONA FATIMA;Deputado Estadual;70013;PT do B;Deferido;PT do B
ANA CANDIDA MOREIRA TALIM;ANA CANDIDA;Deputado Estadual;44456;PRP;Aguardando julgamento;SOU + MINAS
ANA CLAUDIA GARCIA DE FARIA;ANA CLAUDIA MADRINHEIRA;Deputado Estadual;70300;PT do B;Deferido;PT do B
ANA GUEDES DA SILVA;ANA DA SOPA;Deputado Estadual;10015;PRB;Deferido;MINAS PARA TODOS
ANA KARINA SILVA DE OLIVEIRA;KARINA DO SALAO;Deputado Estadual;19350;PTN;Aguardando julgamento;UMA SO MINAS
ANA LUCIA DE ASSIS;ANA LUCIA;Deputado Estadual;33579;PMN;Deferido;PMN
ANA LUCIA DOS SANTOS RODRIGUES;ANA LUCIA;Deputado Estadual;13881;PT;Aguardando julgamento;MINAS PARA TODOS
ANA MACEDO DOS SANTOS;ANA MACEDO;Deputado Estadual;36081;PTC;Aguardando julgamento;MINAS MELHOR
ANA MARIA DE RESENDE VIEIRA;ANA MARIA;Deputado Estadual;45789;PSDB;Deferido;A VOZ DE MINAS
ANA PAULA BATISTA PINTO;ANA PAULA;Deputado Estadual;54555;PPL;Aguardando julgamento;MINAS QUER MUDANÇA
ANA PAULA CARVALHO FRANÇA;ANA CARVALHO;Deputado Estadual;28113;PRTB;Deferido;MINAS QUER MUDANÇA
ANA PAULA DA SILVA CUNHA;SARGENTO ANA PAULA;Deputado Estadual;43193;PV;Aguardando julgamento;MINAS AVANÇA
ANA PAULA DOS SANTOS;PAULINHA;Deputado Estadual;22727;PR;Aguardando julgamento;PR
ANA STAMATIOS PERIDIS;ANA;Deputado Estadual;90101;PROS;Deferido;MINAS PARA TODOS
ANDERSON BRITO PEREIRA;ANDERSON BRITO;Deputado Estadual;12197;PDT;Aguardando julgamento;MINAS AVANÇA
ANDERSON CARLOS DA SILVA;ANDERSON DO GÁS;Deputado Estadual;27100;PSDC;Aguardando julgamento;UMA SO MINAS
ANDERSON CESAR MOURA DE ASSIS;SARGENTO ANDERSON;Deputado Estadual;70193;PT do B;Deferido;PT do B
ANDERSON COSTA CABIDO;ANDERSON CABIDO;Deputado Estadual;13000;PT;Deferido;MINAS PARA TODOS
ANDERSON JOSÉ RIBEIRO SALEME;ANDERSON SALEME;Deputado Estadual;22123;PR;Deferido;PR
