Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABDIAS BRAZ FERNANDES;ABDIAS BRAZ;Deputado Federal;2340;PPS;Deferido;MINAS SEGUE EM FRENTE
ABNER DE NER DINO PEDRA;DINO;Deputado Federal;4501;PSDB;Aguardando julgamento;A VEZ DE MINAS
ADÃO GOMES FILHO;ADÃO GOMES;Deputado Federal;1405;PTB;Deferido;UNIDOS POR MINAS
ADEILSON QUINTINO DE SOUSA;ADEILSON GAGUINHO;Deputado Federal;1750;PSL;Aguardando julgamento;MINAS MELHOR
ADEIR BATISTA PEREIRA;ADEIR BATISTA;Deputado Federal;9020;PROS;Deferido;MINAS PRA VOCÊ
ADELMO CARNEIRO LEAO;ADELMO LEAO;Deputado Federal;1350;PT;Aguardando julgamento;MINAS PRA VOCÊ
ADELMO PADILHA DE MIRANDA;ADELMO;Deputado Federal;4488;PRP;Deferido;+MINAS
ADEMIR CAMILO PRATES RODRIGUES;ADEMIR CAMILO;Deputado Federal;9010;PROS;Deferido;MINAS PRA VOCÊ
ADICIO DIAS SOARES;ADILSON  DA VALE VERDE;Deputado Federal;1945;PTN;Deferido;UMA SO MINAS
ÁDILA VALDEMIRA SEVERINO DAS NEVES;ÁDILA NEVES;Deputado Federal;3680;PTC;Deferido;MINAS MELHOR
ADILSON DE OLIVEIRA;ADILSON PÉ DE CHUMBO;Deputado Federal;2255;PR;Deferido;A VEZ DE MINAS
ADILSON JORGE ROSSY DOS SANTOS;ROSSY DA AUTO ESCOLA;Deputado Federal;1478;PTB;Deferido;UNIDOS POR MINAS
ADMAR RODRIGUES SOARES;ADMAR SOARES;Deputado Federal;7081;PT do B;Deferido;+MINAS
ADRIANA ASSIS MARQUES;ADRIANINHA MARQUES;Deputado Federal;4326;PV;Deferido;MINAS SEGUE EM FRENTE
ADRIANA PINHEIRO GODINHO;ADRIANA PINHEIRO;Deputado Federal;2015;PSC;Deferido;MINAS MELHOR
ADRIANE SOARES DE MIRANDA MEDEIROS;ADRIANE DE MIRANDA;Deputado Federal;1381;PT;Deferido;MINAS PRA VOCÊ
ADRIANO MATEUS FERREIRA;ADRIANO FERREIRA;Deputado Federal;4067;PSB;Aguardando julgamento;MINAS QUER MUDANÇA
AECIO TADEU FERREIRA SANTOS;AÉCIO DE RIBEIRÃO DAS NEVES;Deputado Federal;2330;PPS;Deferido;MINAS SEGUE EM FRENTE
AELTON JOSÉ DE FREITAS;AELTON FREITAS;Deputado Federal;2222;PR;Aguardando julgamento;A VEZ DE MINAS
AGUINALDO BRAGA DA SILVA;PASTOR AGUINALDO;Deputado Federal;4001;PSB;Aguardando julgamento;MINAS QUER MUDANÇA
ALAERSON CHAVES DA SILVA;ALAERSON CHAVES;Deputado Federal;4030;PSB;Aguardando julgamento;MINAS QUER MUDANÇA
ALAERTE BATISTA DA ROCHA;ALAERTE ROCHA;Deputado Federal;1952;PTN;Renúncia;UMA SO MINAS
ALAIDE PIMENTA GOMES;ALAIDE PIMENTA;Deputado Federal;1993;PTN;Deferido;UMA SO MINAS
ALBERTO CARLOS GOMES TAMEIRÃO;ALBERTINHO TAMEIRÃO;Deputado Federal;4025;PSB;Aguardando julgamento;MINAS QUER MUDANÇA
ALBERTO GOMES DA SILVA;PEÇA;Deputado Federal;2867;PRTB;Aguardando julgamento;MINAS QUER MUDANÇA
ALCINDOR RIBEIRO DAMASCENO;BISPO DAMASCENO;Deputado Federal;3103;PHS;Deferido;+MINAS
ALDENI DE SOUZA GUERRA RAMOS;ALDENI GUERRA;Deputado Federal;1267;PDT;Aguardando julgamento;MINAS SEGUE EM FRENTE
ALESSANDRA ELIAS MACHADO;ALESSANDRA MACHADO;Deputado Federal;1707;PSL;Aguardando julgamento;MINAS MELHOR
ALESSANDRA MOREIRA DA COSTA;SANDRINHA;Deputado Federal;7094;PT do B;Renúncia;+MINAS
ALESSANDRA VIEIRA JORGE;ALESSANDRA VIEIRA JORGE;Deputado Federal;3104;PHS;Indeferido;+MINAS
ALEXANDRE  GOMES FERREIRA;ALEXANDRE GOMES;Deputado Federal;3670;PTC;Aguardando julgamento;MINAS MELHOR
ALEXANDRE DE AMORIM VELASCO DE SOUZA;PASTOR ALEXANDRE AMORIM;Deputado Federal;1077;PRB;Deferido;MINAS PRA VOCÊ
ALEXANDRE DE MORAIS MARQUES;ALEXANDRE MARQUES;Deputado Federal;1519;PMDB;Deferido;MINAS PRA VOCÊ
ALEXANDRE GONÇALVES QUARESMA;ALEXANDRE QUARESMA;Deputado Federal;4355;PV;Deferido;MINAS SEGUE EM FRENTE
ALEXANDRE KALIL;ALEXANDRE KALIL;Deputado Federal;4013;PSB;Aguardando julgamento;MINAS QUER MUDANÇA
ALEXANDRE MAGNO DE MOURA;ALEXANDRE MAGNO;Deputado Federal;3131;PHS;Deferido;+MINAS
ALEXANDRE RAIMUNDO BARROS LIMA;ALEXANDRE LIMA;Deputado Federal;1744;PSL;Aguardando julgamento;MINAS MELHOR
ALFREDO DA SILVA RAMALHO;CORONEL RAMALHO;Deputado Federal;1020;PRB;Deferido;MINAS PRA VOCÊ
ALICIO RIBEIRO ROCHA;ALICIO;Deputado Federal;1999;PTN;Aguardando julgamento;UMA SO MINAS
ALOÍSIO RAFAEL SOARES;ALOÍSIO RAFAEL;Deputado Federal;2544;DEM;Aguardando julgamento;A VEZ DE MINAS
ALOISIO SANTOS NEIVA;ALOISIO SANTOS NEIVA;Deputado Federal;4011;PSB;Aguardando julgamento;MINAS QUER MUDANÇA
ALOYSIO RODRIGUES DA CUNHA;ALOYSIO CUNHA;Deputado Federal;4437;PRP;Aguardando julgamento;+MINAS
ALVARO CESAR CAROLINO;CESAR CAROLINO;Deputado Federal;1301;PT;Deferido;MINAS PRA VOCÊ
ALVARO DE ARAUJO LOBO;ALVARO LOBO;Deputado Federal;5020;PSOL;Deferido;FRENTE DE ESQUERDA SOCIALISTA
ALVARO RODRIGUES COELHO;CABO COELHO;Deputado Federal;7010;PT do B;Deferido;+MINAS
ALVIMAR ROGERIO DE SOUZA;ALVIMAR ROGERIO;Deputado Federal;4090;PSB;Aguardando julgamento;MINAS QUER MUDANÇA
ANA GERALDA DO NASCIMENTO BISPO;ANA CAZZUALLI;Deputado Federal;4420;PRP;Deferido;+MINAS
ANA LETÍCIA MEDEIROS GODOI SILVA;ANINHA;Deputado Federal;1680;PSTU;Deferido;FRENTE DE ESQUERDA SOCIALISTA
ANA LUCIA BARROSO DA SILVA;ANINHA DO NAÚTICO;Deputado Federal;1721;PSL;Deferido;MINAS MELHOR
ANDERSON ADAUTO PEREIRA;ANDERSON ADAUTO;Deputado Federal;1015;PRB;Aguardando julgamento;MINAS PRA VOCÊ
ANDRE LUIZ ALMEIDA TURCI;ANDRE TURCI;Deputado Federal;2017;PSC;Deferido;MINAS MELHOR
ANDRÉ NOGUEIRA DE ÁVILA;ANDRÉ NOGUEIRA;Deputado Federal;1623;PSTU;Deferido;FRENTE DE ESQUERDA SOCIALISTA
ANDREA NEVES BRANDÃO;ANDREA NEVES;Deputado Federal;2307;PPS;Deferido;MINAS SEGUE EM FRENTE
ANDREIA JACQUELINE PACHECO;ANDREIA PACHECO;Deputado Federal;3612;PTC;Deferido;MINAS MELHOR
ANDREIA MARTINS DE SOUZA BOTELHO;ANDREIA BOTELHO;Deputado Federal;1723;PSL;Deferido;MINAS MELHOR
ANDRESA SA DE OLIVEIRA;ANDRESA;Deputado Federal;1292;PDT;Aguardando julgamento;MINAS SEGUE EM FRENTE
ANDRESSA AGUILAR FREIRE;ANDRESSA FREIRE;Deputado Federal;3111;PHS;Deferido;+MINAS
ANGELA MAIRINK DE SOUZA PEREIRA;ANGELA MAIRINK;Deputado Federal;1002;PRB;Deferido;MINAS PRA VOCÊ
ANGELA MARIA CARDOSO FARIAS;ANGELA FIA;Deputado Federal;3630;PTC;Aguardando julgamento;MINAS MELHOR
ÂNGELO AMARO DA SILVA;ANGELO AMARO;Deputado Federal;5070;PSOL;Deferido;FRENTE DE ESQUERDA SOCIALISTA
ANNA CHRISTINA GOMES LHAMAS;ANNA LHAMAS;Deputado Federal;4346;PV;Indeferido;MINAS SEGUE EM FRENTE
