Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABADIO MARQUES DE REZENDE;ABADIO REZENDE;Deputado Estadual;17200;PSL;Aguardando julgamento;MATO GROSSO DO SUL COM A FORÇA DE TODOS V
ABMAEL BARBOSA PEREIRA;ABMAEL PEREIRA;Deputado Estadual;20222;PSC;Deferido;MS CADA VEZ MELHOR III
ADA MARIA NOGUEIRA DA SILVA;ADA NOGUEIRA;Deputado Estadual;19666;PTN;Indeferido;PTN
ADAMO DEL PINO LINO;ADAMO DEL PINO LINO;Deputado Estadual;15001;PMDB;Deferido;PMDB
ADÃO DE ARRUDA SALES;DR. ADÃO SALEMAQ;Deputado Estadual;43567;PV;Indeferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS VI
ADAUTO CANDIDO DE ALMEIDA;ADAUTO;Deputado Estadual;77077;SD;Indeferido com recurso;NOVO TEMPO
ADEMAR DOS SANTOS;SUBOFICIAL ADEMAR TIRIRICA;Deputado Estadual;36007;PTC;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS VI
ADEMIR PAULINO DA SILVA;ADEMIR PAULINO ( ESPONJA);Deputado Estadual;44111;PRP;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS V
ADI ANTONIO BONIATTI;TOSTÃO;Deputado Estadual;36036;PTC;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS VI
ADNILSON MULLER;MULLER;Deputado Estadual;44999;PRP;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS V
ADONIS MARCOS DE SOUZA;ADONIS MARCOS;Deputado Estadual;14114;PTB;Indeferido com recurso;MATO GROSSO DO SUL COM A FORÇA DE TODOS V
ADRIANO ORLING DE ARRUDA;ADRIANO DA MATADEIRA;Deputado Estadual;33333;PMN;Deferido;NOVO TEMPO
ADRIANO PALOPOLI;ADRIANO PALOPOLI;Deputado Estadual;55755;PSD;Deferido;NOVO TEMPO
AFONSO PEREIRA TEIXEIRA;AFONSO;Deputado Estadual;17018;PSL;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS V
AIDA MACHADO DOMINGOS;AIDA MACHADO;Deputado Estadual;45677;PSDB;Deferido;NOVO TEMPO
ALAN BRANDÃO DOS REIS;ALLAN REIS;Deputado Estadual;36000;PTC;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS VI
ALBA ALVES CUEVAS;ALBA AMARAL;Deputado Estadual;43122;PV;Aguardando julgamento;MATO GROSSO DO SUL COM A FORÇA DE TODOS VI
ALBERTO ALVES DE SOUZA;ALBERTO BUIU;Deputado Estadual;44123;PRP;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS V
ALBERTO ALVES DOS SANTOS;BEBETO;Deputado Estadual;12200;PDT;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS IV
ALBERTO DA COSTA NETO;GUARDA MUNICIPAL ALBERTO;Deputado Estadual;65153;PC do B;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS VI
ALBERTO ELPÍDIO FERREIRA DIAS JÚNIOR;BETINHO DIAS;Deputado Estadual;51123;PEN;Deferido;MS CADA VEZ MELHOR III
ALCIL DE SOUZA FILHO;CISINHO;Deputado Estadual;54054;PPL;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS VI
ALDO ROBERTO BRANDÃO;DELEGADO ALDO BRANDÃO;Deputado Estadual;28028;PRTB;Deferido;MS CADA VEZ MELHOR III
ALESSANDRO CHAVES ANDRADE;ALESSANDRO CHAVES;Deputado Estadual;10000;PRB;Deferido;MS CADA VEZ MELHOR III
ALINE BALTA VIANNA;ALINE BALTA;Deputado Estadual;15240;PMDB;Deferido;PMDB
ALMIRA ANDRADE DE MIRANDA;ALMIRA MIRANDA;Deputado Estadual;50808;PSOL;Deferido;PSOL
ALOISIO EFFGEN;SID DO GÁS;Deputado Estadual;19654;PTN;Deferido;PTN
ALTINO MENDES DA COSTA SOBRINHO;ALTINO MENDES;Deputado Estadual;50444;PSOL;Deferido;PSOL
ALVARO DE JESUS BARBOSA;ALVARO BARBOSA;Deputado Estadual;19312;PTN;Renúncia;PTN
ALVARO SOARES DOS SANTOS;ALVARO SOARES;Deputado Estadual;70222;PT do B;Deferido;MS CADA VEZ MELHOR III
AMARILDO SANTANA DELMONDES;AMARILDO SANTANA DELMONDES;Deputado Estadual;70190;PT do B;Deferido;MS CADA VEZ MELHOR III
AMARILDO VALDO DA CRUZ;AMARILDO CRUZ;Deputado Estadual;13013;PT;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS III
ANA MARIA DOS SANTOS GOMES;ANA MARIA;Deputado Estadual;20999;PSC;Deferido;MS CADA VEZ MELHOR III
ANA PAULA DA SILVA MELLO;ANA PAULA;Deputado Estadual;17500;PSL;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS V
ANDRE LUIS SOARES DA FONSECA;PROF. ANDRE;Deputado Estadual;43123;PV;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS VI
ANDRÉ LUIZ SANCHES SALINEIRO;ANDRÉ SALINEIRO AGENTE FEDERAL;Deputado Estadual;45190;PSDB;Deferido;NOVO TEMPO
ANDRÉIA CONCEIÇÃO DI MOURA OLIVEIRA;FLORZINHA DI MOURA;Deputado Estadual;14014;PTB;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS V
ÂNGELO CHAVES GUERREIRO;ANGELO GUERREIRO;Deputado Estadual;45055;PSDB;Deferido;NOVO TEMPO
