Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADEMAR VIEIRA JUNIOR;CORINGA;Deputado Federal;5511;PSD;Deferido;NOVO TEMPO
AILTON STROPA GARCIA;AILTON STROPA;Deputado Federal;2500;DEM;Deferido;NOVO TEMPO
ALBERTO DE MEDEIROS GUIMARAES;ALBERTO GUIMARAES;Deputado Federal;1169;PP;Deferido;PP
ALDENOR DIAS CARDOSO;CARDOSO - O HOMEM DA MULETA;Deputado Federal;3131;PHS;Deferido;MS CADA VEZ MELHOR II
ALDO EURIPEDES DONIZETE;ALDO;Deputado Federal;2311;PPS;Deferido;NOVO TEMPO
ALIR TERRA LIMA;ALIR TERRA LIMA;Deputado Federal;2213;PR;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS I
AMARILIS PEREIRA AMARAL SCUDELLARI;AMARILIS AMARAL;Deputado Federal;1377;PT;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS I
AMILTON APARECIDO DA SILVA;AMILTON APARECIDO;Deputado Federal;1715;PSL;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS II
ANA PAULA BORTOLIERO DUTRA;ANA PAULA DUTRA;Deputado Federal;7077;PT do B;Deferido;MS CADA VEZ MELHOR II
ANASTÁCIO PERALTA;ANASTÁCIO PERALTA;Deputado Federal;1333;PT;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS I
ÂNGELA MARIA COSTA;ÂNGELA COSTA;Deputado Federal;4544;PSDB;Deferido;NOVO TEMPO
ANGELA MARIA DA ANUNCIAÇÃO LOUREIRO;ANGELA AJALA;Deputado Federal;4461;PRP;Indeferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS II
ANISIO GUILHERME DA FONSECA;ANISIO GUATÓ;Deputado Federal;5058;PSOL;Deferido;PSOL
ANTONIO CARLOS BIFFI;BIFFI;Deputado Federal;1322;PT;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS I
ANTONIO CARLOS SIUF HINDO;DR HINDO;Deputado Federal;5011;PSOL;Renúncia;PSOL
ANTÔNIO CEZAR SANTOS SABATEL;DR SABATEL;Deputado Federal;5575;PSD;Deferido;NOVO TEMPO
ANTONIO FERREIRA DA CRUZ FILHO;DR ANTONIO CRUZ;Deputado Federal;2222;PR;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS I
ANTONIO JOSÉ DE SOUZA LOBO;ANTÔNIO LOBO;Deputado Federal;2828;PRTB;Deferido;MS CADA VEZ MELHOR II
ANTONIO LUIZ TEIXEIRA EMPKE JUNIOR;TONHÃO;Deputado Federal;1501;PMDB;Deferido;MS CADA VEZ MELHOR I
ANTONIO PEREZ VERGARA DA ROCHA;INDIO;Deputado Federal;5051;PSOL;Indeferido;PSOL
ARILDO SOARES DELGADILHO;ARILDO SOARES;Deputado Federal;1733;PSL;Aguardando julgamento;MATO GROSSO DO SUL COM A FORÇA DE TODOS II
AROLDO DE CASTRO TAVARES JÚNIOR;AROLDO TAVARES;Deputado Federal;3111;PHS;Renúncia;MS CADA VEZ MELHOR II
ASTRO REZENDE;ASTRO REZENDE;Deputado Federal;7070;PT do B;Deferido;MS CADA VEZ MELHOR II
BRUNO ALBERTO GONZALES DE REICHARDT;BRUNOI REICHARDT;Deputado Federal;1555;PMDB;Deferido;MS CADA VEZ MELHOR I
CARLA CHARBEL STEPHANINI;CARLA STEPHANINI;Deputado Federal;1500;PMDB;Deferido;MS CADA VEZ MELHOR I
CARLOS ALBERTO ALFONSO DE MELO;CARLINHOS ANJOS DA ORDEM;Deputado Federal;7071;PT do B;Deferido;MS CADA VEZ MELHOR II
CARLOS EDUARDO LHOPI JARDIM;CARLOS JARDIM;Deputado Federal;4333;PV;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS II
CARLOS EDUARDO XAVIER MARUN;MARUN;Deputado Federal;1515;PMDB;Deferido;MS CADA VEZ MELHOR I
CELESTINO GONÇALVES DE OLIVEIRA;CELESTINO GONÇALVES;Deputado Federal;3140;PHS;Deferido;MS CADA VEZ MELHOR II
CEZAR RENATO GAZOLLA;GAZOLLA;Deputado Federal;3636;PTC;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS I
CLAUDIO ALVES SERTÃO;CLAUDIO SERTÃO;Deputado Federal;1919;PTN;Deferido;MS CADA VEZ MELHOR I
CLAUDIO ROBERTO SIQUEIRA LINS;CLAUDIO LINS;Deputado Federal;7012;PT do B;Deferido;MS CADA VEZ MELHOR II
CRISTIANO JOSÉ MARTINS DE FREITAS;CRISTIANO MARTINS;Deputado Federal;4343;PV;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS II
CRISTINA RODRIGUES DE MORAES;CRISTINA RODRIGUES;Deputado Federal;4577;PSDB;Deferido;NOVO TEMPO
DAGOBERTO NOGUEIRA FILHO;DAGOBERTO NOGUEIRA;Deputado Federal;1234;PDT;Deferido;MATO GROSSO DO SUL COM A FORÇA DE TODOS I
