Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABEL MOREIRA;ABEL MOREIRA;Deputado Estadual;17665;PSL;Deferido;CORAGEM E ATITUDE PRA MUDAR II
ADALTO DE FREITAS FILHO;DALTINHO;Deputado Estadual;77123;SD;Deferido;AVANÇA MATO GROSSO
ADALTO LIMONGI DE FREITAS;DALTINHO FILHO;Deputado Estadual;77456;SD;Renúncia;AVANÇA MATO GROSSO
ADELITA DE CARVALHO SOUZA;ADELITA DE CARVALHO;Deputado Estadual;70333;PT do B;Aguardando julgamento;PT do B
ADEMIR ANTONIO BRUNETTO;ADEMIR BRUNETTO;Deputado Estadual;13000;PT;Deferido;AMOR A NOSSA GENTE II
ADEMIR DA SILVA;BIUDA;Deputado Estadual;43555;PV;Deferido;CORAGEM E ATITUDE PRA MUDAR III
ADEVAIR BATISTA CABRAL;ADEVAIR CABRAL;Deputado Estadual;12500;PDT;Deferido;CORAGEM E ATITUDE PRA MUDAR V
ADILSON AMERICO MACHADO DE OLIVEIRA;ADILSON LEVANTE;Deputado Estadual;40140;PSB;Aguardando julgamento;CORAGEM E ATITUDE PRA MUDAR IV
ADILSON DE SOUZA MADEIRA;ADILSON MADEIRA;Deputado Estadual;36323;PTC;Deferido;AVANÇA MATO GROSSO
ADONIAS FERNANDES DE SOUZA;ADONIAS FERNANDES;Deputado Estadual;15789;PMDB;Deferido;AMOR A NOSSA GENTE II
ADRIANA LUCIA VANDONI CURVO;ADRIANA VANDONI;Deputado Estadual;12012;PDT;Deferido;CORAGEM E ATITUDE PRA MUDAR V
ADRIANO APARECIDO SILVA;PROFº ADRIANO SILVA;Deputado Estadual;11245;PP;Aguardando julgamento;CORAGEM E ATITUDE PRA MUDAR IV
ADRIELI SUZAMAR DO NASCIMENTO EICKHOFF;ADRIELI EICKHOFF;Deputado Estadual;90222;PROS;Deferido;AMOR A NOSSA GENTE II
AIRTON CALLAI;CALLAI;Deputado Estadual;55000;PSD;Deferido;PSD
AIRTON RONDINA LUIZ;AIRTON PORTUGUES;Deputado Estadual;55222;PSD;Aguardando julgamento;PSD
ALAN BENEDITO DE OLIVEIRA OJEDA;ALAN OJEDA;Deputado Estadual;15315;PMDB;Deferido;AMOR A NOSSA GENTE II
ALDO TIMÓTEO DA CONCEIÇÃO;ALDO TIMÓTEO;Deputado Estadual;50158;PSOL;Deferido;PSOL
ALEXANDRA DA SILVA FERNANDES;ALEXANDRA FERNANDES;Deputado Estadual;25072;DEM;Aguardando julgamento;CORAGEM E ATITUDE PRA MUDAR V
ALEXANDRE DEMARCHI;ALEXANDRE DEMARCHI;Deputado Estadual;14444;PTB;Deferido;CORAGEM E ATITUDE PRA MUDAR II
ALEXANDRE PINTO LIBERATTI;DR. LIBERATTI;Deputado Estadual;14440;PTB;Deferido;CORAGEM E ATITUDE PRA MUDAR II
