Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADALTO DE FREITAS FILHO;ADALTO DE FREITAS;Deputado Federal;7700;SD;Renúncia;VIVA MATO GROSSO II
ADRIANA GOMES CASTANHO;ADRIANA GOMES;Deputado Federal;9080;PROS;Deferido;AMOR A NOSSA GENTE I
AFONSO RODRIGUES DE MELO;AFONSO MELO;Deputado Federal;3171;PHS;Deferido;MOBILIZAR E HUMANIZAR
ALDITON DOMINGOS SACHETTI;ADILTON SACHETTI;Deputado Federal;4045;PSB;Aguardando julgamento;CORAGEM E ATITUDE PRA MUDAR I
ANA RITA MACIEL RIBEIRO;ANA RITA;Deputado Federal;2555;DEM;Deferido;CORAGEM E ATITUDE PRA MUDAR I
ANGELA KEMZIA SANTIN;ANGELA;Deputado Federal;3311;PMN;Deferido;MOBILIZAR E HUMANIZAR
ANTONIO LUCIO DE OLIVEIRA NETO;LUCIO MANDIOCA;Deputado Federal;3131;PHS;Deferido;MOBILIZAR E HUMANIZAR
ANTONIO ROSA RODRIGUES;TONINHO BORA;Deputado Federal;9011;PROS;Deferido;AMOR A NOSSA GENTE I
ARNALDO PAULA DA SILVA;ARNALDO DI PAULA;Deputado Federal;3100;PHS;Deferido;MOBILIZAR E HUMANIZAR
AVELINO RIBEIRO DA SILVA NETO;MAMÃO;Deputado Federal;1599;PMDB;Deferido;AMOR A NOSSA GENTE I
BEATRIZ DE FATIMA SUECK LEMES;BIA;Deputado Federal;5544;PSD;Deferido;VIVA MATO GROSSO II
BENEDITO ANTONIO DE CAMPOS;DITO ENFERMEIO;Deputado Federal;7055;PT do B;Aguardando julgamento;PT do B
BENEDITO FRANCISCO CURVO;CHICO CURVO;Deputado Federal;5588;PSD;Aguardando julgamento;VIVA MATO GROSSO II
BENEDITO MORAES DE ALENCASTRO;BENEDITO ALENCASTRO;Deputado Federal;2877;PRTB;Deferido;VIVA MATO GROSSO II
CAIUBI EMANUEL SOUZA KUHN;CAIUBI;Deputado Federal;1202;PDT;Deferido;CORAGEM E ATITUDE PRA MUDAR I
CARLOS ALBERTO DE OLIVEIRA;KAKÁ;Deputado Federal;3110;PHS;Indeferido;MOBILIZAR E HUMANIZAR
CARLOS GOMES BEZERRA;CARLOS BEZERRA;Deputado Federal;1515;PMDB;Deferido;AMOR A NOSSA GENTE I
CESAR LIMA DO NASCIMENTO;CESAR LIMA;Deputado Federal;7070;PT do B;Renúncia;PT do B
DENILSON ROBERTO SODRE DE OLIVEIRA;VEREADOR DICO;Deputado Federal;9030;PROS;Deferido;AMOR A NOSSA GENTE I
DIRCEU ANTONIO ZANATTA;DIRCEU ZANATTA;Deputado Federal;1500;PMDB;Deferido;AMOR A NOSSA GENTE I
DOMINGAS RAMOS DA SILVA;DOMINGAS RAMOS;Deputado Federal;4598;PSDB;Deferido;CORAGEM E ATITUDE PRA MUDAR I
DRAZIO SANTOS NASCIMENTO;DRAZIO NASCIMENTO;Deputado Federal;7080;PT do B;Deferido;PT do B
EDERSON DAL MOLIN;XUXU DAL MOLIN;Deputado Federal;1200;PDT;Deferido;CORAGEM E ATITUDE PRA MUDAR I
EDVANE MARIA DA COSTA;CB EDVANE;Deputado Federal;7788;SD;Deferido;VIVA MATO GROSSO II
ELIANE DA SILVA LELIS;ELIANE LELIS;Deputado Federal;4322;PV;Aguardando julgamento;CORAGEM E ATITUDE PRA MUDAR I
ELIENE JOSÉ DE LIMA;ELIENE LIMA;Deputado Federal;5540;PSD;Deferido;VIVA MATO GROSSO II
ELIZANDRA ETTORE DE QUEIROZ;LIZA;Deputado Federal;5566;PSD;Deferido;VIVA MATO GROSSO II
ELOI LUIZ DE ALMEIDA;ELOI LUIZ DE ALMEIDA;Deputado Federal;5512;PSD;Deferido;VIVA MATO GROSSO II
ELZIRENE ROSSETE GOMES;LENIHA ROSSETE;Deputado Federal;7799;SD;Aguardando julgamento;VIVA MATO GROSSO II
ERASMO CARLOS DA COSTA;CARLOS MENEGATTI;Deputado Federal;5505;PSD;Deferido;VIVA MATO GROSSO II
EUZIMAR SANTOS BATISTA;EUZIMAR BATISTA;Deputado Federal;9070;PROS;Deferido;AMOR A NOSSA GENTE I
EVANDRO CARLOS FRACASSO;EVANDRO CARLOS;Deputado Federal;1456;PTB;Deferido;CORAGEM E ATITUDE PRA MUDAR I
EWERTON APARECIDO MOREIRA SALGADO;WETO SALGADO;Deputado Federal;2777;PSDC;Aguardando julgamento;CORAGEM E ATITUDE PRA MUDAR I
EZEQUIEL ANGELO FONSECA;EZEQUIEL FONSECA;Deputado Federal;1111;PP;Deferido;CORAGEM E ATITUDE PRA MUDAR I
FABIO BARBOSA SENA;FABIO SENNA;Deputado Federal;3621;PTC;Deferido;VIVA MATO GROSSO II
FABIO PAULINO GARCIA;FABIO GARCIA;Deputado Federal;4010;PSB;Deferido;CORAGEM E ATITUDE PRA MUDAR I
FELIX MANOEL SOUZA PINTO ALVARES;FELIX ALVARES;Deputado Federal;7789;SD;Deferido;VIVA MATO GROSSO II
