Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADAILSON FRANCELINO DE SOUZA;SARGENTO OURO;Deputado Estadual;54010;PPL;Indeferido;PDT, PPL, PTN E PSL
ADEMAR DA SILVA LOPES;ADEMAR;Deputado Estadual;12346;PDT;Deferido;PDT, PPL, PTN E PSL
ADEMAR FERREIRA GONÇALVES;ADEMAR;Deputado Estadual;77100;SD;Deferido;A FORÇA DA NOSSA GENTE II
ADEMIRSON ALVES BORGES;CHEFINHO;Deputado Estadual;11123;PP;Deferido;PRA FRENTE PARÁ
ADILSON APARECIDO DE OLIVEIRA;ADILSON SANTA FÉ;Deputado Estadual;12279;PDT;Deferido;PDT, PPL, PTN E PSL
ADRIANA ANDRADE OLIVEIRA;ADRIANA ANDRADE;Deputado Estadual;31515;PHS;Deferido;UNIÃO PELO POVO DO PARÁ
ADRIANA DIAS ALEIXO;ADRIANA ALEIXO;Deputado Estadual;17710;PSL;Renúncia;PDT, PPL, PTN E PSL
ADRIANO JORGE COSTA AGUIAR;PROFESSOR AGUIAR;Deputado Estadual;12089;PDT;Deferido;PDT, PPL, PTN E PSL
AFIF AL JAWABRI;AFIF;Deputado Estadual;12333;PDT;Deferido;PDT, PPL, PTN E PSL
AFONSO ROMILDO PIMENTEL DE ALMEIDA;AFONSO ALMEIDA;Deputado Estadual;31315;PHS;Deferido;UNIÃO PELO POVO DO PARÁ
AFRANIO DE AZEVEDO ANDRADE;AFRÂNIO;Deputado Estadual;20800;PSC;Deferido;PSC
AGNES KELLEN DA SILVA MENDONÇA;AGNES;Deputado Estadual;10677;PRB;Deferido;A FORÇA DA NOSSA GENTE II
AGOSTINHO SOARES BELO;AGOSTINHO BELO;Deputado Estadual;31147;PHS;Indeferido;UNIÃO PELO POVO DO PARÁ
AGUINALDO DANTAS SOBRINHO;BOLINHA;Deputado Estadual;12163;PDT;Deferido;PDT, PPL, PTN E PSL
AILSON CAVALHEIRO CUNHA;AILSON CUNHA;Deputado Estadual;16123;PSTU;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
AIRTON LUIZ FALEIRO;AIRTON FALEIRO;Deputado Estadual;13500;PT;Deferido;TODOS PELO PARÁ  II
ALAN PEREIRA DA SILVA;ALAN PEREIRA;Deputado Estadual;17887;PSL;Deferido;PDT, PPL, PTN E PSL
ALBA MOURA DE OLIVEIRA;ALBA OLIVEIRA;Deputado Estadual;51005;PEN;Deferido;A FORÇA DA NOSSA GENTE II
ALDA VITORIA DOS SANTOS NASCIMENTO;ALDA VITÓRIA;Deputado Estadual;22015;PR;Indeferido;UNIÃO PELO POVO DO PARÁ
ALDERI BARRA FERREIRA;ALDO DE CRISTO;Deputado Estadual;77033;SD;Indeferido com recurso;A FORÇA DA NOSSA GENTE II
ALDO TARTARI;PASTOR ALDO TARTARI;Deputado Estadual;15300;PMDB;Deferido;TODOS PELO PARÁ  II
ALEANDRO MONTEIRO DE OLIVEIRA;XANDÃO ALEGRIA;Deputado Estadual;15787;PMDB;Deferido;TODOS PELO PARÁ  II
ALESSANDRA DA SILVA PINTO;ALESSANDRA DA SILVA;Deputado Estadual;65165;PC do B;Deferido;PC do B
ALESSANDRA SARDINHA CARVALHO;ALESSANDRA CARVALHO;Deputado Estadual;65741;PC do B;Deferido;PC do B
ALESSANDRO MIRANDA NUNES;ALESSANDRO MIRANDA;Deputado Estadual;20642;PSC;Renúncia;PSC
ALEX JOSÉ DE AQUINO SANTIAGO;ALEX SANTIAGO;Deputado Estadual;44111;PRP;Deferido;A FORÇA DA NOSSA GENTE II
ALEXANDRE DOS SANTOS NORONHA;ALEXANDRE NORONHA;Deputado Estadual;55110;PSD;Deferido;PRA FRENTE PARÁ
ALEXANDRE PEREIRA PINTO ALMEIDA;ALEXANDRE ALMEIDA;Deputado Estadual;31213;PHS;Deferido;UNIÃO PELO POVO DO PARÁ
ALFREDO CARDOSO COSTA;PROFESSOR ALFREDO COSTA;Deputado Estadual;13630;PT;Deferido;TODOS PELO PARÁ  II
ALINE DANIEL MELO;ALINE DANIEL;Deputado Estadual;20341;PSC;Indeferido;PSC
ALINE PATRICIA BERMEJO BEIRAO;ALINE BEIRAO;Deputado Estadual;20352;PSC;Deferido;PSC
