Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABRAHÃO NASCIMENTO PINHEIRO;JUNIOR SUPER;Deputado Federal;2828;PRTB;Indeferido com recurso;PRTB
ADELINO DO SOCORRO PEREIRA BESSA;ADELINO BESSA;Deputado Federal;5056;PSOL;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
ADEMIR GALVÃO ANDRADE;ADEMIR ANDRADE;Deputado Federal;4040;PSB;Deferido;UNIÃO PELO PARÁ
ADIVANILDA DOS SANTOS FIGUEIREDO;ADIVANILDA;Deputado Federal;1916;PTN;Deferido;PTN
ADMIR POMBO CORRÊA;ADMIR POMBO;Deputado Federal;1222;PDT;Deferido;DEFENDENDO O PARÁ
ADOLF FREDERICO RETTELBUSCH;FRED;Deputado Federal;4343;PV;Deferido;PV
AFONSO MATA VIDINHA;PROFESSOR AFONSO VIDINHA;Deputado Federal;2800;PRTB;Indeferido;PRTB
ALCIDES EUFRASIO DA CONCEIÇÃO NEGRÃO;CHITA;Deputado Federal;4567;PSDB;Deferido;UNIÃO PELO PARÁ
ALESSANDRA CELIS MEGUIS SOUZA;ALESSANDRA MEGUIS;Deputado Federal;3121;PHS;Indeferido;DEFENDENDO O PARÁ
ANA CLAUDIA DA SILVA VIANA;CLAUDIA VIANA;Deputado Federal;2509;DEM;Indeferido;DEFENDENDO O PARÁ
ANA ESMERALDA DOS SANTOS MEDEIROS;ANA POTY;Deputado Federal;1215;PDT;Deferido;DEFENDENDO O PARÁ
ANA JULIA DE VASCONCELOS CAREPA;ANA JULIA CAREPA;Deputado Federal;1314;PT;Deferido;TODOS PELO PARÁ  II
ANDRE COSTA DO NASCIMENTO;ANDRE COSTA;Deputado Federal;2877;PRTB;Indeferido;PRTB
ANGELA CONCEIÇÃO DE OLIVEIRA MONTEIRO;ANGELA MONTEIRO;Deputado Federal;1520;PMDB;Indeferido com recurso;TODOS PELO PARÁ  II
ANTONIO ARMANDO AMARAL DE CASTRO JUNIOR;ANTONIO ARMANDO JR;Deputado Federal;4510;PSDB;Deferido;UNIÃO PELO PARÁ
ANTONIO DA SILVA E SILVA;PROF ANTONIO NETO;Deputado Federal;1220;PDT;Indeferido com recurso;DEFENDENDO O PARÁ
ANTONIO HAMILTON BENTES;HAMILTON BENTES;Deputado Federal;1512;PMDB;Deferido;TODOS PELO PARÁ  II
ANTONIO JOSE SOUZA PARACAMPO;PARACAMPO;Deputado Federal;4312;PV;Deferido;PV
ARNALDO JORDY FIGUEIREDO;JORDY;Deputado Federal;2323;PPS;Deferido;UNIÃO PELO PARÁ
BIANCA DA SILVA HOLANDA;BIANCA HOLANDA;Deputado Federal;1600;PSTU;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
BRUNO CARLOS ANDRADE DA CRUZ;BRUNA LORRANE;Deputado Federal;7722;SD;Deferido;A FORÇA DA NOSSA GENTE
CARLA PANTOJA DA SILVA;CARLA PANTOJA;Deputado Federal;1927;PTN;Deferido;PTN
CARLOS ALBERTO DA SILVA;PASTOR CARLOS ALBERTO;Deputado Federal;4077;PSB;Deferido;UNIÃO PELO PARÁ
CARLOS ALBERTO OLIVEIRA DO COUTO JUNIOR;CARLOS COUTO;Deputado Federal;1477;PTB;Deferido;UNIÃO PELO PARÁ
CARLOS DO SOCORRO GUERREIRO VAZ;PROFESSOR CARLOS VAZ;Deputado Federal;5011;PSOL;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
CARLOS EDUARDO CARDOSO MARTINS;CARLOS MARTINS;Deputado Federal;1311;PT;Deferido;TODOS PELO PARÁ  II
CARMO LOURINHO PORTILHO;CARMO LOURINHO;Deputado Federal;1770;PSL;Indeferido;DEFENDENDO O PARÁ
CECÍLIA NAZARÉ MARTINS SACRAMENTO KEUFFER;CECÍLIA KEUFFER;Deputado Federal;4520;PSDB;Deferido;UNIÃO PELO PARÁ
CLAUDIA PINHEIRO DOS SANTOS;CLAUDIA SANTOS;Deputado Federal;1255;PDT;Deferido;DEFENDENDO O PARÁ
CLAUDIA RIBEIRO GUIMARÃES DA SILVA;CLAUDIA RIBEIRO;Deputado Federal;1030;PRB;Deferido;A FORÇA DA NOSSA GENTE
CLAUDIO ALBERTO CASTELO BRANCO PUTY;PUTY;Deputado Federal;1310;PT;Deferido;TODOS PELO PARÁ  II
CLAUDIO JOSÉ RAMOS FERNANDES;CLAUDIO FERNANDES;Deputado Federal;5020;PSOL;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
CLAUDIR DA CONCEIÇÃO GOMES;IRMÃO DIDI;Deputado Federal;1717;PSL;Deferido;DEFENDENDO O PARÁ
CREOMAR BARROS GONÇALVES PINHEIRO;CLEO PINHEIRO;Deputado Federal;1040;PRB;Indeferido;A FORÇA DA NOSSA GENTE
CRISTINA VASCONCELOS NUNES;CRISTINA DO PV;Deputado Federal;4344;PV;Deferido;PV
DENILSON DE SOUZA BRITO;DENILSON BRITO JR;Deputado Federal;3300;PMN;Indeferido;AVANÇA PARÁ
DENISE TEREZINHA GABRIEL;DENISE GABRIEL;Deputado Federal;4565;PSDB;Deferido;UNIÃO PELO PARÁ
DEONILDO JOSE GONÇALVES GOMES;SGT. DEONILDO;Deputado Federal;1919;PTN;Deferido;PTN
DEUSARINA SOARES DE ALMEIDA;DEUSINHA DE ALMEIDA;Deputado Federal;1601;PSTU;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
DEUSIMAR PEREIRA SILVA;DEUSA SILVA;Deputado Federal;1955;PTN;Deferido;PTN
DILSON DOS SANTOS NUNES;SGT. DILSON;Deputado Federal;3123;PHS;Deferido;DEFENDENDO O PARÁ
DIRCEU MILANI;BISPO MILANI;Deputado Federal;1221;PDT;Deferido;DEFENDENDO O PARÁ
DJALMA FONSECA DE MEDEIROS JUNIOR;JUNHÃO;Deputado Federal;2552;DEM;Deferido;DEFENDENDO O PARÁ
ÉDER MAURO CARDOSO BARRA;DELEGADO EDER MAURO;Deputado Federal;5500;PSD;Deferido;UNIÃO PELO PARÁ
EDILSON DE SOUSA SANTOS;CORNÉLIO SANTOS;Deputado Federal;5045;PSOL;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
EDINA DE JESUS PINHEIRO CASTRO;EDINA CASTRO;Deputado Federal;5120;PEN;Deferido;AVANÇA PARÁ
EDMILSON BRITO RODRIGUES;EDMILSON RODRIGUES;Deputado Federal;5050;PSOL;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
EDNA MARIA DE OLIVEIRA SERRÃO;EDNA SERRÃO;Deputado Federal;1913;PTN;Deferido;PTN
EDSON SILVA BARBOSA;EDSON CATENDÊ;Deputado Federal;5088;PSOL;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
ELCIONE THEREZINHA ZAHLUTH BARBALHO;ELCIONE;Deputado Federal;1515;PMDB;Deferido;TODOS PELO PARÁ  II
ELENILSON JOSE SANTOS DA COSTA;DR. ELENILSON;Deputado Federal;7070;PT do B;Deferido;UNIÃO PELO PARÁ
ELIETE TEIXEIRA MENDES;ELIETE TEIXEIRA;Deputado Federal;1012;PRB;Indeferido;A FORÇA DA NOSSA GENTE
ELIEZER PINHO DE FREITAS;ELIEZER FREITAS;Deputado Federal;4511;PSDB;Deferido;UNIÃO PELO PARÁ
ENILDE DE FIGUEIREDO PINHEIRO;ENILDE PINHEIRO;Deputado Federal;5170;PEN;Deferido;AVANÇA PARÁ
ESMERINO NERI BATISTA FILHO;MIRIQUINHO BATISTA;Deputado Federal;1380;PT;Deferido;TODOS PELO PARÁ  II
EVA ELIANA DE SOUZA ROCHA;EVA ROCHA;Deputado Federal;1155;PP;Deferido;UNIÃO PELO PARÁ
FABIO RONAN SOUZA SANTOS;FABIO RONAN;Deputado Federal;7789;SD;Deferido;A FORÇA DA NOSSA GENTE
FÁBIO VELOSO DE CASTRO;DELEGADO FÁBIO;Deputado Federal;3390;PMN;Deferido;AVANÇA PARÁ
FAISAL FARIS MAHMOUD SALMEN HUSSAIN;FAISAL;Deputado Federal;2312;PPS;Deferido;UNIÃO PELO PARÁ
FRANCISCA ALVES DE SOUSA;FRANCISCA SOUSA;Deputado Federal;4556;PSDB;Deferido;UNIÃO PELO PARÁ
FRANCISCO ALVES DE AGUIAR;CHAPADINHA;Deputado Federal;5577;PSD;Deferido;UNIÃO PELO PARÁ
FRANCISCO ARLES LORENZONI;BOLINHA;Deputado Federal;2524;DEM;Indeferido;DEFENDENDO O PARÁ
FRANCISCO DE SOUSA;CHIQUINHO;Deputado Federal;4523;PSDB;Deferido;UNIÃO PELO PARÁ
FRANCISCO JOSE OTERO BRASIL;007 BRASILEIRO;Deputado Federal;1999;PTN;Indeferido com recurso;PTN
FRANCISCO JOSE OTERO BRASIL;007 BRASILEIRO;Deputado Federal;1999;PTN;Renúncia;PTN
FRANCISCO LIMA DA COSTA;CHIQUINHO DA 11;Deputado Federal;1933;PTN;Renúncia;PTN
FRANCISCO NELIO AGUIAR DA SILVA;NÉLIO AGUIAR;Deputado Federal;2522;DEM;Deferido;DEFENDENDO O PARÁ
GAMEL SAID EDUARDO AYUB;EDUARDO AYUB;Deputado Federal;5111;PEN;Deferido;AVANÇA PARÁ
GEORGE DE SA MOREIRA;PROFESSOR GEORGE;Deputado Federal;5022;PSOL;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
GERALDO MAJELLA GOMES FALCÃO;MAGELA PARANÓIA;Deputado Federal;1788;PSL;Deferido;DEFENDENDO O PARÁ
GERSON DOS SANTOS PERES;GERSON PERES;Deputado Federal;1115;PP;Deferido;UNIÃO PELO PARÁ
GETULIO MARQUES LOPES;GETÚLIO;Deputado Federal;2512;DEM;Deferido;DEFENDENDO O PARÁ
GIBSON DA SILVEIRA PONTES;GIBSON FERREIRA;Deputado Federal;3190;PHS;Indeferido;DEFENDENDO O PARÁ
GIOVANNI CORRÊA QUEIROZ;GIOVANNI QUEIROZ;Deputado Federal;1212;PDT;Deferido;DEFENDENDO O PARÁ
GRACIMAR VALE DA SILVA;GRACIMAR;Deputado Federal;1516;PMDB;Deferido;TODOS PELO PARÁ  II
HELIO LEITE DA SILVA;HÉLIO LEITE;Deputado Federal;2525;DEM;Deferido;DEFENDENDO O PARÁ
HENIO ANDRADE DE MORAES;HENIO MORAES;Deputado Federal;5001;PSOL;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
HILTON MARTINS DURAES;HILTON - DURAES - DURÃO;Deputado Federal;3333;PMN;Deferido;AVANÇA PARÁ
HIROITO TABAJARA LACERDA DE CASTRO;DR. TABAJARA;Deputado Federal;5474;PPL;Deferido;DEFENDENDO O PARÁ
IRACELI TAVEIRA DA SILVA;IRACELI TAVEIRA;Deputado Federal;1712;PSL;Deferido;DEFENDENDO O PARÁ
IVALDO JOSE PIMENTEL;PIMENTEL;Deputado Federal;1234;PDT;Deferido;DEFENDENDO O PARÁ
IVANIA ALVES DA COSTA;IVÂNIA COSTA;Deputado Federal;5130;PEN;Renúncia;AVANÇA PARÁ
IVONE SOARES CALANDRINI;IVONE;Deputado Federal;2511;DEM;Deferido;DEFENDENDO O PARÁ
JAIRSON BARRADAS NEVES;PATO;Deputado Federal;3344;PMN;Deferido;AVANÇA PARÁ
JAIRSON DO CARMO RIBEIRO GAIA;TOCHA;Deputado Federal;2315;PPS;Deferido;UNIÃO PELO PARÁ
JAKSON FRANCISCO MOURA DA SILVA;JAKSON MOURA;Deputado Federal;1922;PTN;Renúncia;PTN
JEOVÁ VIEIRA DE AGUIAR;JEOVÁ DE AGUIAR;Deputado Federal;2580;DEM;Deferido;DEFENDENDO O PARÁ
JOAO ANTONIO PEREIRA DE MIRANDA;JOÃO ANTONIO;Deputado Federal;4533;PSDB;Deferido;UNIÃO PELO PARÁ
JOÃO DUDIMAR DE AZEVEDO PAXIUBA;DUDIMAR PAXIUBA;Deputado Federal;9090;PROS;Deferido;DEFENDENDO O PARÁ
JOÃO MOURA DA SILVA;JOÃO MOURA;Deputado Federal;1900;PTN;Renúncia;PTN
JOÃO VIANA DA SILVA;JOÃO VIANA;Deputado Federal;3636;PTC;Deferido;UNIÃO PELO PARÁ
JOAQUIM ARISTIDES ARAUJO CAMPOS;JOAQUIM CAMPOS;Deputado Federal;1522;PMDB;Deferido;TODOS PELO PARÁ  II
JOAQUIM PASSARINHO PINTO DE SOUZA;JOAQUIM PASSARINHO;Deputado Federal;5555;PSD;Deferido;UNIÃO PELO PARÁ
JOÁS POSSIDONIO ALVES MARTINS REIS;JOAS POSSIDONIO;Deputado Federal;1510;PMDB;Deferido;TODOS PELO PARÁ  II
JOCILEIDE DA SILVA TAVARES;LEIDE;Deputado Federal;9011;PROS;Deferido;DEFENDENDO O PARÁ
JOCLAU BARRA LIMA;IRMÃO JOCLAU;Deputado Federal;1213;PDT;Deferido;DEFENDENDO O PARÁ
JONAS ALVES DA SILVA;JONAS ALVES;Deputado Federal;3131;PHS;Aguardando julgamento;DEFENDENDO O PARÁ
JONAS ALVES DA SILVA;JONAS ALVES;Deputado Federal;3131;PHS;Indeferido;DEFENDENDO O PARÁ
JONHIS STAFFORD MARINHO BARROSO;STAFFORD;Deputado Federal;5477;PPL;Deferido;DEFENDENDO O PARÁ
JORGE ALBERTO PAIVA DO AMORIM;JORGE AMORIM;Deputado Federal;1218;PDT;Deferido;DEFENDENDO O PARÁ
JORGE BENTES LOPES FRANCO;JORGE CAMPUS;Deputado Federal;3115;PHS;Indeferido;DEFENDENDO O PARÁ
JORGE LUIZ GUIMARÃES PANZERA;JORGE PANZERA;Deputado Federal;6565;PC do B;Deferido;DEFENDENDO O PARÁ
JOSÉ BENITO PRIANTE JUNIOR;PRIANTE;Deputado Federal;1555;PMDB;Deferido;TODOS PELO PARÁ  II
JOSE CARLOS DE QUADROS CASTRO;CABO QUADROS;Deputado Federal;5090;PSOL;Indeferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
JOSE CLEBER BARROS RABELO;CLEBER RABELO;Deputado Federal;1616;PSTU;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
JOSÉ CLOUDOALDO MORAES DA SILVA;PRETO;Deputado Federal;4315;PV;Indeferido com recurso;PV
JOSE GERALDO TORRES DA SILVA;ZÉ GERALDO;Deputado Federal;1321;PT;Deferido;TODOS PELO PARÁ  II
JOSE MACIEL DUARTE;JOSE MACIEL;Deputado Federal;1910;PTN;Deferido;PTN
JOSÉ NILTON SILVA OLIVEIRA;ZENILTON;Deputado Federal;3321;PMN;Indeferido com recurso;AVANÇA PARÁ
JOSÉ ROBERTO BEZERRA NASCIMENTO;DR. ZÉ ROBERTO;Deputado Federal;2014;PSC;Deferido;UNIÃO PELO PARÁ
JOSE ROBERTO OLIVEIRA FARO;BETO FARO;Deputado Federal;1313;PT;Deferido;TODOS PELO PARÁ  II
JOSÉ SIDINEI FERRREIRA DA SILVA;JOSE SIDNEY;Deputado Federal;4544;PSDB;Deferido;UNIÃO PELO PARÁ
JOSE VIEIRA DE ALMEIDA;VIEIRA;Deputado Federal;1211;PDT;Deferido;DEFENDENDO O PARÁ
JOSÉ WALDOLI FILGUEIRA VALENTE;WALDOLI VALENTE;Deputado Federal;2500;DEM;Deferido;DEFENDENDO O PARÁ
JOSÉ WILSON COSTA ARAUJO;ZECA PIRÃO;Deputado Federal;7733;SD;Deferido;A FORÇA DA NOSSA GENTE
JOSEFA RIBAMAR DE LIMA;JOSEFA LIMA;Deputado Federal;1025;PRB;Deferido;A FORÇA DA NOSSA GENTE
JOSIAS DA SILVA HIGINO;JOSIAS HIGINO;Deputado Federal;7799;SD;Deferido;A FORÇA DA NOSSA GENTE
JOSIVALDO FERREIRA DE ANDRADE;VALDO ANDRADE;Deputado Federal;5110;PEN;Deferido;AVANÇA PARÁ
JOSUÉ BENGTSON;JOSUÉ BENGTSON;Deputado Federal;1456;PTB;Deferido;UNIÃO PELO PARÁ
JULIA MARIA GODINHO DA CRUZ MARINHO;JULIA MARINHO;Deputado Federal;2020;PSC;Deferido;UNIÃO PELO PARÁ
JUVENCIO ANTONIO VERGOLINO DIAS;JUVENCIO DIAS;Deputado Federal;3600;PTC;Deferido;UNIÃO PELO PARÁ
KATARYNE RIBEIRO CAMPOS;KATARYNE;Deputado Federal;4477;PRP;Deferido;AVANÇA PARÁ
KATIANE SANTOS SANCHES;KATIA SANCHES;Deputado Federal;5043;PSOL;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
KELLY CRISTINA DE ANDRADE;KELLY ANDRADE;Deputado Federal;5400;PPL;Deferido;DEFENDENDO O PARÁ
LAELIA DA SILVA BORGES;LAÉLIA BORGES;Deputado Federal;5005;PSOL;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
LEE PETTERSON DA SILVA ALMEIDA;ALMEIDA;Deputado Federal;5033;PSOL;Indeferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
LEOMARINO ANDRADE;LEOMARINO;Deputado Federal;1533;PMDB;Deferido;TODOS PELO PARÁ  II
LEONARDO DUTRA VALE;LEONARDO DUTRA VALE;Deputado Federal;2200;PR;Deferido;DEFENDENDO O PARÁ
LIVIA MARIA OLIVEIRA DE ABREU;LIVIA ABREU;Deputado Federal;3171;PHS;Deferido;DEFENDENDO O PARÁ
LUCINEIA SOUZA CHAVES;NÉIA CHAVES;Deputado Federal;4535;PSDB;Indeferido com recurso;UNIÃO PELO PARÁ
LUCIO DUTRA VALE;LUCIO VALE;Deputado Federal;2222;PR;Deferido;DEFENDENDO O PARÁ
LUCIO MARTINS CARDOSO;LUCIO CARDOSO;Deputado Federal;1755;PSL;Deferido;DEFENDENDO O PARÁ
LUIS CLAUDIO DA SILVA COELHO;LUIS COELHO;Deputado Federal;4313;PV;Deferido;PV
LUIS PAULO LUZ QUADROS;PAULO QUADROS;Deputado Federal;7745;SD;Deferido;A FORÇA DA NOSSA GENTE
LUIZ ANTONIO DA SILVA SOUTO;LULA SOUTO;Deputado Federal;5454;PPL;Deferido;DEFENDENDO O PARÁ
LUIZ GUILHERME LOPES DE MELO E SILVA;GUILHERME MELLO;Deputado Federal;4400;PRP;Deferido;AVANÇA PARÁ
LUZIANE DE LIMA SOLON OLIVEIRA;LUZIANE;Deputado Federal;4530;PSDB;Deferido;UNIÃO PELO PARÁ
MAGDA ALVES DE SOUSA;MAGDA GOBIRA;Deputado Federal;2567;DEM;Indeferido com recurso;DEFENDENDO O PARÁ
MANOEL BENEDITO DE OLIVEIRA;BENÉ DA UGT;Deputado Federal;3322;PMN;Deferido;AVANÇA PARÁ
MANOEL DA SILVA MACHADO;MANOEL MACHADO;Deputado Federal;5115;PEN;Indeferido;AVANÇA PARÁ
MANUEL NEMESIO FERREIRA DOS SANTOS;NEMESIO;Deputado Federal;4399;PV;Renúncia;PV
MARCELO AIRES MARQUES;MARCELO CATALÃO;Deputado Federal;2577;DEM;Deferido;DEFENDENDO O PARÁ
MARCO ANTONIO MARINHO DA CUNHA;MARINHO;Deputado Federal;4099;PSB;Deferido;UNIÃO PELO PARÁ
MARIA AUXILIADORA DA ROSA;AUXILIADORA ROSA;Deputado Federal;4577;PSDB;Deferido;UNIÃO PELO PARÁ
MARIA CÉLIA DE OLIVEIRA;CÉLIA DA INTEGRAL;Deputado Federal;5155;PEN;Deferido;AVANÇA PARÁ
MARIA DA CONCEIÇÃO SILVA GOMES;CONCY;Deputado Federal;4572;PSDB;Indeferido;UNIÃO PELO PARÁ
MARIA DA LUZ BORGE DIAS;MALU;Deputado Federal;4310;PV;Deferido;PV
MARIA DE FATIMA FILGUEIRA DA LUZ;FATIMA LUZ;Deputado Federal;2100;PCB;Indeferido;PCB
MARIA DE JESUS DA SILVA PIMENTA;MARI DE JESUS;Deputado Federal;1020;PRB;Deferido;A FORÇA DA NOSSA GENTE
MARIA DE NAZARÉ FERREIRA SOARES;ROSA NAZARÉ;Deputado Federal;5007;PSOL;Indeferido com recurso;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
MARIA DE NAZARÉ MACHADO DE LIMA;NAZARÉ;Deputado Federal;2505;DEM;Deferido;DEFENDENDO O PARÁ
MARIA DO SOCORRO CORREA CRUZ;SOCORRO CRUZ;Deputado Federal;2840;PRTB;Aguardando julgamento;PRTB
MARIA EVANDINA PAIXÃO DE SOUZA;MARIA DO LANCHE;Deputado Federal;1940;PTN;Deferido;PTN
MARIA IVANETE BARBOSA DO CARMO;VANIA BARBOSA;Deputado Federal;1301;PT;Deferido;TODOS PELO PARÁ  II
MARIA LEUNICE ARAUJO;LEUNICE;Deputado Federal;1236;PDT;Aguardando julgamento;DEFENDENDO O PARÁ
MARIANA FERREIRA CARVALHO;MARI FERREIRA;Deputado Federal;2314;PPS;Deferido;UNIÃO PELO PARÁ
MARIO APARECIDO MOREIRA;MARIO MOREIRA;Deputado Federal;4500;PSDB;Indeferido com recurso;UNIÃO PELO PARÁ
MÁRIO DAVID PRADO SÁ;PRADO SÁ;Deputado Federal;4057;PSB;Deferido;UNIÃO PELO PARÁ
MARLENE MATEUS DO NASCIMENTO;MARLENE MATEUS;Deputado Federal;4333;PV;Indeferido com recurso;PV
MARLY RIBEIRO DE LIRA;MARLY LIRA;Deputado Federal;2830;PRTB;Indeferido;PRTB
MARY CAROLINE SANTOS RIBEIRO;KAROLINE RIBEIRO;Deputado Federal;5030;PSOL;Deferido;FRENTE DE ESQUERDA - MUDANÇA PRA VALER
MAURA EDWIRGES MARQUES DOS SANTOS;MAURA;Deputado Federal;4516;PSDB;Indeferido;UNIÃO PELO PARÁ
MAURO SERGIO DOMICIANO MONTEIRO;MAURO DO ESPORTE;Deputado Federal;1991;PTN;Renúncia;PTN
MICÉLIA DE MORAES ALVES;MICÉLIA;Deputado Federal;5512;PSD;Deferido;UNIÃO PELO PARÁ
MILTON ZIMMER SCHNEIDER;MILTON ZIMMER;Deputado Federal;1300;PT;Deferido;TODOS PELO PARÁ  II
MOACIR CHARLES AGNELO BORGES SEGUNDO;DR. CHARLES;Deputado Federal;7700;SD;Indeferido com recurso;A FORÇA DA NOSSA GENTE
NALIGIA ETHENI FERREIRA BARBOSA SANTOS;NALIGIA;Deputado Federal;1236;PDT;Renúncia;DEFENDENDO O PARÁ
NARA LUCIA PAMPLONA VALES;NARA PAMPLONA;Deputado Federal;1214;PDT;Deferido;DEFENDENDO O PARÁ
NARCISA DE MELO SANTOS;NARCISA MELO;Deputado Federal;4525;PSDB;Deferido;UNIÃO PELO PARÁ
NEIVANE SANTOS DE AQUINO BARATA;NEIVANE BARATA;Deputado Federal;5150;PEN;Deferido;AVANÇA PARÁ
