Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ANGELA SOARES DE AZEVEDO;ANGELA AZEVEDO;Senador;161;PSTU;Indeferido com recurso;PSTU
DUCIOMAR GOMES DA COSTA;DUCIOMAR COSTA;Senador;141;PTB;Indeferido;PTB
ELIEZER BARROS DOS REIS;*ELIEZER BARROS;Senador;280;PRTB;Indeferido com recurso;PRTB
HELENILSON CUNHA PONTES;HELENILSON PONTES;Senador;555;PSD;Deferido;PSD
JEFFERSON ELY VALE DE LIMA;JEFFERSON LIMA;Senador;111;PP;Deferido;PP
JOÃO RENATO DA SILVA ROLIM;RENATO ROLIM;Senador;211;PCB;Indeferido;PCB
MARCELA GIOVANA GUSMÃO TOLENTINO DE MATOS;ENFERMEIRA MARCELA TOLENTINO;Senador;777;SD;Indeferido;SD
MARIO COUTO FILHO;MARIO COUTO;Senador;456;PSDB;Deferido;PSDB
PAULO ROBERTO GALVAO DA ROCHA;PAULO ROCHA;Senador;131;PT;Indeferido com recurso;TODOS PELO PARA
PEDRO HOLANDA MAIA;PEDRINHO MAIA;Senador;500;PSOL;Deferido;PSOL
SIMÃO HERNAN BENDAYAN;PROFESSOR SIMÃO;Senador;433;PV;Deferido;PV
