Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ALESSANDRO QUEIROZ MARIANO;ALESSANDRO MARIANO;Senador 2º Suplente;555;PSD;Deferido;PSD
ANTONIO MARIA FERREIRA RAMOS;ANTONIO RAMOS;Senador 2º Suplente;433;PV;Deferido;PV
BENEDITO MARCIO SHERLO SILVA MARTINS;MARCIO SHERLO;Senador 2º Suplente;280;PRTB;Indeferido com recurso;PRTB
BRUNO LEONARDO ARAUJO SOARES;BRUNO SOARES;Senador 2º Suplente;111;PP;Deferido;PP
GERVÁSIO JOSÉ CAMILO;GERVASIO CAMILO;Senador 2º Suplente;456;PSDB;Deferido;PSDB
GILBERTO DE LIMA SÉRIO;GILBERTO LIMA;Senador 2º Suplente;777;SD;Aguardando julgamento;SD
IBANES TAVEIRA DA SILVA;PASTOR IBANES TAVEIRA;Senador 2º Suplente;131;PDT;Indeferido com recurso;TODOS PELO PARA
LUIS ANTONIO TAVARES COSTA;LUIS COSTA;Senador 2º Suplente;211;PCB;Indeferido;PCB
MAIKE JOEL VIEIRA DA SILVA;MAIKE VIEIRA;Senador 2º Suplente;500;PSOL;Deferido;PSOL
MARCIO BARROS ROCHA;MARCIO ROCHA;Senador 2º Suplente;141;PTB;Indeferido;PTB
SILVIO DE OLIVEIRA RIBEIRO;SILVIO RIBEIRO;Senador 2º Suplente;161;PSTU;Indeferido com recurso;PSTU
SUELI FREITAS DE AGUIAR;SUELI AGUIAR;Senador 2º Suplente;777;SD;Indeferido;SD
