Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADAILSON FABRICIO MAXIMINO;FABRICIO;Deputado Estadual;90007;PROS;Não conhecimento do pedido;PROS
ADEILZA DE FARIAS MOREIRA;ADEILZA;Deputado Estadual;70730;PT do B;Deferido;A VONTADE DO POVO III
ADILSON FARIAS DE SOUSA;NOVINHO DA PARAIBA;Deputado Estadual;65522;PC do B;Deferido;A Força do Trabalho 4
ADONES GOMES DE ARAÚJO PEREIRA JÚNIOR;ADONES;Deputado Estadual;40040;PSB;Deferido;A FORÇA DO TRABALHO 2
ADRIANO CEZAR GALDINO DE ARAÚJO;ADRIANO GALDINO;Deputado Estadual;40444;PSB;Deferido;A FORÇA DO TRABALHO 2
ALAN DELON DA SILVA ALBUQUERQUE;ALAN DELON;Deputado Estadual;31111;PHS;Deferido;A Força do Trabalho 4
ALBERTO FIGUEIREDO LIMEIRA;ALBERTO LIMEIRA;Deputado Estadual;20555;PSC;Deferido;A VONTADE DO POVO IV
ALDO JOSÉ DE SOUZA SILVA;ALDO DE SOUZA;Deputado Estadual;14321;PTB;Deferido;A VONTADE DO POVO II
ALESSANDRA GONCALVES DE ANDRADE;ALESSANDRA;Deputado Estadual;90114;PROS;Aguardando julgamento;PROS
ALEXANDRE BEZERRA AGRA;ALEXANDRE AGRA;Deputado Estadual;33444;PMN;Indeferido;A VONTADE DO POVO III
ALEXANDRE CRUZ MESQUITA;ALEXANDRE MESQUITA;Deputado Estadual;65222;PC do B;Deferido;A Força do Trabalho 4
ALEXINA BEZERRA CAVALCANTI ALVES;ALEXINA BEZERRA;Deputado Estadual;15666;PMDB;Aguardando julgamento;RENOVAÇÃO DE VERDADE
ALTAGENI RODEZIO DE ANDRADE FERREIRA;ALTAGENI - TITO;Deputado Estadual;28028;PRTB;Indeferido;A FORÇA DO TRABALHO 2
AMAURI BARBOSA DE ALMEIDA E SILVA;AMAURI ALMEIDA;Deputado Estadual;27200;PSDC;Deferido;A VONTADE DO POVO III
AMERICO MARCONE CABRAL DE LIRA;DR. AMÉRICO CABRAL;Deputado Estadual;23123;PPS;Deferido;A VONTADE DO POVO III
ANA CLAUDIA DANTAS CRISANTO;ANA CRISANTO;Deputado Estadual;70555;PT do B;Deferido;A VONTADE DO POVO III
ANA CLEIDE SERAFIM DIAS;ANA CLEIDE;Deputado Estadual;20999;PSC;Deferido;A VONTADE DO POVO IV
ANA LÚCIA DOS SANTOS ESTEVÃO;ANA LÚCIA;Deputado Estadual;25079;DEM;Deferido;A FORÇA DO TRABALHO 2
ANA MARIA DA SILVA PEREIRA;IRMÃ ANA;Deputado Estadual;20444;PSC;Deferido;A VONTADE DO POVO IV
ANA MARLY CHIANCA DE GUSMÃO;ANA MARLY GUSMÃO;Deputado Estadual;17777;PSL;Indeferido;A Força do Trabalho 4
ANA PAULA DOS SANTOS SOUZA;ANA PAULA;Deputado Estadual;70489;PT do B;Deferido;A VONTADE DO POVO III
ANA TEREZA DA SILVA SANTOS;ANA TEREZA;Deputado Estadual;70897;PT do B;Deferido;A VONTADE DO POVO III
ANALICE ROSENDO LIMA DOS SANTOS;ANALICE;Deputado Estadual;70210;PT do B;Indeferido;A VONTADE DO POVO III
ANDERSON MONTEIRO SILVA;ANDERSON MONTEIRO SILVA;Deputado Estadual;15000;PMDB;Aguardando julgamento;RENOVAÇÃO DE VERDADE
ANDRE MONTEIRO RABÊLLO;ANDRÉ RABÊLLO;Deputado Estadual;90000;PROS;Não conhecimento do pedido;PROS
ANDREA CONCEIÇÃO LEOPOLDO E SILVA DIAS;ANDREA GOUVEIA;Deputado Estadual;55045;PSD;Deferido;A VONTADE DO POVO IV
ANGELA DE CASSIA CAVALCANTI DE ALCANTARA;CASSIA;Deputado Estadual;45831;PSDB;Aguardando julgamento;A VONTADE DO POVO II
ANISIO SOARES MAIA;ANÍSIO MAIA;Deputado Estadual;13000;PT;Deferido;PT
ANNA MIRIAM DAS NEVES SILVA MEIRELES;ANA MIRIAM;Deputado Estadual;45680;PSDB;Aguardando julgamento;A VONTADE DO POVO II
ANTONIA LUCIA NAVARRO BRAGA;LÚCIA BRAGA;Deputado Estadual;43123;PV;Deferido;A Força do Trabalho 4
ANTONIO DA SILVA;ANTONIO ATLETA;Deputado Estadual;40697;PSB;Deferido;A FORÇA DO TRABALHO 2
ANTÔNIO GARCIA DE MEDEIROS;GARCIA DA METALÚRGICA;Deputado Estadual;33345;PMN;Deferido;A VONTADE DO POVO III
ANTONIO HERVAZIO BEZERRA CAVALCANTI;HERVAZIO BEZERRA;Deputado Estadual;40123;PSB;Deferido;A FORÇA DO TRABALHO 2
ANTONIO MARCIO ARAÚJO DA SILVA;MARCIO PRUDENCIO;Deputado Estadual;12190;PDT;Aguardando julgamento;A FORÇA DO TRABALHO 2
ANTONIO MENDONÇA MONTEIRO JUNIOR;BOLÃO;Deputado Estadual;22123;PR;Deferido;A VONTADE DO POVO II
ANTONIO NOSMAN BARREIRO PAULO;NOSMAN;Deputado Estadual;70111;PT do B;Indeferido com recurso;A VONTADE DO POVO III
ANTONIO PEREIRA NETO;ANTÔNIO MINERAL;Deputado Estadual;45444;PSDB;Deferido;A VONTADE DO POVO II
ANTONIO PETRONIO DE SOUZA;TOINHO DO SOPÃO;Deputado Estadual;51169;PEN;Deferido;A VONTADE DO POVO II
ANTONIO RIBEIRO;FREI ANASTÁCIO;Deputado Estadual;13333;PT;Indeferido;PT
ANTONIO VITURIANO DE ABREU;VITURIANO;Deputado Estadual;20111;PSC;Deferido;A VONTADE DO POVO IV
ARACILBA ALVES DA ROCHA;ARACILBA ROCHA;Deputado Estadual;17444;PSL;Deferido;A Força do Trabalho 4
ARAIRYS DA SILVA PONTES;IRYS PONTES;Deputado Estadual;17654;PSL;Deferido;A Força do Trabalho 4
ARIANO MARIO FERNANDES FONSECA;ARIANO FERNANDES;Deputado Estadual;23333;PPS;Renúncia;A VONTADE DO POVO III
ARISTEU CHAVES SOUSA;ARISTEU CHAVES;Deputado Estadual;44111;PRP;Renúncia;A FORÇA DO TRABALHO 2
ARNALDO MONTEIRO COSTA;ARNALDO MONTEIRO;Deputado Estadual;20147;PSC;Deferido;A VONTADE DO POVO IV
ARNON MUNIZ MEDEIROS DOMICIANO CABRAL;ARNON DOMICIANO;Deputado Estadual;45833;PSDB;Deferido;A VONTADE DO POVO II
ARTUR PAREDES CUNHA LIMA FILHO;ARTUR CUNHA LIMA FILHO;Deputado Estadual;28222;PRTB;Deferido;A FORÇA DO TRABALHO 2
