Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADAILTO BARROS DE SOUZA;ADAILTO BARROS;Deputado Federal;4344;PV;Aguardando julgamento;A FORÇA DO TRABALHO 1
AGUINALDO VELLOSO BORGES RIBEIRO;AGUINALDO RIBEIRO;Deputado Federal;1111;PP;Deferido;A VONTADE DO POVO I
ALVARO GAUDENCIO NETO;ALVARO GAUDENCIO NETO;Deputado Federal;3131;PHS;Aguardando julgamento;A FORÇA DO TRABALHO 1
ALZENI RODRIGUES DOS SANTOS;ALZENI RODRIGUES;Deputado Federal;2277;PR;Indeferido;A VONTADE DO POVO I
ANA MARIA DOS SANTOS PEREIRA;ANA MARIA;Deputado Federal;9011;PROS;Aguardando julgamento;PROS
ANA VALERIA FERNANDES DE ARAÚJO;VALERIA;Deputado Federal;4404;PRP;Aguardando julgamento;A FORÇA DO TRABALHO 1
ANDRÉ AUGUSTO CASTRO DO AMARAL FILHO;ANDRÉ AMARAL;Deputado Federal;1555;PMDB;Aguardando julgamento;RENOVAÇÃO DE VERDADE
ANGELA PATRICIA DE OLIVEIRA ALVES;PATRICIA TECKCEL;Deputado Federal;3100;PHS;Aguardando julgamento;A FORÇA DO TRABALHO 1
ANNY MICHELLY FEIJÓ VIEIRA CORREIA;MICHELLY FEIJÓ;Deputado Federal;2880;PRTB;Aguardando julgamento;A FORÇA DO TRABALHO 1
ANTONIO BARBOSA DA SILVA;BALA BARBOSA;Deputado Federal;3345;PMN;Deferido;A VONTADE DO POVO I
BENEDITA SIQUEIRA DE OLIVEIRA;BENÉ SIQUEIRA;Deputado Federal;2539;DEM;Aguardando julgamento;A FORÇA DO TRABALHO 1
BENJAMIN GOMES MARANHÃO NETO;BENJAMIN MARANHÃO;Deputado Federal;7777;SD;Deferido;A VONTADE DO POVO I
CAMILO SOBREIRA DUARTE FILHO;CAMILO SOBREIRA DUARTE;Deputado Federal;2929;PCO;Deferido;PCO
CARLOS ANTONIO VICENTE DA SILVA;CARLOS SILVA;Deputado Federal;2899;PRTB;Aguardando julgamento;A FORÇA DO TRABALHO 1
CLAUDIA MÁRCIA LESSA VIEIRA;CLÁUDIA LESSA;Deputado Federal;5511;PSD;Aguardando julgamento;A VONTADE DO POVO I
DALMO OLIVEIRA DA SILVA;DALMO OLIVEIRA;Deputado Federal;1388;PT;Aguardando julgamento;A FORÇA DO TRABALHO 1
DALVA NOBRE DA SILVA;DALVA;Deputado Federal;7013;PT do B;Aguardando julgamento;A VONTADE DO POVO I
DAMIÃO FELICIANO DA SILVA;DR. DAMIÃO;Deputado Federal;1212;PDT;Aguardando julgamento;A FORÇA DO TRABALHO 1
DANIEL DIAS DE OLIVEIRA;DANIEL PINTOR;Deputado Federal;5033;PSOL;Deferido;PSOL
DENIS SOARES DOS SANTOS;SARGENTO DENIS;Deputado Federal;4343;PV;Aguardando julgamento;A FORÇA DO TRABALHO 1
DENISE SIMONE GUEDES DE ANDRADE BEZERRA;DENISE GUEDES;Deputado Federal;3399;PMN;Indeferido;A VONTADE DO POVO I
EDIRCE DE OLIVEIRA SILVA;EDIRCE;Deputado Federal;4555;PSDB;Deferido;A VONTADE DO POVO I
EFRAIM DE ARAÚJO MORAIS FILHO;EFRAIM FILHO;Deputado Federal;2511;DEM;Aguardando julgamento;A FORÇA DO TRABALHO 1
ELAINE CRISTINA NASCIMENTO RODRIGUES;ELAINE;Deputado Federal;9032;PROS;Aguardando julgamento;PROS
ELENILDO GOMES DA SILVA;ELENILDO GOMES;Deputado Federal;1122;PP;Deferido;A VONTADE DO POVO I
EMERSON FERNANDES ALVINO PANTA;DR. EMERSON PANTA;Deputado Federal;4545;PSDB;Deferido;A VONTADE DO POVO I
EUNICE NERI DA SILVA;MORENA;Deputado Federal;7001;PT do B;Renúncia;A VONTADE DO POVO I
EVISNALDO CRUZ DE ANDRADE;ELVIS;Deputado Federal;1500;PMDB;Aguardando julgamento;RENOVAÇÃO DE VERDADE
FERNANDO ANTONIO BEZERRA DE MEDEIROS;FERNANDO ANTONIO;Deputado Federal;2888;PRTB;Aguardando julgamento;A FORÇA DO TRABALHO 1
FERNANDO ANTONIO BORGES DE SOUZA;FERNANDO BORGES;Deputado Federal;1112;PP;Deferido;A VONTADE DO POVO I
FLAVIO LUIZ DE MENEZES;FLAVIO MENEZES;Deputado Federal;4440;PRP;Aguardando julgamento;A FORÇA DO TRABALHO 1
FRANCIMAR VIEIRA LINS;MAJOR FRANCIMAR;Deputado Federal;1000;PRB;Deferido;A VONTADE DO POVO I
FRANCISCO DE ASSIS SOUSA;ASSIS;Deputado Federal;2345;PPS;Deferido;A VONTADE DO POVO I
GENIVAL LACERDA CAVALCANTE;GENIVAL LACERDA;Deputado Federal;3321;PMN;Indeferido;A VONTADE DO POVO I
GERALDO BESERRA SANTA CRUZ;GERALDO SANTA CRUZ;Deputado Federal;4333;PV;Aguardando julgamento;A FORÇA DO TRABALHO 1
GILVAN OLIVEIRA COSTA;PASTOR GILVAN COSTA;Deputado Federal;2828;PRTB;Aguardando julgamento;A FORÇA DO TRABALHO 1
GIVALDO CESAR SOBREIRA GOMES;TITELA;Deputado Federal;2880;PRTB;Aguardando julgamento;A FORÇA DO TRABALHO 1
GIVONALDO SANTIAGO;SANTIAGO;Deputado Federal;9010;PROS;Aguardando julgamento;PROS
