Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABDIAS DE MELO TEIXEIRA NETO;ABDIAS MELO;Deputado Estadual;14999;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
ABDIAS DE OLIVEIRA SILVA;ABDIAS OLIVEIRA;Deputado Estadual;31511;PHS;Deferido;FRENTE PELA REDUÇAO DA CARGA TRIBUTÁRIA
ABRAÃO PEREIRA DE BARROS;ABRAÃO BARROS;Deputado Estadual;44644;PRP;Deferido;UNIDOS PELA REDUÇÃO DOS IMPOSTOS
AÇUCENA LIRA LINS;AÇUCENA;Deputado Estadual;54154;PPL;Deferido;frente popular de pernambuco para deputado estadual
ADAMIR NIVALDO ANGHINONI;ANGHINONI GAÚCHO;Deputado Estadual;17263;PSL;Deferido;FRENTE PELA REDUÇAO DA CARGA TRIBUTÁRIA
ADRIANA GOMES DE SOUZA;ADRIANA GOMES;Deputado Estadual;17613;PSL;Aguardando julgamento;FRENTE PELA REDUÇAO DA CARGA TRIBUTÁRIA
ADRIANA SILVESTRE DOS SANTOS;ADRIANA SILVESTRE;Deputado Estadual;31997;PHS;Renúncia;FRENTE PELA REDUÇAO DA CARGA TRIBUTÁRIA
ADRIANO JEFFERSON BARROS PEREIRA DA SILVA;ADRIANO D'OYA;Deputado Estadual;33300;PMN;Deferido;MOBILIZAÇÃO POR PODER POPULAR
ADRIANO LOPES DE ANDRADE;ADRIANO LOPES;Deputado Estadual;44944;PRP;Deferido;UNIDOS PELA REDUÇÃO DOS IMPOSTOS
AECIO ROBSON DE ANDRADE VIANA;AECIO VIANA;Deputado Estadual;11533;PP;Deferido;PERNAMBUCO QUE EU QUERO
AENIA DANIELLE FEITOSA BARBOSA;AENIA FEITOSA;Deputado Estadual;90290;PROS;Aguardando julgamento;PERNAMBUCO QUE EU QUERO
AGENOR JULIO XAVIER;AGENOR DA ÁGUA;Deputado Estadual;23001;PPS;Deferido;FRENTE PELA REDUÇAO DA CARGA TRIBUTÁRIA
AIDÉ BATISTA DE SANTANA;AIDÉ;Deputado Estadual;45450;PSDB;Deferido;frente popular de pernambuco para deputado estadual
ALBANICE RIBEIRO DA SILVA;ALBANICE RIBEIRO;Deputado Estadual;10840;PRB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
ALBANITA LETICIA DE OLIVEIRA JOSE;LETICIA OLIVEIRA;Deputado Estadual;50629;PSOL;Aguardando julgamento;MOBILIZAÇÃO POR PODER POPULAR
ALBERICO LUIZ DA SILVA;ALBÉRICO SIGISMUNDO;Deputado Estadual;50641;PSOL;Deferido;MOBILIZAÇÃO POR PODER POPULAR
ALBERTO JORGE DO NASCIMENTO FEITOSA;ALBERTO FEITOSA;Deputado Estadual;22022;PR;Deferido;frente popular de pernambuco para deputado estadual
ALCIDES ALVARO DA COSTA;ALCIDES COSTA;Deputado Estadual;44655;PRP;Deferido;UNIDOS PELA REDUÇÃO DOS IMPOSTOS
ALCINÉA SANTOS PADILHA;ALCINÉA PADILHA;Deputado Estadual;40600;PSB;Deferido;frente popular de pernambuco para deputado estadual
ALDEMIR FRANCISCO DO NASCIMENTO;BRASIL;Deputado Estadual;65027;PC do B;Aguardando julgamento;frente popular de pernambuco para deputado estadual
ALDO LIMA DA SILVA;ALDO LIMA;Deputado Estadual;16161;PSTU;Deferido;PSTU
ALEX RAMALHO DE ALENCAR;ALEX RAMALHO;Deputado Estadual;31131;PHS;Deferido;FRENTE PELA REDUÇAO DA CARGA TRIBUTÁRIA
ALEXANDER CAVALCANTI VALENÇA;ALEX VALENCA;Deputado Estadual;13333;PT;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
ALEXANDRE ALVES GUARINES;CORONEL GUARINES;Deputado Estadual;77888;SD;Deferido;UNIDOS PELA REDUÇÃO DA CARGA TRIBUTÁRIA
ALEXANDRE GRACILIANO DOS SANTOS;ALEXANDRE GRACILIANO;Deputado Estadual;31188;PHS;Deferido;FRENTE PELA REDUÇAO DA CARGA TRIBUTÁRIA
ALEXANDRE VASCONCELOS GOMES;ALEXANDRE SHOW DE BOLA;Deputado Estadual;27113;PSDC;Aguardando julgamento;UNIDOS PELA REDUÇÃO DOS IMPOSTOS
ALEXSANDRO MARTINS MONTEIRO;ALEX MONTEIRO;Deputado Estadual;31931;PHS;Deferido;FRENTE PELA REDUÇAO DA CARGA TRIBUTÁRIA
ALINE BRITO MARTINS DA FONSECA;ALINE MARIANO;Deputado Estadual;45555;PSDB;Aguardando julgamento;frente popular de pernambuco para deputado estadual
ALINE PEREIRA DO NASCIMENTO;KINHA;Deputado Estadual;44044;PRP;Deferido;UNIDOS PELA REDUÇÃO DOS IMPOSTOS
ALMIR PEDRO ALEXANDRINO;ALMIR PEDRO;Deputado Estadual;77077;SD;Aguardando julgamento;UNIDOS PELA REDUÇÃO DA CARGA TRIBUTÁRIA
ÁLVARO PORTO DE BARROS;ÁLVARO PORTO;Deputado Estadual;14000;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
ALYSSON WENDELL VASCONCELOS DE ANDRADE LIMA;ALYSSON ANDRADE;Deputado Estadual;11555;PP;Aguardando julgamento;PERNAMBUCO QUE EU QUERO
AMANDA ELIZAMA LIRA DOS SANTOS;AMANDA SANTOS;Deputado Estadual;44344;PRP;Deferido;UNIDOS PELA REDUÇÃO DOS IMPOSTOS
AMARO CARNEIRO DOS SANTOS;CARNEIRINHO;Deputado Estadual;27120;PSDC;Deferido;UNIDOS PELA REDUÇÃO DOS IMPOSTOS
AMARO FRANCISCO DE MORAES;AMARO MORAES;Deputado Estadual;27689;PSDC;Aguardando julgamento;UNIDOS PELA REDUÇÃO DOS IMPOSTOS
AMARO HONORATO DA SILVA;AMARO DO SINDICATO;Deputado Estadual;44000;PRP;Deferido;UNIDOS PELA REDUÇÃO DOS IMPOSTOS
