Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADALBERTO ALENCAR ALVES;ADALBERTO ALENCAR;Deputado Federal;5454;PPL;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
ADALBERTO CAVALCANTI RODRIGUES;ADALBERTO CAVALCANTI;Deputado Federal;1444;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
ADRIANA GOMES DE SOUZA;ADRIANA GOMES;Deputado Federal;1799;PSL;Renúncia;JUNTOS PELO IMPOSTO ÚNICO
ALBERISSON CARLOS DA SILVA;SOLDADO ALBERISSON;Deputado Federal;1490;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
ALDO AMARAL DE ARAUJO;ALDO AMARAL;Deputado Federal;1011;PRB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
ALINE AGOSTINHA DE BELO;ALINE BELO;Deputado Federal;1001;PRB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
ANA CRISTINA DE MELO FREIRE GOUVEIA SILVEIRA;ANA SILVEIRA;Deputado Federal;4026;PSB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
ANA PAULA MONTEIRO DE OLIVEIRA;PAULA DE JOCA;Deputado Federal;4025;PSB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
ANDERSON FERREIRA RODRIGUES;ANDERSON FERREIRA;Deputado Federal;2222;PR;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
ANDRE CARLOS ALVES DE PAULA FILHO;ANDRE DE PAULA;Deputado Federal;5555;PSD;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
ANDREA ALESSANDRA TENORIO LOSSIO;ANDREA LOSSIO;Deputado Federal;1514;PMDB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
ANDREZA FERREIRA BURGOS;ANDREZA BURGOS;Deputado Federal;1781;PSL;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
ANTONIO CARLOS DOS SANTOS;MANO;Deputado Federal;5068;PSOL;Não conhecimento do pedido;PSOL
ANTÔNIO COSMO DA SILVA FILHO;TOTA;Deputado Federal;4499;PRP;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
ANTONIO DE CASTRO LIRA;SARGENTO CASTRO;Deputado Federal;2122;PCB;Aguardando julgamento;PCB
ANTÔNIO MOZART PAIS E MELO SPECHT;MOZART SPECHT;Deputado Federal;4440;PRP;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
ARLINDO NEMESIO DE SIQUEIRA CAVALCANTI NETO;ARLINDO SIQUEIRA;Deputado Federal;1737;PSL;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
ARMANDO JOSÉ DA SILVA FILHO;CANTOR ARMANDO FILHO;Deputado Federal;2888;PRTB;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
AUGUSTO RODRIGUES COUTINHO DE MELO;AUGUSTO COUTINHO;Deputado Federal;7777;SD;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
AZMAZETE BERNARDINO DE SENA PAIVA;AZMAZETE SENA - BEECA;Deputado Federal;1718;PSL;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
BAIARDO DE ANDRADE LIMA;BAIARDO DE ANDRADE LIMA;Deputado Federal;1524;PMDB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
BERTA FERNANDA DE SOUZA GUEDES SANTANA;BERTA GUEDES;Deputado Federal;1423;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
BRUNO CAVALCANTI DE ARAUJO;BRUNO ARAUJO;Deputado Federal;4511;PSDB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
CARLOS ADILSON PINTO LAPA;CARLOS LAPA;Deputado Federal;1700;PSL;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
CARLOS EDUARDO CINTRA DA COSTA PEREIRA;CADOCA;Deputado Federal;6540;PC do B;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
CARLOS FERREIRA DA SILVA;TERNURINHA;Deputado Federal;3122;PHS;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
CARLOS GERALDO SANTANA DE OLIVEIRA;CARLOS GERALDO;Deputado Federal;1010;PRB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
CARLOS ROBERTO MAGALHAES NUMERIANO;ROBERTO NUMERIANO;Deputado Federal;5021;PSOL;Aguardando julgamento;MOBILIZAÇÃO POR PODER POPULAR
CLAUDOMIRA DE ANDRADE MORAIS FERREIRA;DRA CLAUDOMIRA;Deputado Federal;4433;PRP;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
CLEUZA PEREIRA DO NASCIMENTO;CREUZA PEREIRA;Deputado Federal;4022;PSB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
CRISTIANE MARIA DA SILVA;CRISTIANE MARIA;Deputado Federal;5051;PSOL;Aguardando julgamento;MOBILIZAÇÃO POR PODER POPULAR
CRISTIANO DE MELO VASCONCELOS BARROS;PILAKO;Deputado Federal;1410;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
CRISTOVAM FERREIRA DE MELO;CRISTOVAM BOMBEIRO;Deputado Federal;2793;PSDC;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
DAMIÃO DE SOUZA BARROS;DAMIÃO BARROS;Deputado Federal;1478;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
DANIEL PIRES COELHO;DANIEL COELHO;Deputado Federal;4545;PSDB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
DANILO JORGE DE BARROS CABRAL;DANILO CABRAL;Deputado Federal;4010;PSB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
DAVID BATISTA SANTIAGO;SARGENTO SANTIAGO;Deputado Federal;1422;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
DENISE ALMEIDA DO NASCIMENTO;DENISE DE PEIXINHOS;Deputado Federal;1005;PRB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
DILSON DE MOURA PEIXOTO FILHO;DILSON PEIXOTO;Deputado Federal;1333;PT;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
DINAMERICA GLICERIO DO NASCIMENTO;DINA;Deputado Federal;4490;PRP;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
EDILENE DOS SANTOS PEREIRA;LENA SANTOS;Deputado Federal;5410;PPL;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
EDIVANDA COSTA DE SOUSA PASSOS;EDIVANDA COSTA;Deputado Federal;3321;PMN;Aguardando julgamento;MOBILIZAÇÃO POR PODER POPULAR
EDNILDO MARCOS BERNARDINO DE LIMA E SENNA;SENNA POVÃO;Deputado Federal;3356;PMN;Deferido;MOBILIZAÇÃO POR PODER POPULAR
EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA;EDUARDO DA FONTE;Deputado Federal;1111;PP;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
EDVALMIR SOARES DA SILVA;EDVALMIR CARTEIRO;Deputado Federal;2112;PCB;Aguardando julgamento;PCB
ELIENE BARROS FELIPE;ELIENE BARROS;Deputado Federal;2844;PRTB;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
ELIEZER DA SILVA COSTA;ELIEZER COSTA;Deputado Federal;5400;PPL;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
ELISEU LEONEL LOPES;ELISEU LOPES;Deputado Federal;1919;PTN;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
ELIZABETE VIEIRA DE FONTES TEOBALDO;ELIZABETE VIEIRA;Deputado Federal;1470;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
ERIKA APARECIDA GONÇALVES;ERIKA GONÇALVES;Deputado Federal;4401;PRP;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
EVALDO JOSÉ LOUREIRO AMORIM FILHO;EVALDO AMORIM;Deputado Federal;1435;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
EZEQUIAS LUCIANO DE OLIVEIRA;EZEQUIAS OLIVEIRA;Deputado Federal;2240;PR;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
FABIANA CRISTINE DA SILVA NASCIMENTO;FABIANA HONORIO;Deputado Federal;5022;PSOL;Aguardando julgamento;MOBILIZAÇÃO POR PODER POPULAR
FELIPE AUGUSTO LYRA CARRERAS;FELIPE CARRERAS;Deputado Federal;4004;PSB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
FERNANDO BEZERRA DE SOUZA COELHO FILHO;FERNANDO FILHO;Deputado Federal;4001;PSB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
FERNANDO DANTAS FERRO;FERNANDO FERRO;Deputado Federal;1313;PT;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
FERNANDO DE CASTRO RAMOS;FERNANDO RAMOS;Deputado Federal;3123;PHS;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
FERNANDO MONTEIRO DE ALBUQUERQUE;FERNANDO MONTEIRO;Deputado Federal;1190;PP;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
FRANCISCA DA SILVA ALVES;FRANCISQUINHA;Deputado Federal;5047;PSOL;Aguardando julgamento;PSOL
FRANCISCO EURICO DA SILVA;PASTOR EURICO;Deputado Federal;4050;PSB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
FRANCISCO TADEU BARBOSA DE ALENCAR;TADEU ALENCAR;Deputado Federal;4020;PSB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
GERLANE SIMÕES BEZERRA;GERLANE;Deputado Federal;2121;PCB;Aguardando julgamento;PCB
GILSON DA SILVA LIMA;GILSON LIMA;Deputado Federal;9090;PROS;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
GILSON MUNIZ DIAS;GILSON MUNIZ;Deputado Federal;1456;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
GLAURIA MARIA DA COSTA LEITE;GLAURIA LEITE;Deputado Federal;1415;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
GUILHERME CRUZ DE SOUZA COELHO;GUILHERME COELHO;Deputado Federal;4530;PSDB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
HEBERTE LAMARCK GOMES DA SILVA;BETINHO;Deputado Federal;4500;PSDB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
HORTÊNCIA SANTOS SILVA DE OLIVEIRA;IRMÃ HORTENCIA;Deputado Federal;5435;PPL;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
INALDO FERREIRA DA CRUZ;INALDO RAIO X;Deputado Federal;7077;PT do B;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
INALDO SATILINO DE OLIVEIRA;INALDO SATILINO;Deputado Federal;3131;PHS;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
ISABELLA MENEZES DE ROLDÃO FIORENZANO;ISABELLA DE ROLDÃO;Deputado Federal;1212;PDT;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
IVANILDO PEDRO DA SILVA;IVANILDO PEDRO;Deputado Federal;3323;PMN;Deferido;MOBILIZAÇÃO POR PODER POPULAR
JACQUELINE ROBERTO DE SOUZA;JACQUELINE SOUZA;Deputado Federal;1004;PRB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
JADSON JOSE BARBOSA;JADSON;Deputado Federal;4455;PRP;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
JAKELINE SANTANA DA SILVA;JAKELINE SANTANA;Deputado Federal;1491;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
JARBAS DE ANDRADE VASCONCELOS;JARBAS;Deputado Federal;1515;PMDB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
JEFFERSON ETELVINO DE LIMA;JEFERSON LIMA;Deputado Federal;2877;PRTB;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
JERONIMO NEIVA NETO;JERONIMO NEIVA ONQUINHA NOVAES;Deputado Federal;2111;PCB;Aguardando julgamento;PCB
JOAB GOMES DOS SANTOS;PASTOR JOAB;Deputado Federal;4445;PRP;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
JOAO ALFREDO DE ARAUJO;JOAO ALFREDO;Deputado Federal;1300;PT;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
JOÃO ALMEIDA PARRA;JOÃO DO SKATE;Deputado Federal;2800;PRTB;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
JOÃO BOSCO REZENDE CORDEIRO;JOÃO BOSCO;Deputado Federal;3311;PMN;Aguardando julgamento;MOBILIZAÇÃO POR PODER POPULAR
JOÃO DA COSTA BEZERRA FILHO;JOÃO DA COSTA;Deputado Federal;1310;PT;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
JOAO DE DEUS DOS SANTOS;JOAO DE DEUS;Deputado Federal;1433;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
JOAO FERNANDO PONTUAL COUTINHO;JOAO FERNANDO COUTINHO;Deputado Federal;4040;PSB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
JOAS GONÇALVES DA SILVA;CABO JOAS;Deputado Federal;1455;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
JONAS PEREIRA;JONAS PEREIRA;Deputado Federal;1740;PSL;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
JORGE WICKS CÔRTE REAL;JORGE CÔRTE REAL;Deputado Federal;1411;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
JOSE ARNALDO AMARAL;ZE ARNALDO;Deputado Federal;1555;PMDB;Renúncia;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
JOSÉ BELARMINO DE SOUSA;BELARMINO SOUSA;Deputado Federal;3100;PHS;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
JOSE CAVALCANTI ALVES JUNIOR;ZECA CAVALCANTI;Deputado Federal;1400;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
JOSÉ CLEMENTINO DE AZEVEDO NETO;CANTOR J NETO;Deputado Federal;2828;PRTB;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
JOSÉ FÁBIO FLORENTINO SILVA;DR. FABIO FLORENTINO;Deputado Federal;1377;PT;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
JOSÉ FÁBIO GALVÃO;FABIO GALVAO;Deputado Federal;1345;PT;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
JOSE FRANCISCO FILHO;GAINHA;Deputado Federal;7000;PT do B;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
JOSÉ MARIANO DE MACEDO;JOSÉ MARIANO;Deputado Federal;1600;PSTU;Deferido;PSTU
JOSÉ MENDONÇA BEZERRA FILHO;MENDONÇA FILHO;Deputado Federal;2525;DEM;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
JOSE ROBERTO AMORIM LEANDRO;ROBERTO LEANDRO;Deputado Federal;4321;PV;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
JOSÉ ROBERTO TAVARES GADELHA;BETO GADELHA;Deputado Federal;3626;PTC;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
JOSEFA DA CONCEIÇÃO RAMOS;JOSEFA RAMOS;Deputado Federal;3372;PMN;Deferido;MOBILIZAÇÃO POR PODER POPULAR
JOSEFA RENÊ SANTOS PATRIOTA;RENÊ PATRIOTA;Deputado Federal;4310;PV;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
JOSENILDO SINESIO DA SILVA;JOSENILDO SINESIO;Deputado Federal;1420;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
KAIO CÉSAR DE MOURA MANIÇOBA NOVAES FERRAZ;KAIO MANIÇOBA;Deputado Federal;3140;PHS;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
KARINA MOISES DA SILVA;KARINA MOISES;Deputado Federal;1493;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
KARLA KESIANY BARBOSA DA SILVA;KARLA BARBOSA;Deputado Federal;3370;PMN;Deferido;MOBILIZAÇÃO POR PODER POPULAR
LAELSON OLIVEIRA COSTA;PROFESSOR LAELSON COSTA;Deputado Federal;2811;PRTB;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
LEIDIJANE ROSA DA SILVA;LEIDIJANE ROSA;Deputado Federal;3677;PTC;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
LISSANDRO ALVES FAGUNDES;LISSANDRO FAGUNDES;Deputado Federal;3333;PMN;Aguardando julgamento;MOBILIZAÇÃO POR PODER POPULAR
LUCIANA BARBOSA DE OLIVEIRA SANTOS;LUCIANA SANTOS;Deputado Federal;6510;PC do B;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
LUCIANO CALDAS BIVAR;LUCIANO BIVAR;Deputado Federal;1717;PSL;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
LUIZ EDUARDO DE OLIVEIRA;PR. EDUARDO;Deputado Federal;3133;PHS;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
LUIZ GONZAGA PATRIOTA;GONZAGA PATRIOTA;Deputado Federal;4000;PSB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
MALBA BEMVINDO CAVALCANTI;MALBA BENVINDO;Deputado Federal;4077;PSB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
MANOEL ALVES DA SILVA;MANOELZINHO - MENINO NOVO;Deputado Federal;3314;PMN;Aguardando julgamento;MOBILIZAÇÃO POR PODER POPULAR
MARCELO MAFRA PIMENTA;MARCELO MAFRA;Deputado Federal;1477;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
MARCOS ANTONIO DA SILVA;DR MARCOS;Deputado Federal;5050;PSOL;Aguardando julgamento;MOBILIZAÇÃO POR PODER POPULAR
MARCOS CAMPOS DE ALBUQUERQUE;CORONEL CAMPOS;Deputado Federal;1789;PSL;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
MARIA APARECIDA MARTINS DOS SANTOS;CIDA SANTOS;Deputado Federal;2713;PSDC;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
MARIA APARECIDA OLIVEIRA DE LIMA;CIDA;Deputado Federal;5440;PPL;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
MARIA BEATRIZ PORTUGAL VIDAL;BEATRIZ VIDAL;Deputado Federal;3611;PTC;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
MARIA DA CONCEIÇÃO BARBOSA LOPES;CONCEIÇÃO LOPES;Deputado Federal;3155;PHS;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
MARIA DA CONCEICAO VANDERLINDO DA SILVA;CONCEICAO;Deputado Federal;2245;PR;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
MARIA DA SAÚDE SANTOS;MARIA DA SAUDE;Deputado Federal;5099;PSOL;Aguardando julgamento;MOBILIZAÇÃO POR PODER POPULAR
MARIA DO CARMO RODRIGUES DE MATOS;CARMINHA MATOS;Deputado Federal;1447;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
MARIA ELBA PEREIRA DE LIMA;ELBA LIMA;Deputado Federal;2898;PRTB;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
MARIA JOSÉ DA SILVA;MARIA SILVA;Deputado Federal;2897;PRTB;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
MARIA RITA LIMA DA SILVA;MARIA RITA;Deputado Federal;1702;PSL;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
MARILEIDE ROSENDO DE ALBUQUERQUE;BALAZINHA ROSENDO;Deputado Federal;1240;PDT;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
MARILIA GABRIELLA PEDROSA DE SOUSA;MACACO TIÃO MARILIA;Deputado Federal;3171;PHS;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
MARINALDO ROSENDO DE ALBUQUERQUE;MARINALDO ROSENDO;Deputado Federal;4012;PSB;Aguardando julgamento;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL
MAURICIO FRUTUOSO DE ALMEIDA;MAURICIO MANDELA;Deputado Federal;1466;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
MILENA CROCIA ALHEIROS LEAL;MILENA LEAL;Deputado Federal;1489;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
MOISES FRANCISCO DA SILVA;MOISES;Deputado Federal;1720;PSL;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
MOZART JULIO TABOSA SALES;MOZART SALES;Deputado Federal;1311;PT;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
MURILO VIEIRA DA SILVA;MURILO VIEIRA;Deputado Federal;1993;PTN;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
NOEME ALVES DA SILVA;NOEME;Deputado Federal;1417;PTB;Aguardando julgamento;PERNAMBUCO VAI MAIS LONGE
NUNES RAFAEL MENDES COELHO;NUNES RAFAEL;Deputado Federal;3111;PHS;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
OSVALDO JOSÉ SILVA;OSVALDO LUPPER;Deputado Federal;2833;PRTB;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
PAULO CAMELO DE HOLANDA CAVALCANTI;PAULO CAMELO;Deputado Federal;5055;PSOL;Deferido;MOBILIZAÇÃO POR PODER POPULAR
PAULO SAVIO DE ALMEIDA JUNIOR;PAULINHO;Deputado Federal;2727;PSDC;Aguardando julgamento;JUNTOS PELO IMPOSTO ÚNICO
