Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADRIELLY MARIA SILVA RIBEIRO DE OLIVEIRA;ADRIELLY;Deputado Estadual;36009;PTC;Deferido;G12 É PIAUÍ
ADRIMARIA MOREIRA DA SILVA;ADRIMARIA;Deputado Estadual;51444;PEN;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
ADVALDO DE FREITAS SOUSA;DR. ADVALDO;Deputado Estadual;17000;PSL;Aguardando julgamento;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
ALDAMIR FERREIRA PONTES;PONTES;Deputado Estadual;44333;PRP;Deferido;A VITÓRIA COM A FORÇA DO POVO
ALUISIO DE SOUZA MARTINS;ALUISIO MARTINS;Deputado Estadual;13131;PT;Deferido;A VITÓRIA COM A FORÇA DO POVO
ALVARO NERI;PROFESSOR NERI;Deputado Estadual;33129;PMN;Aguardando julgamento;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
AMINTAS LOPES CASTELO BRANCO JUNIOR;AMINTAS JUNIOR;Deputado Estadual;36678;PTC;Deferido;G12 É PIAUÍ
ANA AMELIA SILVA MENEZES;ANA SILVA;Deputado Estadual;23544;PPS;Deferido;G12 É PIAUÍ
ANA CATHARINA CORNELIO PESSOA;ANA CATHARINA;Deputado Estadual;15456;PMDB;Aguardando julgamento;PIAUI NO CORACAO III
ANA CELIA DOS SANTOS;ANINHA;Deputado Estadual;40180;PSB;Deferido;PIAUI NO CORACAO III
ANASTÁCIO RIBEIRO ARAUJO;MAGAL;Deputado Estadual;11456;PP;Aguardando julgamento;A VITÓRIA COM A FORÇA DO POVO
ANTONIA MARIA DA SILVA;ANTONIA MARIA;Deputado Estadual;43222;PV;Indeferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
ANTÔNIO ALVES DA SILVA;TONTOIN DO PV;Deputado Estadual;43777;PV;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
ANTONIO CARLOS SOARES;INDIO;Deputado Estadual;20456;PSC;Indeferido com recurso;PSC
ANTONIO FLORENTINO DE SOUZA FILHO;ENGENHEIRO FLORENTINO FILHO;Deputado Estadual;43431;PV;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
ANTONIO FRANCISCO FELIX DE ANDRADE;ANTONIO FELIX;Deputado Estadual;55345;PSD;Deferido;PIAUI NO CORACAO III
ANTONIO JOSÉ DE FREITAS LIRA;ANTONIO JOSE LIRA;Deputado Estadual;25123;DEM;Deferido;G12 É PIAUÍ
ANTONIO MARTINS DE SOUSA NETO;MARTINS;Deputado Estadual;20123;PSC;Deferido;PSC
ANTONIO REINALDO FERNANDES DA SILVA;REINALDO FERNANDES;Deputado Estadual;65321;PC do B;Indeferido;PIAUI NO CORACAO III
ANTÔNIO UCHÔA DE OLIVEIRA;UCHOA;Deputado Estadual;90000;PROS;Deferido;A VITÓRIA COM A FORÇA DO POVO
ARACELIA DE FREITAS NASCIMENTO SILVA;ARACELIA FREITAS;Deputado Estadual;20222;PSC;Deferido;PSC
ARGENIA DE SOUSA FERREIRA;ARGENIA;Deputado Estadual;17100;PSL;Aguardando julgamento;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
AUREA RÉGIA RODRIGUES BORGES FERNANDES;AUREA RÉGIA;Deputado Estadual;55444;PSD;Deferido;PIAUI NO CORACAO III
BALDUINO AVELINO DE ARAUJO SANTOS;BALDUINO;Deputado Estadual;44544;PRP;Deferido;A VITÓRIA COM A FORÇA DO POVO
BENEDITO SOARES DE SOUZA;BINÉ SOARES;Deputado Estadual;36500;PTC;Deferido;G12 É PIAUÍ
BESSAH ARAÚJO COSTA REIS SÁ;B. SÁ;Deputado Estadual;40888;PSB;Deferido;PIAUI NO CORACAO III
BRENNO DE SOUSA ANDRADE;BRENNO ANDRADE;Deputado Estadual;40789;PSB;Deferido;PIAUI NO CORACAO III
CARLOS ALBERTO LAGES MONTE;CARLOS MONTE;Deputado Estadual;14567;PTB;Deferido;A VITÓRIA COM A FORÇA DO POVO
CARLOS ALBERTO PEREIRA DA SILVA;CARLOS ALBERTO;Deputado Estadual;13555;PT;Aguardando julgamento;A VITÓRIA COM A FORÇA DO POVO
CARMEM LUCIA ALMEIDA ARAUJO SOUSA;CARMEM;Deputado Estadual;44800;PRP;Indeferido;A VITÓRIA COM A FORÇA DO POVO
CATARINA JESUS DA SILVA;KAKÁ;Deputado Estadual;13235;PT;Aguardando julgamento;A VITÓRIA COM A FORÇA DO POVO
CATIANE DE SOUSA CASTRO;CATIANE SOUSA;Deputado Estadual;70024;PT do B;Aguardando julgamento;G12 É PIAUÍ
CICERO MAGALHÃES OLIVEIRA;CICERO MAGALHÃES;Deputado Estadual;13567;PT;Deferido;A VITÓRIA COM A FORÇA DO POVO
CLAUDIO JOSE LIMA GONÇALVES;O PIRATA;Deputado Estadual;15678;PMDB;Deferido;PIAUI NO CORACAO III
CLÁUDIO TADEU FONSECA MAIA;TADEU MAIA;Deputado Estadual;40345;PSB;Deferido;PIAUI NO CORACAO III
CLEITON RODRIGUES CARVALHO;CLEITON MÃOZINHA;Deputado Estadual;21021;PCB;Indeferido;O PODER POPULAR NA CONSTRUÇÃO DO SOCIALISMO
CRISTIANO DE MOURA SILVA;ABDALA;Deputado Estadual;43321;PV;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
DALVA GABRIELLY SEREJO DE OLIVEIRA;DALVA SEREJO;Deputado Estadual;20111;PSC;Deferido;PSC
DANIEL DE ARAÚJO PESSOA;DANIEL BAR;Deputado Estadual;51244;PEN;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
DEUSIMAR DO SOCORRO BRITO DE FARIAS;TERERE;Deputado Estadual;45111;PSDB;Deferido;PIAUI NO CORACAO III
DIANA MARIA ROCHA PIRES;DIANA ROCHA;Deputado Estadual;20200;PSC;Deferido;PSC
DOMINGOS CARDOSO RODRIGUES;DOMINGOS CARDOSO RODRIGUES;Deputado Estadual;33150;PMN;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
EDEGAR DA COSTA RIBAS;RIBAS;Deputado Estadual;17111;PSL;Aguardando julgamento;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
EDMUNDO DOS SANTOS GALVÃO;EDMUNDO GALVÃO;Deputado Estadual;50456;PSOL;Deferido;O PODER POPULAR NA CONSTRUÇÃO DO SOCIALISMO
EDSON DE CASTRO FERREIRA;EDSON FERREIRA;Deputado Estadual;55132;PSD;Deferido;PIAUI NO CORACAO III
EDSON PEREIRA DA SILVA;FRANCO REI;Deputado Estadual;44567;PRP;Deferido;A VITÓRIA COM A FORÇA DO POVO
EDVALDO SARAIVA COSTA;SARAIVA;Deputado Estadual;15147;PMDB;Deferido;PIAUI NO CORACAO III
ELIANE LUCIA HILL ARAÚJO;IRMÃ ELIANE HILL;Deputado Estadual;17890;PSL;Aguardando julgamento;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
ELIESIO DA SILVA FERNANDES;ELIESIO FERNANDES;Deputado Estadual;54444;PPL;Deferido;PPL
ELTON JOHN VIANA PAIVA;ELTON PAIVA;Deputado Estadual;51333;PEN;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
ENEAS MAIA DOS SANTOS;ENEAS MAIA;Deputado Estadual;45678;PSDB;Deferido;PIAUI NO CORACAO III
ERALDO DE CASTRO BRANDÃO;ERALDO BRANDÃO;Deputado Estadual;70343;PT do B;Deferido;G12 É PIAUÍ
EVALDO GOMES DA SILVA;EVALDO GOMES;Deputado Estadual;36789;PTC;Deferido;G12 É PIAUÍ
FABIO HENRIQUE MENDONÇA XAVIER DE OLIVEIRA;FÁBIO XAVIER;Deputado Estadual;22222;PR;Deferido;A VITÓRIA COM A FORÇA DO POVO
FÁBIO NUNEZ NOVO;FÁBIO NOVO;Deputado Estadual;13111;PT;Deferido;A VITÓRIA COM A FORÇA DO POVO
FABRICIO AURELIO PIMENTEL SOARES;FABRICIO AURELIO;Deputado Estadual;27000;PSDC;Deferido;G12 É PIAUÍ
FERNANDA LEMOS DE MELO LOBO LOPES;FERNANDA LOBO;Deputado Estadual;36212;PTC;Deferido;G12 É PIAUÍ
FERNANDO ALBERTO DE BRITO MONTEIRO;FERNANDO MONTEIRO;Deputado Estadual;14114;PTB;Aguardando julgamento;A VITÓRIA COM A FORÇA DO POVO
FIRMINO SOARES PAULO;FIRMINO PAULO;Deputado Estadual;45145;PSDB;Deferido;PIAUI NO CORACAO III
FLAUBERT ROCHA VIEIRA;TENENTE FLAUBERT;Deputado Estadual;77777;SD;Aguardando julgamento;A VITÓRIA COM A FORÇA DO POVO
FLAVIO RODRIGUES NOGUEIRA JUNIOR;FLAVIO NOGUEIRA JR;Deputado Estadual;12369;PDT;Deferido;PIAUI NO CORACAO III
FLORA IZABEL NOBRE RODRIGUES;FLORA IZABEL;Deputado Estadual;13678;PT;Aguardando julgamento;A VITÓRIA COM A FORÇA DO POVO
FRANCINEIDE MARIA DA COSTA;LINDINHA;Deputado Estadual;14555;PTB;Deferido;A VITÓRIA COM A FORÇA DO POVO
FRANCISCA XAVIER PEREIRA DE CEIA;VOVOZINHA;Deputado Estadual;17171;PSL;Aguardando julgamento;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
FRANCISCO ALBERTO DE ARAUJO E SILVA REGO;BETO RÊGO;Deputado Estadual;55888;PSD;Deferido;PIAUI NO CORACAO III
FRANCISCO ALVES MIGUEL LIMA;CHICÃO;Deputado Estadual;50555;PSOL;Renúncia;O PODER POPULAR NA CONSTRUÇÃO DO SOCIALISMO
FRANCISCO ASSIS DE SOUSA LOPES;FRANCIS LOPES;Deputado Estadual;44444;PRP;Aguardando julgamento;A VITÓRIA COM A FORÇA DO POVO
FRANCISCO BARBOSA DE MACEDO;FRANCISCO MACEDO;Deputado Estadual;33123;PMN;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
FRANCISCO CHAGAS DO NASCIMENTO JÚNIOR;JUNIOR DO MP3;Deputado Estadual;13666;PT;Aguardando julgamento;A VITÓRIA COM A FORÇA DO POVO
FRANCISCO DAS CHAGAS LIMMA;LIMMA;Deputado Estadual;13123;PT;Deferido;A VITÓRIA COM A FORÇA DO POVO
FRANCISCO FABRICIO DA CONCEIÇÃO;FABRICIO DA CONCEIÇÃO;Deputado Estadual;20345;PSC;Indeferido;PSC
FRANCISCO FERREIRA RAMOS;CHICO RAMOS;Deputado Estadual;40222;PSB;Deferido;PIAUI NO CORACAO III
FRANCISCO GUEDES ALCOFORADO FILHO;GUEDES;Deputado Estadual;13456;PT;Deferido;A VITÓRIA COM A FORÇA DO POVO
FRANCISCO JARISMAR DE FREITAS ARAUJO;JOTÃO;Deputado Estadual;20333;PSC;Deferido;PSC
FRANCISCO JOSE DE SOUSA;J SOUSA;Deputado Estadual;44230;PRP;Aguardando julgamento;A VITÓRIA COM A FORÇA DO POVO
FRANCISCO PEREIRA DE CALDAS RODRIGUES;CALDAS RODRIGUES;Deputado Estadual;12312;PDT;Renúncia;PIAUI NO CORACAO III
FRANCISCO ROBERSON MARCELO DA SILVA;PASTOR ROBSON;Deputado Estadual;51345;PEN;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
FRANCISCO WAGNER PIRES COELHO;DR. WAGNER;Deputado Estadual;23100;PPS;Deferido;G12 É PIAUÍ
FRANCISVALDO DA SILVA ROCHA;MEZENGA;Deputado Estadual;70121;PT do B;Deferido;G12 É PIAUÍ
FREDERICO ANTONIO REBELO TORRES;FREDERICO REBELO;Deputado Estadual;23333;PPS;Deferido;G12 É PIAUÍ
GABRIEL ALVES DE OLIVEIRA;GABRIEL;Deputado Estadual;44144;PRP;Aguardando julgamento;A VITÓRIA COM A FORÇA DO POVO
GECILDA SILVA BRAGA;GECILDA;Deputado Estadual;44258;PRP;Deferido;A VITÓRIA COM A FORÇA DO POVO
GEORGIANO FERNANDES LIMA NETO;GEORGIANO;Deputado Estadual;55789;PSD;Deferido;PIAUI NO CORACAO III
GERARDO JURACI CAMPELO LEITE;JURACI LEITE;Deputado Estadual;55123;PSD;Deferido;PIAUI NO CORACAO III
GESSIVALDO ISAIAS DE CARVALHO SILVA;PASTOR GESSIVALDO;Deputado Estadual;10123;PRB;Deferido;PIAUI NO CORACAO III
GETULIO GOMES MACIEL;GETULIO GOMES;Deputado Estadual;11222;PP;Aguardando julgamento;A VITÓRIA COM A FORÇA DO POVO
GLAUCIA APARECIDA DE SOUSA SANTOS;GLAUCIA APARECIDA;Deputado Estadual;22345;PR;Renúncia;A VITÓRIA COM A FORÇA DO POVO
GUSTAVO SOUSA DE NEIVA;GUSTAVO NEIVA;Deputado Estadual;40555;PSB;Deferido;PIAUI NO CORACAO III
HANDS WELLINGTON BATISTA OLIVEIRA;PROFESSOR HANDS;Deputado Estadual;43456;PV;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
HELBERT ALVES DA ROCHA;IRMÃO;Deputado Estadual;31456;PHS;Aguardando julgamento;A VITÓRIA COM A FORÇA DO POVO
HELEN CRISTINA DA SILVA;HELEN SILVA;Deputado Estadual;13252;PT;Deferido;A VITÓRIA COM A FORÇA DO POVO
HELI DE CARVALHO CRONEMBERGER NETO;HELI CRONEMBERGER;Deputado Estadual;20555;PSC;Deferido;PSC
HÉLIO ISAÍAS DA SILVA;HÉLIO ISAÍAS;Deputado Estadual;14454;PTB;Deferido;A VITÓRIA COM A FORÇA DO POVO
HUMBERTO MARIANO LOBÃO CASTELO BRANCO;HUMBERTO MARIANO;Deputado Estadual;11000;PP;Aguardando julgamento;A VITÓRIA COM A FORÇA DO POVO
IARA CAROLINE VIANA GOMES SANTANA;IARA CAROLINE;Deputado Estadual;40322;PSB;Deferido;PIAUI NO CORACAO III
IRATAN BEZERRA DE OLIVEIRA;TENENTE IRATAN;Deputado Estadual;17007;PSL;Indeferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
