Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
AFRANIO GOMES DE SENA;AFRANIO GOMES;Deputado Federal;2077;PSC;Indeferido com recurso;PSC
ALEXANDRE JOSÉ SÁ DE OLIVEIRA;ALEXANDRE SÁ;Deputado Federal;4300;PV;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
ALICE LOPES DE ANDRADE E SILVA LEBRE;ALICE ANDRADE;Deputado Federal;4333;PV;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
ALLAN KARDEK DE OLIVEIRA ARAÚJO;ALLAN KARDEK;Deputado Federal;5122;PEN;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
ANA LETICIA LEMOS PEDREIRA ALVARENGA;ANA LETÍCIA;Deputado Federal;1322;PT;Deferido;A VITÓRIA COM A FORÇA DO POVO
ANA PAULA DOS SANTOS COSTA;ANA PAULA;Deputado Federal;7000;PT do B;Indeferido;PIAUI NO CORAÇÃO II
ANDERLAN RODRIGUES GOMES SOUSA;ANDERLAN SOUSA;Deputado Federal;2929;PCO;Renúncia;PCO
ANTONIO ALMEIDA DE SOUSA;TOIM DUFRANGO;Deputado Federal;3677;PTC;Deferido;PIAUI NO CORAÇÃO II
ANTONIO DE PADUA DO REGO MONTEIRO;PÁDUA RÊGO;Deputado Federal;3300;PMN;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
ANTONIO FRANCISCO GOMES DE CASTRO;CHICO PANÇA;Deputado Federal;5123;PEN;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
ATILA FREITAS LIRA;ATILA LIRA;Deputado Federal;4040;PSB;Deferido;PIAUI NO CORAÇÃO II
AURICELIA SOUSA OLIVEIRA;AURICELIA;Deputado Federal;4340;PV;Deferido;POR UM PIAUÍ ÉTICO E SUSTENTÁVEL
BELIZÁRIO DE OLIVEIRA CASTRO;BELIZÁRIO NETO;Deputado Federal;7012;PT do B;Deferido;PIAUI NO CORAÇÃO II
BRENDA CECILIA QUEIROZ DE MELO;BRENDA MELO;Deputado Federal;5433;PPL;Deferido;PPL
CARIOLANDO PEREIRA DE FRANÇA;MINAS DE FRANÇA;Deputado Federal;5010;PSOL;Deferido;O PODER POPULAR NA CONSTRUÇÃO DO SOCIALISMO
CARLA PRYSCILLA E SILVA DE OLIVEIRA;CARLA PRYSCILLA;Deputado Federal;2113;PCB;Renúncia;O PODER POPULAR NA CONSTRUÇÃO DO SOCIALISMO
CARLA SOARES SANTOS;CARLA SOARES;Deputado Federal;1010;PRB;Deferido;PIAUI NO CORAÇÃO II
CARLOS HENRIQUE DE FREITAS ROCHA;CASIK ROCHA;Deputado Federal;3122;PHS;Deferido;A VITÓRIA COM A FORÇA DO POVO
CELSO HENRIQUE BARBOSA LIMA;CELSO HENRIQUE;Deputado Federal;2323;PPS;Deferido;PIAUI NO CORAÇÃO II
