Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADAIR FERREIRA DE ALMEIDA;PROF. FERREIRA;Deputado Estadual;51969;PEN;Aguardando julgamento;Educação e Trabalho com Sustentabilidade e Ação
ADALBERTO CORDEIRO ROCHA;DR. ROCHINHA;Deputado Estadual;50234;PSOL;Indeferido;PSOL
ADALBERTO LOSSO;ADALBERTO LOSSO;Deputado Estadual;17888;PSL;Aguardando julgamento;PSL
ADAO ROWIECKI;ADAO ROWIECKI;Deputado Estadual;36002;PTC;Aguardando julgamento;PTC
ADAUTO FORNAZIERI;ADAUTO FORNAZIERI;Deputado Estadual;20369;PSC;Deferido com recurso;PARANÁ MAIS FORTE
ADELAR PIRES DOS SANTOS;ADELAR PIRES DOS SANTOS;Deputado Estadual;36789;PTC;Aguardando julgamento;PTC
ADELINO RIBEIRO SILVA;ADELINO RIBEIRO;Deputado Estadual;17800;PSL;Aguardando julgamento;PSL
ADEMAR COSTA;BISPO COSTA;Deputado Estadual;12650;PDT;Aguardando julgamento;PARANÁ QUE SEGUE EM FRENTE
ADEMAR LUIZ TRAIANO;TRAIANO;Deputado Estadual;45789;PSDB;Aguardando julgamento;Avança Paraná
ADEMAR PEREIRA TORRES;ADEMAR TORRES;Deputado Estadual;17777;PSL;Aguardando julgamento;PSL
ADEMIR ANTONIO OSMAR BIER;ADEMIR BIER;Deputado Estadual;15115;PMDB;Deferido;PMDB
ADEMIR ZACARIAS DA SILVA;ADEMIR DA EMPINOX;Deputado Estadual;20530;PSC;Indeferido;PARANÁ MAIS FORTE
ADMISIO RAIMUNDO DE SOUZA;ADMÍSIO PERNAMBUCO;Deputado Estadual;50210;PSOL;Aguardando julgamento;PSOL
ADRIANA COCCI DE MORAES;ADRINA COCCI DE MORAES CASTRO;Deputado Estadual;19300;PTN;Aguardando julgamento;PTN
ADRIANA CRISTINA ZIRONDI;ADRIANA;Deputado Estadual;33888;PMN;Deferido;PP-PMN
ADRIANA DE SOUZA COELHO SEBASTIAO;ADRIANA COELHO;Deputado Estadual;17020;PSL;Deferido;PSL
ADRIANA PATRICIA DE OLIVEIRA DA COSTA;ADRIANA OLIVEIRA;Deputado Estadual;15040;PMDB;Aguardando julgamento;PMDB
ADRIANO DA SILVA DE OLIVEIRA;BACURAU;Deputado Estadual;43098;PV;Deferido;Paraná por Você
ADRIANO FERREIRA PEDROSO;ADRIANO PEDROSO;Deputado Estadual;36333;PTC;Aguardando julgamento;PTC
AGENOR DA SILVA PEREIRA;CACÁ PEREIRA;Deputado Estadual;27970;PSDC;Aguardando julgamento;Educação e Trabalho com Sustentabilidade e Ação
AGENOR DE SOUZA LEAL NETO;DR. AGENOR LEAL;Deputado Estadual;17333;PSL;Aguardando julgamento;PSL
AGUINALDO ROBERTO DO CARMO;PROFESSOR AGUINALDO;Deputado Estadual;20400;PSC;Deferido;PARANÁ MAIS FORTE
AGUINALDO TIMOTEO CAVALHEIRO DE ALMEIDA;GUIGA;Deputado Estadual;50550;PSOL;Aguardando julgamento;PSOL
AILTON ALVES DE OLIVEIRA;FENEMÊ;Deputado Estadual;77889;SD;Deferido;SD
ALAERTE LEANDRO MARTINS;ALAERTE LEANDRO MARTINS;Deputado Estadual;43543;PV;Aguardando julgamento;Paraná por Você
ALAOR LUCINDA JUNIOR;ALAOR LUCINDA;Deputado Estadual;33666;PMN;Aguardando julgamento;PP-PMN
ALBERICO BISPO BARBOSA;BISPO;Deputado Estadual;51230;PEN;Aguardando julgamento;Educação e Trabalho com Sustentabilidade e Ação
ALBERTO CHAIM LEITE;ALBERTO CHAIM LEITE;Deputado Estadual;36001;PTC;Aguardando julgamento;PTC
ALBINO SILVA TRAMUJAS;ALBINO TRAMUJAS;Deputado Estadual;20420;PSC;Deferido;PARANÁ MAIS FORTE
ALCENI VIEIRA DOS SANTOS;ALCENI VIEIRA;Deputado Estadual;19102;PTN;Deferido;PTN
ALCEU MALUF JUNIOR;MALUF;Deputado Estadual;23223;PPS;Deferido;PPS
ALCIBIADES ALVES DE MOURA;PROF. ALCIBIADES;Deputado Estadual;27356;PSDC;Aguardando julgamento;Educação e Trabalho com Sustentabilidade e Ação
ALCIMARY AMARAL;PROFª KIKA;Deputado Estadual;43434;PV;Aguardando julgamento;Paraná por Você
