Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADÃO MATOZO;MATOZO DA AMBULÂNCIA;Deputado Federal;2789;PSDC;Aguardando julgamento;Educação e Trabalho com Sustentabilidade
ADEMAR LINEU DORFSCHMIDT;ADEMAR DORFSCHMIDT;Deputado Federal;1510;PMDB;Aguardando julgamento;PMDB
ADRIANA FERREIRA;ADRIANA FERREIRA;Deputado Federal;4332;PV;Aguardando julgamento;Paraná por Você
ADRIANA PATRICIA FRITZ;ADRIANA FRITZ;Deputado Federal;7020;PT do B;Aguardando julgamento;União Pelo Paraná
ADRIANA VILARINHO SALOMÃO COELHO;DRA ADRIANA COELHO;Deputado Federal;5510;PSD;Aguardando julgamento;União Pelo Paraná
AGNALDO JOSÉ BASTOS JULIO;AGNALDO JULIO;Deputado Federal;4005;PSB;Deferido;PSB
ALBINO SURECK;SURECK;Deputado Federal;2788;PSDC;Deferido;Educação e Trabalho com Sustentabilidade
ALCEU FERREIRA FILHO;ALCEUZINHO PAZINATTO FILHO;Deputado Federal;1786;PSL;Aguardando julgamento;PSL
ALEX CANZIANI SILVEIRA;ALEX CANZIANI;Deputado Federal;1414;PTB;Deferido;Educação e Trabalho com Sustentabilidade
ALEX RAVAL BERTOZZI;ALEX;Deputado Federal;1600;PSTU;Deferido;PSTU
ALEXANDRE PANZARINI FILHO;PANZARINI;Deputado Federal;1033;PRB;Deferido;PARANÁ SEMPRE EM FRENTE
ALFREDO RICARDO PARODI NETO;ALFREDO PARODI;Deputado Federal;4077;PSB;Deferido;PSB
ALGACIR MILTON OZIR RIBEIRO;ALGACIR  RIBEIRO;Deputado Federal;2820;PRTB;Deferido;PRTB
ALIEL MACHADO BARK;ALIEL MACHADO;Deputado Federal;6565;PC do B;Aguardando julgamento;PARANÁ SEMPRE EM FRENTE
ALISTELIA GONÇALVES DOS SANTOS;PROF ALISTELIA;Deputado Federal;1595;PMDB;Aguardando julgamento;PMDB
ALMEDES MARTINS DE OLIVEIRA;ALMEDES;Deputado Federal;4370;PV;Deferido;Paraná por Você
ALUIZIO FELIPE DA SILVA;ALUIZIO FELIPE;Deputado Federal;2825;PRTB;Deferido;PRTB
