Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABEILARD GOULART DE SOUZA FILHO;ABELARDINHO;Deputado Estadual;77890;SD;Aguardando julgamento;SD
ACHILLES ALMEIDA BARRETO NETO;AQUILES BARRETO;Deputado Estadual;77444;SD;Aguardando julgamento;SD
ACYR BARBOSA DE CARVALHO NETO;DR. ACYR NETO;Deputado Estadual;43003;PV;Aguardando julgamento;PV
ACYR PIRES AGUIAR;DOUTOR ACYR;Deputado Estadual;28888;PRTB;Aguardando julgamento;PARA MELHORAR TEM QUE MUDAR
ADALBERTO JOSÉ DO AMARAL FERREIRA;ADALBERTO AMARAL;Deputado Estadual;13789;PT;Aguardando julgamento;PT
ADÃO JUNGER;ADÃO JUNGER;Deputado Estadual;14113;PTB;Aguardando julgamento;JUNTOS PELO TRABALHISMO
ADEILDO ALVES VILELA;ADEILDO VILELA;Deputado Estadual;25125;DEM;Aguardando julgamento;PACTO PELO RIO DE JANEIRO E O BRASIL
ADEILTON GUILHERME DE OLIVEIRA;GUILHERME OLIVEIRA;Deputado Estadual;19100;PTN;Aguardando julgamento;JUNTOS PELO TRABALHISMO
ADELSON PEREIRA GUEDES;ADELSON GUEDES;Deputado Estadual;13011;PT;Aguardando julgamento;PT
ADEMILTO SILVA DE SOUZA;BOMBOEIRÃO;Deputado Estadual;70199;PT do B;Aguardando julgamento;PT do B
ADEMIR GONÇALVES BARROS;ADEMIR BARROS;Deputado Estadual;33999;PMN;Aguardando julgamento;UNIDOS PELA FAMILIA
ADEMIR MARQUES DA SILVA;DHEMA;Deputado Estadual;11233;PP;Aguardando julgamento;PP
ADILIO SALVADOR SARAIVA;ADILIO SARAIVA;Deputado Estadual;13843;PT;Aguardando julgamento;PT
ADILSON BANDEIRA DE ANDRADE;CAPITÃO BANDEIRA;Deputado Estadual;31192;PHS;Aguardando julgamento;PHS
ADILSON BATISTA PINHEIRO;ADILSON PINHEIRO;Deputado Estadual;36501;PTC;Aguardando julgamento;EM DEFESA DA FAMÍLIA
ADILSON CARLINDO DOS SANTOS;ADILSON CARLINDO;Deputado Estadual;36377;PTC;Aguardando julgamento;EM DEFESA DA FAMÍLIA
ADILSON CORDEIRO DE VASCONCELOS;ADILSON CORDEIRO;Deputado Estadual;55014;PSD;Aguardando julgamento;PSD
ADILSON DOS REIS VIEIRA;ADILSON REIS;Deputado Estadual;31952;PHS;Aguardando julgamento;PHS
