Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABEL DE PAULA E SILVA SEGUNDO;ABEL DE PAULA;Deputado Federal;5012;PSOL;Aguardando julgamento;PSOL
ABILIO MACIEL DA SILVA FILHO;ABÍLIO MACIEL;Deputado Federal;2812;PRTB;Aguardando julgamento;RENOVA RIO
ABIMAEL CIRIACO DA SILVA;PASTOR ABIMAEL SILVA;Deputado Federal;3146;PHS;Aguardando julgamento;FRENTE TRABALHISTA SOLIDARIA
ABNER PECLAT BARBOZA;LEO PECLAT;Deputado Federal;2278;PR;Aguardando julgamento;PR E PROS
ADALBERTO DE AZEVEDO PINTO;BETO AZEVEDO;Deputado Federal;4477;PRP;Aguardando julgamento;RENOVA RIO
ADALBERTO DE SOUZA RABELO;CEL. RABELO;Deputado Federal;2230;PR;Aguardando julgamento;PR E PROS
ADALMIR D'AGUILA DE SOUZA;PROFESSOR ADALMIR;Deputado Federal;2829;PRTB;Aguardando julgamento;RENOVA RIO
ADEILDO PEREIRA DOS SANTOS FILHO;PROFESSOR ADEILDO;Deputado Federal;1098;PRB;Aguardando julgamento;PRB
ADEIR THEOFILO APOLINÁRIO;ADEIR APOLINARIO;Deputado Federal;2781;PSDC;Aguardando julgamento;POR UM RIO MELHOR
ADEMILTON MOREIRA ATANAZIO;ADEMILTON MOREIRA;Deputado Federal;2739;PSDC;Aguardando julgamento;POR UM RIO MELHOR
ADEMIR ALVES DE MELO;ADEMIR MELO;Deputado Federal;5546;PSD;Renúncia;PMDB - PP - PSC - PSD - PTB
ADEMIR MARTINS DA SILVA;ADEMIR MARTINS;Deputado Federal;4323;PV;Aguardando julgamento;PV
ADEMIRA NOGUEIRA MOREIRA;MIRA;Deputado Federal;1095;PRB;Aguardando julgamento;PRB
ADENILSON JOSÉ MESSIAS;ADENILSON MESSIAS;Deputado Federal;5081;PSOL;Aguardando julgamento;PSOL
ADONIS LOPES DE OLIVEIRA;COMANDANTE ADONIS;Deputado Federal;5507;PSD;Aguardando julgamento;PMDB - PP - PSC - PSD - PTB
ADRIAN MUSSI RAMOS;ADRIAN;Deputado Federal;1520;PMDB;Aguardando julgamento;PMDB - PP - PSC - PSD - PTB
ADRIANA BITENCOURT DA SILVA;ADRIANA BITENCOURT;Deputado Federal;5004;PSOL;Aguardando julgamento;PSOL
