Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABRAÃO DUTRA DANTAS;DR ABRAÃO;Deputado Estadual;43211;PV;Aguardando julgamento;SEM MUDANÇA NÃO HÁ ESPERANÇA 2
ADAIRTON MEDEIROS BARBOSA;ADAIRTON MADEIROS;Deputado Estadual;13311;PT;Deferido;LIDERADOS PELO POVO IV
ADÃO ERIDAN DE ANDRADE;ADÃO ERIDAN;Deputado Estadual;22123;PR;Deferido;UNIÃO PELA MUDANÇA II
ADELITA MARIA DE OLIVEIRA;ADELITA OLIVEIRA;Deputado Estadual;70000;PT do B;Deferido;LIDERADOS PELO POVO IV
ADENUBIO DE MELO GONZAGA;ADENUBIO MELO;Deputado Estadual;20111;PSC;Deferido;UNIÃO PELA MUDANÇA III
AFRANIO DE SOUZA AMORIM;AFRANIO AMORIM;Deputado Estadual;12345;PDT;Aguardando julgamento;UNIÃO PELA MUDANÇA II
AGNELO ALVES;AGNELO;Deputado Estadual;12123;PDT;Aguardando julgamento;UNIÃO PELA MUDANÇA II
AIRTON PEREIRA DA SILVA;AIRTON;Deputado Estadual;36444;PTC;Indeferido;LIDERADOS PELO POVO III
ALANNE TALITA BEZERRA DE SOUZA;ALANNE TALITA;Deputado Estadual;11236;PP;Deferido;LIDERADOS PELO POVO III
ALBANIZA MARIA ATAIDE FERREIRA;ALBANIZA ATAIDE;Deputado Estadual;13413;PT;Deferido;LIDERADOS PELO POVO IV
ALBERT DICKSON DE LIMA;ALBERT DICKSON OFTALMOLOGISTA;Deputado Estadual;90111;PROS;Aguardando julgamento;UNIÃO PELA MUDANÇA II
ALDAIR DA ROCHA;ALDAIR ROCHA;Deputado Estadual;14123;PTB;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 2
ALEXSANDRA DA ROCHA;ALEXSANDRA;Deputado Estadual;45000;PSDB;Indeferido;UNIÃO PELA MUDANÇA III
ALISSON FERREIRA DO NASCIMENTO;ALISSON NASCIMENTO;Deputado Estadual;45125;PSDB;Indeferido;UNIÃO PELA MUDANÇA III
ÁLVARO COSTA DIAS;ALVARO DIAS;Deputado Estadual;15555;PMDB;Aguardando julgamento;UNIÃO PELA MUDANÇA II
ALVARO MANUEL FERREIRA MONTEIRO;ALVARO MONTEIRO;Deputado Estadual;10444;PRB;Renúncia;UNIÃO PELA MUDANÇA III
AMARO ALVES SATURNINO;AMARO SATURNINO;Deputado Estadual;70222;PT do B;Aguardando julgamento;LIDERADOS PELO POVO IV
ANA CAROLINA DA SILVA DIAS;CAROL DIAS;Deputado Estadual;16001;PSTU;Renúncia;PSTU
ANA CLAUDIA DE OLIVEIRA XAVIER FERREIRA FREIRE;CLAUDIA FREIRE;Deputado Estadual;31985;PHS;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 2
ANA CRISTINA FERNANDES AZEVEDO;CRISTINA AZEVEDO;Deputado Estadual;15789;PMDB;Deferido;UNIÃO PELA MUDANÇA II
ANA MARIA DE FARIAS CABRAL;ANA MARIA;Deputado Estadual;31815;PHS;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 2
ANA VALERIA BARBALHO CAVALCANTI;VALERIA BARBALHO CAVALCANTI;Deputado Estadual;45666;PSDB;Deferido;UNIÃO PELA MUDANÇA III
ANDRÉ LUIS FERNANDES DA FONSECA;MAJOR FERNANDES;Deputado Estadual;55190;PSD;Deferido;LIDERADOS PELO POVO III
ANTONIO JOSINO NETO;TOM SERTANEJO;Deputado Estadual;20333;PSC;Deferido;UNIÃO PELA MUDANÇA III
ANTONIO MARCELINO DE SOUZA MARTINS NETO;BOLINHA;Deputado Estadual;65222;PC do B;Aguardando julgamento;LIDERADOS PELO POVO IV
ARAKEN BATISTA ARAÚJO DA SILVA;ARAKEN BATISTA;Deputado Estadual;11234;PP;Deferido;LIDERADOS PELO POVO III
ARINALDO DA SILVA GOMES;ARY GOMES;Deputado Estadual;45111;PSDB;Deferido;UNIÃO PELA MUDANÇA III
BERNARDINO DE SENA FONSECA;BERNARDO;Deputado Estadual;13013;PT;Deferido;LIDERADOS PELO POVO IV
BRUNO CARLOS DA SILVA;BRUNO CARLOS;Deputado Estadual;33456;PMN;Deferido;UNIÃO PELA MUDANÇA III
CARLA CRISTINA DUTRA BARBOSA;CARLA DUTRA;Deputado Estadual;51118;PEN;Deferido;LIDERADOS PELO POVO III
CARLOS ALBERTO DE ALMEIDA CAVALCANTE;CARLOS VENDEDOR;Deputado Estadual;27500;PSDC;Deferido;UNIÃO PELA MUDANÇA III
CARLOS ALBERTO DE BARROS CIRILO;CARLOS CIRILO;Deputado Estadual;31456;PHS;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 2
CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO;BETINHO ROSADO SEGUNDO;Deputado Estadual;11111;PP;Deferido;LIDERADOS PELO POVO III
CARLOS AUGUSTO DE PAIVA MAIA;CARLOS AUGUSTO MAIA;Deputado Estadual;70123;PT do B;Deferido;LIDERADOS PELO POVO IV
CARLSON GERALDO CORREIA GOMES;CARLSON GOMES;Deputado Estadual;25000;DEM;Deferido;UNIÃO PELA MUDANÇA II
CHARLES DE MACEDO PHELAN;CHARLES PHELAN;Deputado Estadual;12000;PDT;Deferido;UNIÃO PELA MUDANÇA II
CICERO PAULINO RIBEIRO;IRMÃO CICERO DA RÁDIO;Deputado Estadual;50152;PSOL;Aguardando julgamento;PSOL
CLAUDINEI FRANCISCO PINHEIRO;VIGILANTE CLAUDINEI;Deputado Estadual;10010;PRB;Deferido;UNIÃO PELA MUDANÇA III
CLEUDO MARTINS LOPES;CLEUDO BADÚ;Deputado Estadual;11110;PP;Deferido;LIDERADOS PELO POVO III
CLOVIS RODRIGUES NUNES;CLOVIS NUNES;Deputado Estadual;65333;PC do B;Deferido;LIDERADOS PELO POVO IV
CRISTIANE BEZERRA DE SOUZA DANTAS;CRISTIANE DANTAS;Deputado Estadual;65555;PC do B;Deferido;LIDERADOS PELO POVO IV
DAIANA DE MEDEIROS BRANDAO;DAIANA BRANDÃO;Deputado Estadual;31234;PHS;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 2
DAMIÃO ELIAS FERNANDES;DAMIÃO POTÊNCIA;Deputado Estadual;27111;PSDC;Deferido;UNIÃO PELA MUDANÇA III
DARIO BARBOSA DE MELO;DARIO BARBOSA;Deputado Estadual;16123;PSTU;Deferido;PSTU
DAYANA CARMEN BATISTA DO NASCIMENTO;DAYANA NASCIMENTO;Deputado Estadual;13600;PT;Deferido;LIDERADOS PELO POVO IV
DEBORA KATIA MEDEIROS DE MORAIS;KÁTIA MEDEIROS;Deputado Estadual;55777;PSD;Deferido;LIDERADOS PELO POVO III
DEUSENI DE MENDONÇA PIMENTEL;DEUSENI PIMENTEL;Deputado Estadual;17111;PSL;Aguardando julgamento;PSL
DIBSON ANTONIO BEZERRA NASSER;DIBSON NASSER;Deputado Estadual;45555;PSDB;Renúncia;UNIÃO PELA MUDANÇA III
EDILSON CARLOS DE SOUZA;EDILSON CARLOS;Deputado Estadual;43456;PV;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 2
EDILSON HONÓRIO DA SILVA;MARROM;Deputado Estadual;44000;PRP;Deferido;UNIÃO PELA MUDANÇA III
EDIVAN MARTINS TEIXEIRA;EDIVAN MARTINS;Deputado Estadual;43123;PV;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 2
