Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABIDENE SALUSTIANO DA SILVA;ABIDENE;Deputado Federal;2014;PSC;Deferido;UNIÃO PELA MUDANÇA I
ABRAÃO LINCOLN FERREIRA DA CRUZ;ABRAÃO LINCOLN;Deputado Federal;1010;PRB;Deferido;UNIÃO PELA MUDANÇA I
ADALBERI MOREIRA DA COSTA;ADALBERI;Deputado Federal;3615;PTC;Deferido;LIDERADOS PELO POVO II
ALCINEIDE AMARO DE AQUINO;ALCINEIDE AQUINO;Deputado Federal;3155;PHS;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 1
ALDO TORQUATO DA SILVA;ALDO TORQUATO;Deputado Federal;1344;PT;Deferido;LIDERADOS PELO POVO I
ALEXANDRE CAVALCANTI BARRETTO FERREIRA;ALEXANDRE FERREIRA;Deputado Federal;6565;PC do B;Deferido;LIDERADOS PELO POVO I
ANTONIO FERREIRA DE LIMA JÚNIOR;ANTONIO JÚNIOR;Deputado Federal;1033;PRB;Deferido;UNIÃO PELA MUDANÇA I
ANTÔNIO JÁCOME DE LIMA JUNIOR;JÁCOME;Deputado Federal;3333;PMN;Deferido;UNIÃO PELA MUDANÇA I
BELCHIOR MEDEIROS;BELCHIOR MEDEIROS;Deputado Federal;1633;PSTU;Deferido;PSTU
CARLOS ALBERTO DE SOUSA ROSADO;BETINHO ROSADO;Deputado Federal;1111;PP;Aguardando julgamento;LIDERADOS PELO POVO I
CARLOS ALBERTO FREIRE MEDEIROS;CARLOS ALBERTO;Deputado Federal;1311;PT;Deferido;LIDERADOS PELO POVO I
CARLOS ALBERTO MATIAS DE LIMA;DR CARLOS CAMAL;Deputado Federal;4444;PRP;Aguardando julgamento;UNIÃO PELA MUDANÇA I
CARLOS ANTONIO AZEVEDO DE MORAIS;CARLOS MORAIS;Deputado Federal;4000;PSB;Aguardando julgamento;UNIÃO PELA MUDANÇA I
CICERO VALE DA SILVA;CIÇÃO;Deputado Federal;3133;PHS;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 1
CLESIOSANGINA NUNES ABRANTES;PROFESSORA CLEO;Deputado Federal;3199;PHS;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 1
DARLANA PAULINO BARBOSA;DALANIA;Deputado Federal;3622;PTC;Aguardando julgamento;LIDERADOS PELO POVO II
DEBORAH VITORIA XAVIER RAMOS;DEBORA VITORIA;Deputado Federal;9000;PROS;Deferido;UNIÃO PELA MUDANÇA I
EDNA REGIA SALES PINHEIRO;EDINHA;Deputado Federal;5522;PSD;Deferido;LIDERADOS PELO POVO I
EDNARDO BERNARDINO RODRIGUES LOPES;TOCHA LOPES;Deputado Federal;5077;PSOL;Deferido;PSOL
EDSON BEZERRA DE OLIVEIRA;EDSON BEZERRA;Deputado Federal;3111;PHS;Aguardando julgamento;SEM MUDANÇA NÃO HÁ ESPERANÇA 1
ELIANA BRAGA SILVA;ELIANA;Deputado Federal;1314;PT;Deferido;LIDERADOS PELO POVO I
ELIEL FERNANDES DA ROCHA;ELIEL DO GÁS;Deputado Federal;1922;PTN;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 1
ELIU LUIZ DE OLIVEIRA;ELIU LUIZ;Deputado Federal;3122;PHS;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 1
EMANUEL MARQUES DO NASCIMENTO;EMANUEL MARQUES;Deputado Federal;2777;PSDC;Deferido;UNIÃO PELA MUDANÇA I
ERALDO DANIEL DE PAIVA;ERALDO;Deputado Federal;1333;PT;Deferido;LIDERADOS PELO POVO I
FABIO LUIZ MOURA BEZERRA;FABIO BEZERRA;Deputado Federal;3131;PHS;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 1
FÁBIO SALUSTINO MESQUITA DE FARIA;FABIO FARIA;Deputado Federal;5555;PSD;Deferido;LIDERADOS PELO POVO I
FELIPE CATALÃO MAIA;FELIPE MAIA;Deputado Federal;2512;DEM;Deferido;UNIÃO PELA MUDANÇA I
FRANCISCA JARLENE;JARLENE;Deputado Federal;1211;PDT;Deferido;UNIÃO PELA MUDANÇA I
FRANCISCA MARILIA SOARES DA SILVA;MARILIA DA USINA;Deputado Federal;5588;PSD;Deferido;LIDERADOS PELO POVO I
FRANCISCO DJAILTON DA SILVA;PASTOR DJAITON;Deputado Federal;2011;PSC;Renúncia;UNIÃO PELA MUDANÇA I
FRANK DERCIO CABRAL DA SILVA;DERCIO CABRAL;Deputado Federal;2345;PPS;Renúncia;SEM MUDANÇA NÃO HÁ ESPERANÇA 1
GILBERTANIA MARIA DA SILVA ARAUJO;BETANIA ARAUJO;Deputado Federal;3123;PHS;Deferido;SEM MUDANÇA NÃO HÁ ESPERANÇA 1
GIOVANI RODRIGUES JUNIOR;PROF. GIOVANI JR;Deputado Federal;5511;PSD;Deferido;LIDERADOS PELO POVO I
HELENEIDE PINHEIRO DE AMORIM;DRA, HELENEIDE AMORIM;Deputado Federal;5177;PEN;Aguardando julgamento;LIDERADOS PELO POVO I
HELENO LUIZ DA SILVA;HELENO LUIZ;Deputado Federal;1510;PMDB;Renúncia;UNIÃO PELA MUDANÇA I
HELIA LIMA DOS SANTOS;HELIA LIMA;Deputado Federal;5155;PEN;Deferido;LIDERADOS PELO POVO I
HERONIDES MANGABEIRA DE ARAUJO JUNIOR;CABO HERONIDES;Deputado Federal;5590;PSD;Aguardando julgamento;LIDERADOS PELO POVO I
HEROS HENRIQUE PEREIRA SILVA;HEROS;Deputado Federal;5042;PSOL;Renúncia;PSOL
HOZANA LUIZ BARAUNA;HOZANA;Deputado Federal;5005;PSOL;Deferido;PSOL
HUGO MANSO JUNIOR;HUGO MANSO;Deputado Federal;1366;PT;Aguardando julgamento;LIDERADOS PELO POVO I
HUMBERTO MAURICIO DA SILVA;XEIQUE HUMBERTO;Deputado Federal;3678;PTC;Aguardando julgamento;LIDERADOS PELO POVO II
JACQUELINE SOARES DE SOUSA;JACQUELINE SOARES;Deputado Federal;1748;PSL;Aguardando julgamento;PSL
JOANILSON DE PAULA RÊGO;DR. JOANILSON;Deputado Federal;2727;PSDC;Deferido;UNIÃO PELA MUDANÇA I
JOÃO MARIA DOS SANTOS;JOÃO SANTOS;Deputado Federal;5023;PSOL;Deferido;PSOL
JOSE ADRIANO DE SOUZA GADELHA;ADRIANO GADELHA;Deputado Federal;1355;PT;Deferido;LIDERADOS PELO POVO I
JOSE CARLOS DE SANTANA CAMARA;JOSE CARLOS;Deputado Federal;1717;PSL;Deferido;PSL
JOSE DE BRITO SOBRINHO;JOSE DE BRITO;Deputado Federal;3610;PTC;Deferido;LIDERADOS PELO POVO II
