Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABSON PRAXEDES DE CARVALHO;ABSON PRAXEDES;Deputado Estadual;40400;PSB;Deferido;JUNTOS SOMOS FORTES
ADA CLÉIA SICHINEL DANTAS BOABAID;ADA DANTAS;Deputado Estadual;70199;PT do B;Deferido;A HORA DA MUDANÇA
ADAILTON ANTUNES FERREIRA;ADAILTON FURIA;Deputado Estadual;10010;PRB;Indeferido;A HORA DA MUDANÇA
ADAIR CARDOSO BATISTA;ADAIR CARDOSO;Deputado Estadual;27171;PSDC;Renúncia;FRENTE EM DEFESA DE RONDÔNIA
ADELINO ANGELO FOLLADOR;ADELINO FOLLADOR;Deputado Estadual;25500;DEM;Deferido;PSDB-DEM
ADELINO CATANEO;DR. ADELINO CATANEO;Deputado Estadual;14111;PTB;Deferido;RONDONIA NO CAMINHO CERTO 2
ADELSON FRANCISCO DA SILVA;ADELSO COBRADO DE ÔNIBUS;Deputado Estadual;70180;PT do B;Deferido;A HORA DA MUDANÇA
ADEMAR LUIZ DE FREITAS;DR. FREITAS;Deputado Estadual;11120;PP;Deferido;RONDÔNIA NO RUMO CERTO, DE NOVO
ADEMAR RAUPP DE MATOS;ADEMAR RAUPP;Deputado Estadual;15615;PMDB;Deferido;RONDONIA NO CAMINHO CERTO 2
ADEMIR ADERVAL DA CRUZ;DR. ADEMIR;Deputado Estadual;70200;PT do B;Deferido;A HORA DA MUDANÇA
ADEMIR PEREIRA DE ARAUJO;CHAPELZINHO;Deputado Estadual;44777;PRP;Deferido;ALIANÇA PARA VITORIA
ADILSON GONÇALVES FERREIRA;DR. ADILSON DENTISTA;Deputado Estadual;23456;PPS;Deferido;RONDÔNIA NO RUMO CERTO, DE NOVO
ADMILSON GOMES DA SILVA;ADMILSON  GOMES;Deputado Estadual;20777;PSC;Indeferido;FRENTE EM DEFESA DE RONDÔNIA
ADRIANO APARECIDO DE SIQUEIRA;ADRIANO BOIADEIRO;Deputado Estadual;44222;PRP;Deferido;ALIANÇA PARA VITORIA
ADRIANO ROGÉRIO KROETZ;ADRIANO BOMBEIRO;Deputado Estadual;70193;PT do B;Deferido;A HORA DA MUDANÇA
AELCIO JOSE COSTA;AÉLCIO DA TV;Deputado Estadual;11111;PP;Deferido;RONDÔNIA NO RUMO CERTO, DE NOVO
AIRTON PEDRO GURGACZ;AIRTON GURGACZ;Deputado Estadual;12123;PDT;Deferido;ALIANÇA PARA VITORIA
AIRTON PEREIRA DE ARAUJO;DR. AIRTON PARAIBINHA;Deputado Estadual;51123;PEN;Aguardando julgamento;PSD, PEN E SD
ALCINDO JUSTINIANO PINHEIRO;ALCINDO PINHEIRO;Deputado Estadual;17567;PSL;Deferido;JUNTOS SOMOS FORTES
ALDIZIA REGINA NOGUEIRA DE CARVALHO;ALDENIZIA REGINA;Deputado Estadual;55355;PSD;Renúncia;PSD, PEN E SD
ALEX MENDONÇA ALVES;ALEX REDANO;Deputado Estadual;77100;SD;Deferido;PSD, PEN E SD
ALEXANDRE AZIS PEREIRA;ALEXANDRE ROUPA BRANCA;Deputado Estadual;65123;PC do B;Deferido;JUNTOS SOMOS FORTES
ALEXANDRE DE LIMA SOUSA;ALEXANDRE DE LIMA;Deputado Estadual;65125;PC do B;Indeferido;JUNTOS SOMOS FORTES
ALEXSANDER NASCIMENTO PEREIRA DE FREITAS;ALEX FREITAS;Deputado Estadual;70197;PT do B;Deferido;A HORA DA MUDANÇA
ALLANN JAMES FRANÇA BENJAMIM;ALLANN FRANÇA;Deputado Estadual;70789;PT do B;Deferido;A HORA DA MUDANÇA
ALVARO ELIZEU BARBOSA;PROFESSOR ALVARO;Deputado Estadual;51345;PEN;Deferido;PSD, PEN E SD
AMADO AHAMAD RAHHAL;DR AMADO;Deputado Estadual;11222;PP;Aguardando julgamento;RONDÔNIA NO RUMO CERTO, DE NOVO
ANA LÚCIA DERMANI DE AGUIAR;ANA DA 8;Deputado Estadual;70888;PT do B;Deferido;A HORA DA MUDANÇA
ANA MARIA RODRIGUES NEGREIROS;ANA MARIA NEGREIROS;Deputado Estadual;15210;PMDB;Deferido;RONDONIA NO CAMINHO CERTO 2
ANANIAS FERREIRA DA SILVA;ANANIAS;Deputado Estadual;20300;PSC;Deferido;FRENTE EM DEFESA DE RONDÔNIA
ANDERSON DA SILVA PEREIRA;ANDERSON DO SINGEPERON;Deputado Estadual;43043;PV;Deferido;RONDÔNIA NO RUMO CERTO, DE NOVO
ANDERSON PRUDENTE DE OLIVEIRA;ANDERSON EXCELLER;Deputado Estadual;55999;PSD;Deferido;PSD, PEN E SD
ANDRÉ LUIZ PINHEIRO ALVES;ANDRE FEST;Deputado Estadual;51200;PEN;Aguardando julgamento;PSD, PEN E SD
ANEDINO CARLOS PEREIRA JUNIOR;ANEDINO DA FARMÁCIA;Deputado Estadual;11122;PP;Aguardando julgamento;RONDÔNIA NO RUMO CERTO, DE NOVO
ANGELA CRISTINA FERLA GONÇALVES;ANGELA CRISTINA;Deputado Estadual;51150;PEN;Renúncia;PSD, PEN E SD
ANGELA FRANCISCA ABREU;ANGELA ABREU;Deputado Estadual;55300;PSD;Renúncia;PSD, PEN E SD
ANTENOR KLOCH;ANTENOR DA SITHATHI;Deputado Estadual;70456;PT do B;Deferido;A HORA DA MUDANÇA
ANTÔNIA DE MELO UCHOA AGUIAR;ANTÔNIA DE MELO;Deputado Estadual;65081;PC do B;Deferido;JUNTOS SOMOS FORTES
ANTÔNIA MARIA SANTOS DA COSTA;ANTÔNIA MARIA;Deputado Estadual;51425;PEN;Deferido;PSD, PEN E SD
ANTÔNIO CARLOS ALBERTI;ANTÔNIO CARLOS;Deputado Estadual;51789;PEN;Deferido;PSD, PEN E SD
ANTONIO CARLOS DA SILVA;DA SILVA DO SINTTRAR;Deputado Estadual;13555;PT;Deferido;PT
ANTONIO EVANGELISTA SANSÃO;ANTONIO PURUBORÁ;Deputado Estadual;11147;PP;Deferido;RONDÔNIA NO RUMO CERTO, DE NOVO
ANTONIO FRANCISCO DE MELO BARROS;DJ KIKO MELO;Deputado Estadual;27007;PSDC;Deferido;FRENTE EM DEFESA DE RONDÔNIA
ANTONIO GOMES FEITOSA;PASTOR TONINHO;Deputado Estadual;27001;PSDC;Deferido;FRENTE EM DEFESA DE RONDÔNIA
ANTONIO JALES GOMES MOREIRA;JALES MOREIRA;Deputado Estadual;27678;PSDC;Deferido;FRENTE EM DEFESA DE RONDÔNIA
ANTONIO JOSE BARBOSA;SARGENTO E INSTRUTOR BARBOSA;Deputado Estadual;12190;PDT;Deferido;ALIANÇA PARA VITORIA
ANTONIO METON DE AMORIM;ANTONIO METON;Deputado Estadual;45120;PSDB;Deferido;PSDB-DEM
ANTONIO SOARES DE OLIVEIRA;ANTONIO CASAMENTEIRO;Deputado Estadual;45066;PSDB;Renúncia;PSDB-DEM
ANTONIO VITORINO BEZERRA FILHO;TOINHO DE JARU;Deputado Estadual;27127;PSDC;Deferido;FRENTE EM DEFESA DE RONDÔNIA
APARECIDA GUEIRAS;APARECIDA GUEIRAS;Deputado Estadual;10222;PRB;Aguardando julgamento;A HORA DA MUDANÇA
ARACELI ARDAIA VASCONCELOS;ARACELI VASCONCELOS;Deputado Estadual;43550;PV;Deferido;RONDÔNIA NO RUMO CERTO, DE NOVO
ARITHANA FERREIRA DA SILVA;ARITHANA;Deputado Estadual;22800;PR;Aguardando julgamento;RONDÔNIA NO RUMO CERTO, DE NOVO
AYRES EDUARDO SERVO RAUEN;EDUARDO RAUEN;Deputado Estadual;40123;PSB;Deferido;JUNTOS SOMOS FORTES
BERNADETE APARECIDA PENHA;BERNADETE;Deputado Estadual;15116;PMDB;Deferido;RONDONIA NO CAMINHO CERTO 2
BRUNA ZIVIANI HERNANDES;BRUNA MOTA;Deputado Estadual;27227;PSDC;Deferido;FRENTE EM DEFESA DE RONDÔNIA
CAETANO VENDIMIATTI NETTO;CAETANO NETTO;Deputado Estadual;27800;PSDC;Deferido;FRENTE EM DEFESA DE RONDÔNIA
CAIO CESAR MARIN;CAIO MARIN;Deputado Estadual;70700;PT do B;Deferido;A HORA DA MUDANÇA
CARLOS ALBERTO LUCAS;CHICO LATA;Deputado Estadual;11333;PP;Aguardando julgamento;RONDÔNIA NO RUMO CERTO, DE NOVO
CARLOS ANDRE PROCHNOW;CARLÃO PROCHNOW;Deputado Estadual;10333;PRB;Deferido;A HORA DA MUDANÇA
CARLOS ANTONIO PINHEIRO DE MOURA;DR. CARLOS PASSARINHO;Deputado Estadual;55123;PSD;Deferido;PSD, PEN E SD
CARLOS DOS REIS BATISTA;SARGENTO REIS;Deputado Estadual;45024;PSDB;Deferido;PSDB-DEM
CARLOS MAGNO BRITO ALVES;CARLOS MAGNO;Deputado Estadual;19144;PTN;Aguardando julgamento;RONDONIA NO CAMINHO CERTO 2
CARLOS MAGNO SENA DIAS;CARLOS MAGNO;Deputado Estadual;17160;PSL;Deferido;JUNTOS SOMOS FORTES
CARLOS PEREIRA DE BRITO;CARLOS BRITO;Deputado Estadual;45245;PSDB;Deferido;PSDB-DEM
CARLOS ROBERTO OLIVEIRA AMORIM;CARLINHOS OLIVEIRA;Deputado Estadual;27580;PSDC;Renúncia;FRENTE EM DEFESA DE RONDÔNIA
CARLOS SERGIO COSSUOL;SERGIO COSSUOL;Deputado Estadual;43888;PV;Deferido;RONDÔNIA NO RUMO CERTO, DE NOVO
CARMIVALDA GOMES DOS SANTOS GON;CARMEM GON;Deputado Estadual;44110;PRP;Indeferido;ALIANÇA PARA VITORIA
CÁSSIA GOMES DOS SANTOS;CÁSSIA DO JOÃO DA MULETA;Deputado Estadual;15200;PMDB;Deferido;RONDONIA NO CAMINHO CERTO 2
CASSIA TAMIRES BRITTO CASOTTO;CASSIA CASOTTO;Deputado Estadual;43779;PV;Renúncia;RONDÔNIA NO RUMO CERTO, DE NOVO
CELEZIO GARCIA ALVES;CELEZIO DA SONIKA MUDANÇAS;Deputado Estadual;45050;PSDB;Deferido;PSDB-DEM
CELIA BRASSOROTO FENALI;CÉLIA PASTÓRIO;Deputado Estadual;22429;PR;Deferido;RONDÔNIA NO RUMO CERTO, DE NOVO
CELIA CRISTINA GAMA FEITOSA;CRIS FEITOSA;Deputado Estadual;19002;PTN;Renúncia;RONDONIA NO CAMINHO CERTO 2
CELIA DE OLIVEIRA;CELIA OLIVEIRA;Deputado Estadual;22211;PR;Indeferido;RONDÔNIA NO RUMO CERTO, DE NOVO
CELIO DE GOIS CAMPOS;CELIO DI GOES;Deputado Estadual;17789;PSL;Deferido;JUNTOS SOMOS FORTES
CELIO DE JESUS LANG;CÉLIO LANG;Deputado Estadual;11800;PP;Aguardando julgamento;RONDÔNIA NO RUMO CERTO, DE NOVO
CELSO VIANA COELHO;CELSO COELHO;Deputado Estadual;15000;PMDB;Deferido;RONDONIA NO CAMINHO CERTO 2
CERZINANDO DE SOUZA PESSANHA;PESSANHA;Deputado Estadual;40122;PSB;Deferido;JUNTOS SOMOS FORTES
