Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABIDÃO FERREIRA DA SILVA;ABIDÃO MARAVILHA;Deputado Federal;7015;PT do B;Renúncia;FRENTE MUDA RONDÔNIA II
AECIO DE CASTRO BARBOSA;AECIO;Deputado Federal;1233;PDT;Deferido;RONDONIA NO CAMINHO CERTO 1
AGNALDO ARAÚJO NEPOMUCENO;AGNALDO NEPOMUCENO;Deputado Federal;1580;PMDB;Deferido;RONDONIA NO CAMINHO CERTO 1
AGNALDO MUNIZ;AGNALDO MUNIZ;Deputado Federal;2020;PSC;Deferido;FRENTE MUDA RONDÔNIA II
AMIR FRANCISCO LANDO;AMIR LANDO;Deputado Federal;1511;PMDB;Deferido;RONDONIA NO CAMINHO CERTO 1
ANDRÉA DE CASSIA ÁRABE MARTINS DE OLIVEIRA;DRª ANDRÉA ÁRABE;Deputado Federal;5050;PSOL;Aguardando julgamento;FRENTE DE ESQUERDA PSOL/PSTU
ANGELO MARIANO DONADON JUNIOR;JUNIOR DONADON;Deputado Federal;1590;PMDB;Deferido;RONDONIA NO CAMINHO CERTO 1
ANSELMO DE JESUS ABREU;ANSELMO DE JESUS;Deputado Federal;1312;PT;Deferido;PT
CARINE DA SILVA VALLE ROCHA;CARINE ROCHA;Deputado Federal;1700;PSL;Deferido;RONDONIA NO CAMINHO CERTO 1
CARLOS RICARDO GOEBEL;CARLINHOS GOEBEL;Deputado Federal;4322;PV;Renúncia;RONDÔNIA NO RUMO CERTO, DE NOVO
CLAUDIA GOMES ROLIM;BONECA LOIRA;Deputado Federal;4377;PV;Deferido;RONDÔNIA NO RUMO CERTO, DE NOVO
CLAUDILENE BARBOSA DE OLIVEIRA;CLAUDIA DO POSTO;Deputado Federal;1313;PT;Deferido;PT
CLAUDOMIRO UCHOA DE ALMEIDA;MARCOS UCHOA;Deputado Federal;4311;PV;Deferido;RONDÔNIA NO RUMO CERTO, DE NOVO
CLÉBISON DE MELO BOTELHO;CABO BOTELHO;Deputado Federal;5090;PSOL;Aguardando julgamento;FRENTE DE ESQUERDA PSOL/PSTU
DEIVIDE LOPES DA SILVA;DEIVIDE SILVA;Deputado Federal;7033;PT do B;Deferido;FRENTE MUDA RONDÔNIA II
DJALMA NUNES LIMA JUNIOR;DJALMA JUNIOR;Deputado Federal;7011;PT do B;Deferido;FRENTE MUDA RONDÔNIA II
DORACI DE LIMA NEPOMUCENO;NEPOMUCENO;Deputado Federal;1644;PSTU;Aguardando julgamento;FRENTE DE ESQUERDA PSOL/PSTU
DORANILDA ALVES DA SILVA;PROFESSORA DORANILDA "DÓRA";Deputado Federal;1133;PP;Deferido;RONDÔNIA NO RUMO CERTO, DE NOVO
EDGAR NILO TONIAL;EDGAR DO BOI;Deputado Federal;2727;PSDC;Deferido;FRENTE MUDA RONDÔNIA II
EDNILSON ALVES DA SILVA;GADON;Deputado Federal;7045;PT do B;Deferido;FRENTE MUDA RONDÔNIA II
