Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADALBERTO DE ARAUJO RIBEIRO;ADALBERTO DA 4 RODAS;Deputado Estadual;44567;PRP;Deferido;PRP
ADALNICE GAMA DA SILVA;NICE;Deputado Estadual;22123;PR;Deferido;RORAIMA SEMPRE UNIDA
ADEJALMO MOREIRA ABADI;PROFESSOR ADEJALMO;Deputado Estadual;44123;PRP;Aguardando julgamento;PRP
ADELINO DIAS DE SOUSA FILHO;ADELINO FILHO;Deputado Estadual;17123;PSL;Deferido;TRABALHO E PROGRESSO
ADI MUNIZ GOMES;ADI;Deputado Estadual;45556;PSDB;Deferido;AVANÇA RORAIMA
ADNAN WADSON DE LIMA;KINHO;Deputado Estadual;44144;PRP;Deferido;PRP
ADONIAS MORAES SILVA;ROCK;Deputado Estadual;23023;PPS;Renúncia;SOU MAIS RORAIMA
ADONIAS SOARES DE CASTRO;IRMÃO ADONIAS;Deputado Estadual;51123;PEN;Deferido;RORAIMA SEMPRE UNIDA
AIRTON ANTONIO SOLIGO;AIRTON CASCAVEL;Deputado Estadual;40147;PSB;Deferido;AVANÇA RORAIMA
ALCILENE DOS SANTOS GOMES;ALCILENE DOS SANTOS;Deputado Estadual;23155;PPS;Deferido;SOU MAIS RORAIMA
ALCINEIDE DA SILVA;TIA NEIDE;Deputado Estadual;28015;PRTB;Deferido;SOU MAIS RORAIMA
ALCINIRA MAGALHÃES MOTA FREITAS;NIRA MOTA;Deputado Estadual;43333;PV;Deferido;RORAIMA LIVRE
ALESSANDRO SILVA MAGALHÃES;ALESSANDRO MAGALHÃES;Deputado Estadual;43555;PV;Deferido;RORAIMA LIVRE
ALEXANDRE SEVERINO DE SOUZA;SEVERINO;Deputado Estadual;28882;PRTB;Deferido;SOU MAIS RORAIMA
ALFREDO DE PAULA MAIA;ALFREDO MAIA;Deputado Estadual;27777;PSDC;Deferido;TRABALHO E PROGRESSO
ALYSSON MOTA FERREIRA;ALYSSON FERREIRA;Deputado Estadual;40007;PSB;Renúncia;AVANÇA RORAIMA
ANA CÁSSIA DA SILVA RODRIGUES;ANA CÁSIA;Deputado Estadual;55444;PSD;Aguardando julgamento;AVANÇA RORAIMA
ANA DA CONCEIÇÃO ARAÚJO;ANA CONCEIÇÃO;Deputado Estadual;28999;PRTB;Deferido;SOU MAIS RORAIMA
ANA JORDANA DA COSTA NEVES;ANA JORDANA;Deputado Estadual;11555;PP;Deferido;"SALVE RORAIMA II"
ANA SARAIVA TAVARES;ANA TAVARES;Deputado Estadual;70129;PT do B;Deferido;TRABALHO E PROGRESSO
ANDERSON ALVES DOS SANTOS;ANDERSON ALVES;Deputado Estadual;16123;PSTU;Deferido;ALTERNATIVA DE ESQUERDA PARA RORAIMA II
ANDRE DOS SANTOS VASCONCELOS;ANDRE VASCONCELOS;Deputado Estadual;13123;PT;Deferido;A FORÇA DO TRABALHADOR
ANDRÉ LUÍS VILLÓRIA BRANDÃO;ANDRÉ VILLÓRIA.;Deputado Estadual;44800;PRP;Deferido;PRP
ANDREZA DA SILVA FERREIRA;ANDREZA FERREIRA;Deputado Estadual;10333;PRB;Indeferido;PRB
ANGELA AGUIDA PORTELLA ALVES;ANGELA AGUIDA PORTELLA;Deputado Estadual;20120;PSC;Deferido;RORAIMA SEMPRE UNIDA
ANTONIA MARIA ALVES DE MORAIS;ANTONIA MARIA;Deputado Estadual;90321;PROS;Deferido;AVANÇA RORAIMA
ANTONIA MELO COSTA DUARTE;PROFESSORA ANTONIA MELO;Deputado Estadual;50222;PSOL;Deferido;ALTERNATIVA DE ESQUERDA PARA RORAIMA II
ANTÔNIO CARLOS CARVALHO CUNHA;ANTÔNIO CARLOS;Deputado Estadual;65333;PC do B;Deferido;A FORÇA DO TRABALHADOR
ANTONIO CARLOS LOPES DE SOUSA;LOURO DO LOTAÇÃO;Deputado Estadual;44548;PRP;Deferido;PRP
ANTÔNIO CARLOS PEREIRA ALVES FILHO;ANTÔNIO FILHO;Deputado Estadual;65010;PC do B;Indeferido;A FORÇA DO TRABALHADOR
ANTONIO CARVALHO DA SILVA;ANTONIO DOS IDOSOS;Deputado Estadual;28789;PRTB;Deferido;SOU MAIS RORAIMA
ANTONIO CICERO DE SOUSA COSTA;CÍCERO COSTA;Deputado Estadual;28555;PRTB;Deferido;SOU MAIS RORAIMA
ANTONIO EDUARDO FILHO;ODILON;Deputado Estadual;51111;PEN;Deferido;RORAIMA SEMPRE UNIDA
ANTONIO FERREIRA DE ARAUJO;ARAUJO FOTOGRAFO;Deputado Estadual;90678;PROS;Deferido;AVANÇA RORAIMA
ANTONIO FRANCISCO DA SILVA;TOINHO CAMPEÃO;Deputado Estadual;44101;PRP;Deferido;PRP
ANTONIO FRANCISCO DOS SANTOS SOUSA;TONI SOUSA;Deputado Estadual;77333;SD;Deferido;AVANÇA RORAIMA
ANTÔNIO GONÇALVES DE FREITAS;TONI FREITAS;Deputado Estadual;31555;PHS;Deferido;SOU MAIS RORAIMA
ANTONIO HELIESSANDRO ALVES DA SILVA;MAJOR HELIESSANDRO ALVES;Deputado Estadual;28113;PRTB;Deferido;SOU MAIS RORAIMA
ANTONIO JOSE DE OLIVEIRA;ANTONIO OLIVEIRA;Deputado Estadual;54131;PPL;Deferido;TRABALHO E PROGRESSO
ANTONIO LIMA PELLIZZETTI;PELLIZZETTI;Deputado Estadual;23303;PPS;Deferido;SOU MAIS RORAIMA
ANTONIO MECIAS PEREIRA DE JESUS;MECIAS DE JESUS;Deputado Estadual;10789;PRB;Deferido;PRB
ANTONIO SILVA DO NASCIMENTO;ANTONIO DEEP;Deputado Estadual;23225;PPS;Deferido;SOU MAIS RORAIMA
ANTONIO SOARES DE SOUSA;VIOLA;Deputado Estadual;28128;PRTB;Deferido;SOU MAIS RORAIMA
ANTONIO VIEIRA DE SOUSA;ANTONIO SOUSA;Deputado Estadual;70170;PT do B;Deferido;TRABALHO E PROGRESSO
ARIEL ESPINDOLA;ARIEL;Deputado Estadual;44021;PRP;Deferido;PRP
ARIONILSON FERREIRA DOS SANTOS;PIÇARRA DO LOTAÇÃO;Deputado Estadual;44200;PRP;Deferido;PRP
ARLETE ALVES;ARLETE ALVES;Deputado Estadual;65800;PC do B;Deferido;A FORÇA DO TRABALHADOR
ATARIKY COUTINHO REIS;ATARIKY;Deputado Estadual;22789;PR;Deferido;RORAIMA SEMPRE UNIDA
ATTFIELD POLICARPO DE SÁ;ATTFIELD;Deputado Estadual;13222;PT;Deferido;A FORÇA DO TRABALHADOR
AUTIDONES ALVES DA SILVA;PROFESSOR AUTIDONES;Deputado Estadual;27890;PSDC;Deferido;TRABALHO E PROGRESSO
BENEDITO BATISTA PEREIRA;BENÉ;Deputado Estadual;44004;PRP;Deferido;PRP
BENEDITO JOSÉ MAGALHÂES JÓCA;MAGALHÂES JOCA;Deputado Estadual;40299;PSB;Deferido;AVANÇA RORAIMA
CANDIDA ALZIRA BENTES DE MAGALHÃES;CANDIDA;Deputado Estadual;45455;PSDB;Deferido;AVANÇA RORAIMA
CARIN TARZIANO PEIXOTO CALDAS;CARIN TARZIANO;Deputado Estadual;28321;PRTB;Deferido;SOU MAIS RORAIMA
CARLOS EDUARDO BEZERRA DE SOUZA;PROFESSOR CADOCA;Deputado Estadual;11007;PP;Deferido;"SALVE RORAIMA II"
