Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABEL SALVADOR MESQUITA JUNIOR;ABEL GALINHA;Deputado Federal;1234;PDT;Deferido;RORAIMA LIVRE E FELIZ
ADELINA PINTO DA SILVA;ADELINA PINTO;Deputado Federal;1399;PT;Deferido;RORAIMA LIVRE E FELIZ
AFONSO VALTER PARENTE PINTO;AFONSO PARENTE;Deputado Federal;9091;PROS;Deferido;RORAIMA SEMPRE
AILTON DE MELO CABRAL;AILTON CABRAL;Deputado Federal;2511;DEM;Deferido;"SALVE RORAIMA I"
ALAN SOUSA ANDRADE;ALAN SOUSA ANDRADE;Deputado Federal;3313;PMN;Deferido;MAIS RORAIMA
ALDENIR CADETE DE LIMA;ALDENIR WAPICHANA;Deputado Federal;1345;PT;Deferido;RORAIMA LIVRE E FELIZ
ALEXANDER LADISLAU MENEZES;ALEX LADISLAU;Deputado Federal;2014;PSC;Deferido;MAIS RORAIMA
ALMIR MORAIS SA;ALMIR MORAIS;Deputado Federal;2777;PSDC;Deferido;MAIS RORAIMA
ANDERSON SILVA SILVANO;ANDERSON SILVA;Deputado Federal;4444;PRP;Deferido;RORAIMA SEMPRE
ANTONIO FRANCISCO BESERRA MARQUES;TITONHO BESERRA;Deputado Federal;1313;PT;Deferido;RORAIMA LIVRE E FELIZ
ANTONIO ROBSON CONCEIÇÃO BENTO;ROBSON BENTO;Deputado Federal;2000;PSC;Deferido;MAIS RORAIMA
AUGUSTO  ALBERTO IGLESIAS FERREIRA;AUGUSTO IGLESIAS;Deputado Federal;1245;PDT;Aguardando julgamento;RORAIMA LIVRE E FELIZ
AUGUSTO DANTAS LEITAO;AUGUSTO LEITAO;Deputado Federal;1233;PDT;Deferido;RORAIMA LIVRE E FELIZ
AVENIR ANGELO ROSA FILHO;AVENIR ROSA;Deputado Federal;1010;PRB;Deferido;RORAIMA SEMPRE
CARLOS AUGUSTO ANDRADE SILVA;CARLOS ANDRADE;Deputado Federal;3131;PHS;Deferido;MAIS RORAIMA
CHARLIEXAN DA SILVA;XAN;Deputado Federal;3377;PMN;Deferido;MAIS RORAIMA
CLENILTON CARLOS CORREA DOS PRAZERES;QUEQUEL DOS PRAZERES;Deputado Federal;1013;PRB;Deferido;RORAIMA SEMPRE
CRISTINA REGINA BURGER;CRISTINA BURGER;Deputado Federal;4321;PV;Deferido;RORAIMA LIVRE E FELIZ
DELDICE RIBEIRO SOUSA;DEL;Deputado Federal;4320;PV;Deferido;RORAIMA LIVRE E FELIZ
DOMINGAS ANDRÉIA MARTINHO TORRES;ANDRÉIA TORRES;Deputado Federal;2010;PSC;Deferido;MAIS RORAIMA
EDIO VIEIRA LOPES;EDIO LOPES;Deputado Federal;1515;PMDB;Deferido;RORAIMA SEMPRE
EDUARDO SILVA RIBEIRO CAMPOS;EDUARDO CAMPOS;Deputado Federal;1111;PP;Aguardando julgamento;"SALVE RORAIMA I"
ELAINE CRISTINA PEREIRA SANTOS;ELAINE CRISTINA;Deputado Federal;2355;PPS;Deferido;MAIS RORAIMA
