Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADAIR SOUZA DO COUTO;ADAIR SOUZA;Deputado Federal;3613;PTC;Deferido;MAIS DESENVOLVIMENTO. MAIS CONQUISTAS.
ADÃO AURELIO NAFFIN;ADÃO NAFFIN;Deputado Federal;5112;PEN;Indeferido;A Força do Rio Grande
ADEMIR ADÃO DA ROSA;ADEMIR DA ROSA;Deputado Federal;3150;PHS;Indeferido;UNIDOS PELO RIO GRANDE
ADEMIR ALVES DE SOUZA;ADEMIR ALVES DE SOUZA;Deputado Federal;2819;PRTB;Deferido;PRTB
ADEMIR FACHINI;FACHINI;Deputado Federal;1267;PDT;Deferido;A Força do Rio Grande
ADRIANA MOREIRA FEIJÓ;ADRIANA M. FEIJÓ;Deputado Federal;3155;PHS;Deferido;UNIDOS PELO RIO GRANDE
AFONSO ANTUNES DA MOTTA;AFONSO MOTTA;Deputado Federal;1200;PDT;Deferido;A Força do Rio Grande
AIDA CORETI DA SILVA NUNES;AIDA CORETI;Deputado Federal;3133;PHS;Deferido;UNIDOS PELO RIO GRANDE
AILTON JOSE DOS SANTOS GOULARTE;AILTON GOULARTE;Deputado Federal;1211;PDT;Deferido;A Força do Rio Grande
AIRTO JOAO FERRONATO;FERRONATO;Deputado Federal;4050;PSB;Deferido;UNIDOS PELO RIO GRANDE
ALCEU MOREIRA DA SILVA;ALCEU MOREIRA;Deputado Federal;1500;PMDB;Deferido;PMDB
ALCIBIO MESQUITA BIBO NUNES;BIBO NUNES;Deputado Federal;5555;PSD;Deferido;UNIDOS PELO RIO GRANDE
ALCIONE VIEGAS DE LACERDA;ALCIONE VIEGAS DE LACERDA;Deputado Federal;4505;PSDB;Deferido;UNIDOS PELA ESPERANÇA
ALCIONES MARCOS DAROS;ALCIONES DAROS TCHONY DA SERRA;Deputado Federal;1415;PTB;Deferido;MAIS DESENVOLVIMENTO. MAIS CONQUISTAS.
ALDA CATARINA OLIVIER;ALDA OLIVER;Deputado Federal;1611;PSTU;Deferido;Frente de Esquerda - PSOL / PSTU
ALEX LUIZ BARETA;PROFESSOR ALEX BARETA;Deputado Federal;5515;PSD;Deferido;UNIDOS PELO RIO GRANDE
