Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABEL SCHROEDER;ABEL SCHROEDER;Deputado Estadual;15670;PMDB;Renúncia;COLIGAÇÃO PSD, PMDB, PRB e DEM
ADA LILI FARACO DE LUCA;ADA DE LUCA;Deputado Estadual;15015;PMDB;Deferido;COLIGAÇÃO PSD, PMDB, PRB e DEM
ADAIR JOSE CERON;ADAIR CERON;Deputado Estadual;40240;PSB;Deferido;COLIGAÇÃO CORAGEM PARA MUDAR
ADILOR GUGLIELMI;DÓIA GUGLIELMI;Deputado Estadual;45111;PSDB;Deferido;COLIGAÇÃO MUDA SANTA CATARINA
ADILSON BRAUN;ADILSON BRAUN;Deputado Estadual;43084;PV;Deferido;COLIGAÇÃO FRENTE POPULAR
ADRIANA DE RESENDES MARCELINO;CABO ADRIANA;Deputado Estadual;50580;PSOL;Deferido;PSOL
ADRIANO DE LIZ OLIVEIRA;ADRIANO DE LIZ;Deputado Estadual;31222;PHS;Deferido;COLIGAÇÃO CORAGEM PARA MUDAR
ADRIANO DOS SANTOS FERREIRA;ADRIANO SANTOS;Deputado Estadual;17123;PSL;Deferido;COLIGAÇÃO CORAGEM PARA MUDAR
AGENOR SILVESTRE;DR. SILVESTRE;Deputado Estadual;22222;PR;Deferido;PR
AIDA RODRIGUES ZAPELINI;AIDA;Deputado Estadual;15343;PMDB;Indeferido;COLIGAÇÃO PSD, PMDB, PRB e DEM
AIRTON FERNANDES;AIRTON FERNANDES;Deputado Estadual;20133;PSC;Deferido;PSC
ALDO SCHNEIDER;ALDO SCHNEIDER;Deputado Estadual;15010;PMDB;Deferido;COLIGAÇÃO PSD, PMDB, PRB e DEM
ALDREY IOLANDA CABRAL;DINHA;Deputado Estadual;15487;PMDB;Deferido;COLIGAÇÃO PSD, PMDB, PRB e DEM
ALESSANDRA SIPPEL MARTINS;ALESSANDRA SIPPEL;Deputado Estadual;44222;PRP;Deferido;PRP
ALESSANDRO ANDRÉ MOREIRA SIMAS;ALESSANDRO SIMAS;Deputado Estadual;22622;PR;Indeferido;PR
ALEXANDRE BRAGGIO;ALEXANDRE BRAGGIO;Deputado Estadual;11233;PP;Aguardando julgamento;PP
ALEXANDRE DO ESPIRITO SANTO E SILVA;ESPIRITO SANTO;Deputado Estadual;54321;PPL;Deferido;COLIGAÇÃO SANTA CATARINA PARA TODOS!
ALEXANDRE FIGUEIREDO DA SILVA;XANDI FIGUEIREDO;Deputado Estadual;10777;PRB;Deferido;COLIGAÇÃO PSD, PMDB, PRB e DEM
ALEXANDRE LEITE;ALEXANDRE LEITE;Deputado Estadual;43090;PV;Deferido;COLIGAÇÃO FRENTE POPULAR
ALEXANDRE LEMOS;ALEXANDRE LEMOS;Deputado Estadual;40007;PSB;Deferido;COLIGAÇÃO CORAGEM PARA MUDAR
ALOISIO SILVA;PINTADO;Deputado Estadual;43043;PV;Deferido;COLIGAÇÃO FRENTE POPULAR
ALTAIR DA SILVA;ALTAIR SILVA;Deputado Estadual;11130;PP;Deferido;PP
ALVANIR FERNANDO ZUSE;ZUSE;Deputado Estadual;11211;PP;Deferido;PP
AMENAR DE OLIVEIRA;AMENAR DE OLIVEIRA;Deputado Estadual;43333;PV;Deferido;COLIGAÇÃO FRENTE POPULAR
ANA KARINA SCHRAMM MATUCHAKI;KARINA SCHRAMM;Deputado Estadual;55432;PSD;Deferido;COLIGAÇÃO PSD, PMDB, PRB e DEM
ANA MARIA MARTINS;ANINHA;Deputado Estadual;15066;PMDB;Indeferido;COLIGAÇÃO PSD, PMDB, PRB e DEM
ANA MARIA RODRIGUES DE OLIVEIRA SOUZA;ANA MARIA;Deputado Estadual;20505;PSC;Deferido;PSC
ANA PAULA DE SOUZA LIMA;ANA PAULA;Deputado Estadual;13313;PT;Deferido;PT
ANA PAULA FERREIRA DA SILVA;ANA DO PV;Deputado Estadual;43003;PV;Deferido;COLIGAÇÃO FRENTE POPULAR
ANADIA APARECIDA NOVACK;ANADIA NOVACK;Deputado Estadual;65656;PC do B;Deferido;COLIGAÇÃO FRENTE POPULAR
ANDRÉ FRETTA MAY;DEKA MAY;Deputado Estadual;11222;PP;Deferido;PP
ANDRÉ RICARDO DE OLIVEIRA;ANDRÉ OLIVEIRA;Deputado Estadual;23612;PPS;Deferido;COLIGAÇÃO CORAGEM PARA MUDAR
ANDRÉ RICARDO GONÇALVES;ANDRÉ GONÇALVES;Deputado Estadual;51000;PEN;Deferido;COLIGAÇÃO MUDA SANTA CATARINA
ANDREA  LEAL;ANDREA LEAL;Deputado Estadual;22484;PR;Deferido;PR
ANGELITA MARIA MATEUS;ANGELITA MATEUS;Deputado Estadual;20012;PSC;Deferido;PSC
ANGELITA PASQUALOTTO;ANGELITA;Deputado Estadual;44125;PRP;Deferido;PRP
ANGELO ELTON CORAL;ANGELO CORAL;Deputado Estadual;51333;PEN;Deferido;COLIGAÇÃO MUDA SANTA CATARINA
ANILTON FREITAS;NILTON FREITAS;Deputado Estadual;14500;PTB;Deferido;COLIGAÇÃO FRENTE POPULAR
ANNA ANDRADE SATHLER;ANNA SATHLER;Deputado Estadual;20778;PSC;Deferido;PSC
ANTONIO ALBERTO GOUVEIA GEBAILI;BETO GEBAILI;Deputado Estadual;10999;PRB;Deferido;COLIGAÇÃO PSD, PMDB, PRB e DEM
ANTONIO CARLOS COELHO DE SOUZA;ANTONIO CARLOS;Deputado Estadual;40777;PSB;Deferido;COLIGAÇÃO CORAGEM PARA MUDAR
ANTONIO DA SILVA;SILVA BOMBEIRO;Deputado Estadual;22254;PR;Deferido;PR
ANTONIO DEOLINDO;ANTONIO DEOLINDO;Deputado Estadual;43500;PV;Deferido;COLIGAÇÃO FRENTE POPULAR
ANTONIO LUIZ CARDOSO COSTA;ANTONIO LUIZ;Deputado Estadual;20777;PSC;Deferido;PSC
