Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADELIO BRESSÃO;ADÉLIO BRESSÃO;Deputado Federal;3300;PMN;Renúncia;COLIGAÇÃO SANTA CATARINA PARA TODOS!
ADILSON MARIANO;ADILSON MARIANO;Deputado Federal;1370;PT;Deferido;PT
AERCI ARREAL OLM;AERCI;Deputado Federal;7077;PT do B;Deferido;COLIGAÇÃO ESPERANÇA DE MUDANÇA
ALESSANDRA CUNHACO;ALESSANDRA CUNHACO;Deputado Federal;5000;PSOL;Deferido;PSOL
ALEXANDRE LUIZ DANIELLI;ALEXANDRE DANIELLI;Deputado Federal;4523;PSDB;Deferido;COLIGAÇÃO A FORÇA PARA A MUDANÇA
ALEXEY VILELA SACHWEH;ALEXEY PORCÃO;Deputado Federal;4018;PSB;Deferido;COLIGAÇÃO A FORÇA PARA A MUDANÇA
ALTEMIR GREGOLIN;ALTEMIR GREGOLIN;Deputado Federal;1320;PT;Deferido;PT
ANACLETO OLEGÁRIO;ANACLETO OLEGARIO;Deputado Federal;4410;PRP;Aguardando julgamento;PRP
ANALTO ROMALINO DA CUNHA;ANALTO ROMALINO DA CUNHA;Deputado Federal;1567;PMDB;Deferido;COLIGAÇÃO PSD, PMDB, PR, PTB, PSC, PSDC, PROS, PV, PRB, PCdoB, PDT e DEM
ANGELA ALBINO;ANGELA;Deputado Federal;6565;PC do B;Deferido;COLIGAÇÃO PSD, PMDB, PR, PTB, PSC, PSDC, PROS, PV, PRB, PCdoB, PDT e DEM
ANTÔNIO CESAR DA SILVA CHAVES;PROFESSOR CHAVES;Deputado Federal;3355;PMN;Deferido;COLIGAÇÃO SANTA CATARINA PARA TODOS!
ANTONIO VILMAR GRAVUNI;GRAVUNI;Deputado Federal;4466;PRP;Deferido;PRP
ANTONIO WALTER HOEPPERS;TONY HOEPPERS;Deputado Federal;7060;PT do B;Deferido;COLIGAÇÃO ESPERANÇA DE MUDANÇA
ARIEL VIEIRA;ARIEL VIEIRA;Deputado Federal;2020;PSC;Deferido;COLIGAÇÃO PSD, PMDB, PR, PTB, PSC, PSDC, PROS, PV, PRB, PCdoB, PDT e DEM
AUGUSTO LUIZ SOUZA DOS SANTOS;AUGUSTO SANTOS;Deputado Federal;4513;PSDB;Indeferido;COLIGAÇÃO A FORÇA PARA A MUDANÇA
CARLITO MERSS;CARLITO MERSS;Deputado Federal;1312;PT;Deferido;PT
CARLOS ALBERTO CAMPOS;BETO COAN;Deputado Federal;1234;PDT;Deferido;COLIGAÇÃO PSD, PMDB, PR, PTB, PSC, PSDC, PROS, PV, PRB, PCdoB, PDT e DEM
CARLOS ALBERTO ROSA KAMINSKI;CARLOS KAMINSKI;Deputado Federal;3131;PHS;Deferido;COLIGAÇÃO A FORÇA PARA A MUDANÇA
