Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADINALDO DO NASCIMENTO SANTOS;ADINALDO;Deputado Estadual;65123;PC do B;Deferido;VITÓRIA POPULAR
ADRIANO JOSE BARBOZA REIS;MAJOR ADRIANO REIS;Deputado Estadual;51190;PEN;Deferido;RENOVAR PRA MUDAR
AIRECÊ HOZANA SANTOS RAIMUNDO;AIRECÊ HOZANA;Deputado Estadual;22456;PR;Deferido;DIGO SIM A SERGIPE
ALEXSANDRO DOS SANTOS;ALEX;Deputado Estadual;90222;PROS;Deferido;VITÓRIA POPULAR
ALFREDO SANTOS DE SANTANA;ALFREDO DA KING;Deputado Estadual;12122;PDT;Indeferido;VITÓRIA POPULAR
ALVACY DE SÁ GOUVEIA;GOUVEIA;Deputado Estadual;65500;PC do B;Deferido;VITÓRIA POPULAR
ANA CRISTINA FONTES;CRISTINA FONTES;Deputado Estadual;20567;PSC;Deferido;DIGO SIM A SERGIPE
ANA LÚCIA VIEIRA MENEZES;ANA LÚCIA;Deputado Estadual;13900;PT;Deferido;AGORA É A VEZ DE SERGIPE
ANA MARIA SILVA SANTOS;ANA DE ZÉ DE DONA;Deputado Estadual;17111;PSL;Deferido;DIGO SIM A SERGIPE
ANGELA MARIA PEREIRA ARAUJO;EMPREQUETE;Deputado Estadual;43777;PV;Deferido;RENOVAR PRA MUDAR
ANTÔNIO CARLOS LEITE FRANCO SOBRINHO;ANTÔNIO CARLOS FRANCO;Deputado Estadual;15155;PMDB;Renúncia;AGORA É A VEZ DE SERGIPE
ANTONIO DOS SANTOS;PR ANTONIO;Deputado Estadual;20123;PSC;Deferido;DIGO SIM A SERGIPE
ANTONIO JUAREZ SILVA LEITE;PROFESSOR JUAREZ;Deputado Estadual;50005;PSOL;Deferido;FRENTE DE ESQUERDA - LUTAR PARA TRANSFORMAR SERGIPE
ANTONIO VALDIONE DE SÁ;VALDIONE;Deputado Estadual;25999;DEM;Aguardando julgamento;DIGO SIM A SERGIPE
ARMANDO BATALHA DE GOES JUNIOR;ARMANDO BATALHA;Deputado Estadual;44123;PRP;Renúncia;VITÓRIA POPULAR
ARNALDO BISPO DE LIMA;ARNALDO BISPO;Deputado Estadual;25000;DEM;Aguardando julgamento;DIGO SIM A SERGIPE
ASTROGILDO VIEIRA SANTOS;ASTROGILDO DA FARMÁCIA;Deputado Estadual;25111;DEM;Deferido;DIGO SIM A SERGIPE
AUGUSTO BEZERRA DE ASSIS FILHO;AUGUSTO BEZERRA;Deputado Estadual;25555;DEM;Deferido;DIGO SIM A SERGIPE
BARBARA NASCIMENTO DE OLIVEIRA;BABI;Deputado Estadual;50123;PSOL;Deferido;FRENTE DE ESQUERDA - LUTAR PARA TRANSFORMAR SERGIPE
BERTA DE MENDONÇA VIEIRA;BERTA;Deputado Estadual;15500;PMDB;Deferido;AGORA É A VEZ DE SERGIPE
BRUNO VIEIRA DORIA;BRUNO VIEIRA;Deputado Estadual;45777;PSDB;Deferido;DIGO SIM A SERGIPE
