Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ADELSON BARRETO DOS SANTOS;ADELSON BARRETO;Deputado Federal;1414;PTB;Deferido;SERGIPE MEU AMOR
ADIERSON CARNEIRO MONTEIRO;ADIERSON MONTEIRO;Deputado Federal;4545;PSDB;Aguardando julgamento;SERGIPE MEU AMOR
ALLANA DO NASCIMENTO SANTOS;ALLANA SANTOS;Deputado Federal;2121;PCB;Deferido;FRENTE DE ESQUERDA - LUTAR PARA TRANSFORMAR SERGIPE
ANA KELLY DE JESUS ANDRADE;KELLY DE ZÉ DE DONA;Deputado Federal;1717;PSL;Deferido;SERGIPE MEU AMOR
ANDRE LUIS DANTAS FERREIRA;ANDRE MOURA;Deputado Federal;2000;PSC;Aguardando julgamento;SERGIPE MEU AMOR
ANDRE LUIS SANTOS;DECO DE JOTA SANTOS;Deputado Federal;2802;PRTB;Deferido;PRTB
ANTONIO CARLOS VALADARES FILHO;VALADARES FILHO;Deputado Federal;4040;PSB;Deferido;AGORA É A VEZ DO POVO
ANTONIO DOS SANTOS LEITE;TONHO LEITE;Deputado Federal;4343;PV;Deferido;SERGIPE MEU AMOR
ANTONIO ESTRELLA DANTAS;TÓ ESTRELA;Deputado Federal;5515;PSD;Deferido;AGORA É A VEZ DO POVO
ANTONIO LUIZ DOS SANTOS;ANTONIO LUIZ;Deputado Federal;3333;PMN;Deferido;PMN
ANTÔNIO MONTEIRO DA SILVA NETO;ANTONIO NETO;Deputado Federal;1111;PP;Renúncia;SERGIPE MEU AMOR
ANTÔNIO SAMARONE DE SANTANA;SAMARONE;Deputado Federal;2311;PPS;Deferido;SERGIPE MEU AMOR
ARACÍ BISPO DO NASCIMENTO;PROFESSORA ARACÍ CITA;Deputado Federal;1122;PP;Deferido;SERGIPE MEU AMOR
AVILETE SILVA CRUZ;PROFESSORA AVILETE;Deputado Federal;3131;PHS;Deferido;SERGIPE MEU AMOR
CARLOS AUGUSTO FERREIRA;CARLINHOS;Deputado Federal;4044;PSB;Renúncia;AGORA É A VEZ DO POVO
CLOVIS LAPA DE SOUZA;PROFESSOR LAPADA;Deputado Federal;3311;PMN;Deferido;PMN
CRISTOVAO JOSE FONTES DE SOUSA JUNIOR;TITÓ;Deputado Federal;1212;PDT;Deferido;AGORA É A VEZ DO POVO
DANIELA DOS SANTOS FORTES;DANIELA FORTES;Deputado Federal;2233;PR;Deferido;SERGIPE MEU AMOR
DUILA MARIA JESUS OLIVEIRA;DUILA OLIVEIRA;Deputado Federal;2822;PRTB;Deferido;PRTB
