Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABDON DA SILVA RIOS NETO;DOUTOR ABDON RIOS;Deputado Estadual;55550;PSD;Aguardando julgamento;PMDB-PSD-PP
ABEL DE OLIVEIRA;ABEL FOTOGRAFO;Deputado Estadual;20888;PSC;Aguardando julgamento;PSC
ABNELIO FERREIRA DE SOUZA;ABNÉLIO FERREIRA;Deputado Estadual;31144;PHS;Aguardando julgamento;PHS
ABRAÃO DE JESUS DEBRIERI;ABRAÃO DE JESUS;Deputado Estadual;22133;PR;Deferido;PR
ABRAÃO MICHELON SAMPAIO;ABRAÃO MICHELON;Deputado Estadual;22333;PR;Deferido;PR
ABRAÃO STREY;ABRAÃO STREY;Deputado Estadual;22243;PR;Deferido;PR
ACRISIO BENEDITO TOGNI DE CAMARGO;ACRISIO CAMARGO;Deputado Estadual;45645;PSDB;Aguardando julgamento;PSDB-DEM-PPS-PRB
AÇUCENA FERRAZ BIZARRIA;AÇUCENA;Deputado Estadual;77192;SD;Aguardando julgamento;SD
ADAIL LEITE DA SILVA;ADAIL LEITE;Deputado Estadual;22210;PR;Indeferido;PR
ADALBERTO ANTÔNIO DOS SANTOS;ADALBERTO DOS COLCHÕES;Deputado Estadual;27890;PSDC;Aguardando julgamento;PSDC
ADALBERTO RIBEIRO DA SILVA;ADALBERTO RIBEIRO;Deputado Estadual;43010;PV;Aguardando julgamento;PV
ADALTON MOREIRA DE LA TORRE;ADALTON;Deputado Estadual;27898;PSDC;Aguardando julgamento;PSDC
ADELAIDE COITINHO;ADELAIDE COUTINHO;Deputado Estadual;44401;PRP;Aguardando julgamento;PRP
ADELCIO SA MEIRA;ADELCIO MEIRA;Deputado Estadual;23443;PPS;Deferido;PSDB-DEM-PPS-PRB
ADELINA LUCIA ALVES;ADE ALVES;Deputado Estadual;50345;PSOL;Aguardando julgamento;Frente de Esquerda
ADEMAR DO NASCIMENTO FERNANDES TAVORA NETO;ADEMAR TAVORA;Deputado Estadual;55050;PSD;Aguardando julgamento;PMDB-PSD-PP
ADEMILSON MIGUEL FERNANDES;ADEMILSON MARCENERO;Deputado Estadual;50444;PSOL;Aguardando julgamento;Frente de Esquerda
ADEMIR DA GUIA;ADEMIR DA GUIA;Deputado Estadual;44010;PRP;Aguardando julgamento;PRP
ADEMIR NATAL TOZZO JUNIOR;LOLÓ;Deputado Estadual;22124;PR;Deferido;PR
ADEMIR WELLITON DE OLIVEIRA;ADEMIR BIZI;Deputado Estadual;51160;PEN;Aguardando julgamento;PEN
ADENILSON NOGUEIRA SOARES;PROFESSOR ADENILSON NOGUEIRA;Deputado Estadual;50222;PSOL;Aguardando julgamento;Frente de Esquerda
ADENOR FERREIRA DA SILVA;ADENOR SILVA - O NONÔ;Deputado Estadual;43643;PV;Aguardando julgamento;PV
ADIEL LIMA;ADIEL LIMA;Deputado Estadual;31001;PHS;Aguardando julgamento;PHS
ADIELE CARAÇA;ADIELE CARAÇA;Deputado Estadual;31024;PHS;Aguardando julgamento;PHS
ADILSON JOSÉ DOS SANTOS;ADILSON SANTOS;Deputado Estadual;51107;PEN;Aguardando julgamento;PEN
ADILSON PINHEIRO SANTOS;ADILSON ZOIAO;Deputado Estadual;20111;PSC;Aguardando julgamento;PSC
ADILSON RAFAEL;ADILSON RAFAEL;Deputado Estadual;44191;PRP;Aguardando julgamento;PRP
ADILSON ROBERTO VENÂNCIO DE GODOY;ADILSON VENÂNCIO GODOY;Deputado Estadual;90888;PROS;Aguardando julgamento;PROS
ADILSON ROSSI;ADILSON ROSSI;Deputado Estadual;40400;PSB;Aguardando julgamento;PSB
ADRIANA ALVARES DA COSTA DE PAULA ALVES;DRA ADRIANA DA COSTA;Deputado Estadual;40899;PSB;Aguardando julgamento;PSB
ADRIANA ARAUJO BARGAS ZUCCOLI;ADRIANA BARGAS;Deputado Estadual;15003;PMDB;Aguardando julgamento;PMDB-PSD-PP
ADRIANA CAMARA;ADRIANA CAMARA;Deputado Estadual;27754;PSDC;Aguardando julgamento;PSDC
ADRIANA DE MAGALHÃES GOUVÊA;ADRIANA MAGALHÃES;Deputado Estadual;11007;PP;Aguardando julgamento;PMDB-PSD-PP
ADRIANA DELFINO;ADRIANA DELFINO;Deputado Estadual;23020;PPS;Aguardando julgamento;PSDB-DEM-PPS-PRB
ADRIANA MARIA GARAVELLO FAIDIGA FLOSI;ADRIANA FLOSI;Deputado Estadual;55590;PSD;Aguardando julgamento;PMDB-PSD-PP
ADRIANA PEREIRA MARCIANO;DRIKA;Deputado Estadual;45908;PSDB;Aguardando julgamento;PSDB-DEM-PPS-PRB
ADRIANA RAMOS AFONSO;ADRIANA;Deputado Estadual;36333;PTC;Deferido;PROJETO VITORIA
ADRIANA RIBEIRO BERNARDINO;DRA. ADRIANA;Deputado Estadual;55010;PSD;Aguardando julgamento;PMDB-PSD-PP
ADRIANA ROSE FERNANDES;ADRIANA ROSE;Deputado Estadual;28778;PRTB;Aguardando julgamento;PRTB
ADRIANA SANCHES GALDEANO BORGO;ADRIANA BORGO;Deputado Estadual;12300;PDT;Aguardando julgamento;PDT
ADRIANA SOUZA DOS SANTOS;ADRIANA SOUZA;Deputado Estadual;44633;PRP;Aguardando julgamento;PRP
ADRIANA TOMAZ DE ARAUJO;MISSIONÁRIA ADRIANA ARAÚJO;Deputado Estadual;43323;PV;Aguardando julgamento;PV
ADRIANA VALERIA SILVA LOSSANI;VALERIA LOSSANI;Deputado Estadual;15037;PMDB;Aguardando julgamento;PMDB-PSD-PP
ADRIANO CESAR DA SILVEIRA ZAMBELLI;ADRIANO SOPÓ;Deputado Estadual;55222;PSD;Aguardando julgamento;PMDB-PSD-PP
ADRIANO LOCATELLI;LOCATELLI;Deputado Estadual;54300;PPL;Aguardando julgamento;PPL
ADRIANO PEREIRA DE OLIVEIRA;ADRIANO;Deputado Estadual;70223;PT do B;Deferido;PROJETO VITORIA
ADVALDO MARQUES FLAUZINO;MARCELINHO ENGRAXATE;Deputado Estadual;31030;PHS;Aguardando julgamento;PHS
AILTON VIEIRA ROLIM;AILTON VIEIRA ROLIM;Deputado Estadual;14260;PTB;Aguardando julgamento;PTB
AIRTON GARCIA FERREIRA;AIRTON GARCIA;Deputado Estadual;40001;PSB;Aguardando julgamento;PSB
AIRTON SOARES DA SILVA;AIRTON SOARES;Deputado Estadual;27327;PSDC;Aguardando julgamento;PSDC
ALAN JOÃO ORLANDO;ALAN JOAO;Deputado Estadual;50100;PSOL;Aguardando julgamento;Frente de Esquerda
ALBA PENHA SILVA;ALBINHA;Deputado Estadual;15602;PMDB;Aguardando julgamento;PMDB-PSD-PP
ALBERTO FELIX GUIMARAES;THIFANY FELIX;Deputado Estadual;40448;PSB;Aguardando julgamento;PSB
ALBERTO SABINO DE OLIVEIRA;INVEST POLICIA ALBERTO SABINO;Deputado Estadual;40224;PSB;Aguardando julgamento;PSB
ALBERTO TICIANELLI;ALBERTO TICIANELLI;Deputado Estadual;50765;PSOL;Aguardando julgamento;Frente de Esquerda
ALCEU GIRALDI;DR ALCEU;Deputado Estadual;40541;PSB;Aguardando julgamento;PSB
ALCIDES DIAS LIMA;ALCIDES DIAS;Deputado Estadual;40765;PSB;Aguardando julgamento;PSB
ALDA CELINA FRANCO;ALDA FRANCO;Deputado Estadual;50105;PSOL;Aguardando julgamento;Frente de Esquerda
ALDO JOSE DA SILVA;PROF. ALDO;Deputado Estadual;43119;PV;Aguardando julgamento;PV
ALENCAR SANTANA BRAGA;ALENCAR SANTANA;Deputado Estadual;13570;PT;Aguardando julgamento;PT
ALESSANDRA APARECIDA MONTEIRO;ALESSANDRA MONTEIRO DA #REDE;Deputado Estadual;40180;PSB;Aguardando julgamento;PSB
ALESSANDRA GOMES DA SILVA;ALESSANDRA GOEMS DA SILVA;Deputado Estadual;15013;PMDB;Aguardando julgamento;PMDB-PSD-PP
ALESSANDRO ALEXANDRE LIMA;ALEXANDRE LIMA;Deputado Estadual;51258;PEN;Aguardando julgamento;PEN
ALESSANDRO AUREO RAFALDINI OLIVEIRA;ALESSANDRO RAFALDINI;Deputado Estadual;12611;PDT;Aguardando julgamento;PDT
ALESSANDRO BLASSIOLI BARBOSA;DR.ALESSANDRO BLASSIOLI;Deputado Estadual;22557;PR;Aguardando julgamento;PR
ALESSANDRO CEZAR ARAUJO AZEVEDO;ALESSANDRO AZEVEDO;Deputado Estadual;13000;PT;Aguardando julgamento;PT
ALESSANDRO FERRO;ALESSANDRO FERRO;Deputado Estadual;14120;PTB;Aguardando julgamento;PTB
ALESSANDRO GONÇALVES;ZE ROBERTO DO AÇOUGUE;Deputado Estadual;50741;PSOL;Aguardando julgamento;Frente de Esquerda
ALESSANDRO LUIS DE GODOY;MOLE;Deputado Estadual;40040;PSB;Aguardando julgamento;PSB
ALEX ANDREWS PELLISSON MASSOLA;DR ALEX;Deputado Estadual;19777;PTN;Aguardando julgamento;PROJETO VITORIA
ALEX DOS REIS;ALEX;Deputado Estadual;25120;DEM;Aguardando julgamento;PSDB-DEM-PPS-PRB
ALEX SANDRA SILVA COSTA DE JESUS;ALEX SANDRA COSTA;Deputado Estadual;14240;PTB;Aguardando julgamento;PTB
ALEX SANDRO DE SOUZA SÁ;ALEX DA ACADEMIA;Deputado Estadual;12200;PDT;Aguardando julgamento;PDT
ALEXANDRE ALVES SCHNEIDER;ALEXANDRE SCHNEIDER;Deputado Estadual;55055;PSD;Aguardando julgamento;PMDB-PSD-PP
ALEXANDRE BARBOZA DOS SANTOS;PROFESSOR XANDÃO;Deputado Estadual;36800;PTC;Aguardando julgamento;PROJETO VITORIA
ALEXANDRE BITTENCOURT DEPIERI;DR. ALEXANDRE DEPIERI;Deputado Estadual;55056;PSD;Aguardando julgamento;PMDB-PSD-PP
ALEXANDRE CARVALHO LEME;ALEXANDRE LEME;Deputado Estadual;16666;PSTU;Aguardando julgamento;Frente de Esquerda
ALEXANDRE DE ALMEIDA;PROFº ALEXANDRE DE ALMEIDA;Deputado Estadual;14060;PTB;Aguardando julgamento;PTB
ALEXANDRE FRANCISCO TRUNKL;ALEXANDRE FRANCISCO;Deputado Estadual;43678;PV;Aguardando julgamento;PV
ALEXANDRE GEROLAMO DE ALMEIDA;ALEXANDRE ALMEIDA;Deputado Estadual;13321;PT;Aguardando julgamento;PT
ALEXANDRE ISSAMI;ALEXANDRE ISSAMI;Deputado Estadual;14005;PTB;Aguardando julgamento;PTB
ALEXANDRE JOSÉ DA CUNHA;ALEXANDRE DA FARMÁCIA;Deputado Estadual;11023;PP;Aguardando julgamento;PMDB-PSD-PP
ALEXANDRE KISE;ALEXANDRE KISE;Deputado Estadual;65090;PC do B;Aguardando julgamento;PC do B
ALEXANDRE LUIZ TONETTI;TONETTI;Deputado Estadual;13270;PT;Aguardando julgamento;PT
ALEXANDRE MARIANO GENTIL;GENTIL;Deputado Estadual;17000;PSL;Aguardando julgamento;PROJETO VITORIA
ALEXANDRE NERO FLAQUER;FLAQUER;Deputado Estadual;28428;PRTB;Aguardando julgamento;PRTB
ALEXANDRE OLIVEIRA SILVA;ALEXANDRE OLLIVER;Deputado Estadual;22600;PR;Deferido;PR
ALEXANDRE PEREIRA DA SILVA;ALEXANDRE PEREIRA;Deputado Estadual;77777;SD;Deferido;SD
ALEXANDRE PIMENTA ARAUJO;ALEXANDRE PIMENTA;Deputado Estadual;43021;PV;Aguardando julgamento;PV
ALEXANDRE QUINTINO DE GODOY;ALEXANDRE GODOY;Deputado Estadual;33333;PMN;Deferido;PROJETO VITORIA
ALEXANDRE SAMPAIO ZAKIR;ALEXANDRE ZAKIR;Deputado Estadual;23233;PPS;Aguardando julgamento;PSDB-DEM-PPS-PRB
ALEXANDRE SIMOES PIMENTEL;ALEXANDRE PIMENTEL;Deputado Estadual;13013;PT;Aguardando julgamento;PT
ALEXANDRE SOBRAL;SOBRAL;Deputado Estadual;54777;PPL;Aguardando julgamento;PPL
ALEXANDRE TIEPO DE OLIVEIRA E SILVA;ALEXANDRE TIEPO;Deputado Estadual;14050;PTB;Aguardando julgamento;PTB
ALEXANDRO ANTUNES;ALEXANDRO ANTUNES;Deputado Estadual;29209;PCO;Aguardando julgamento;PCO
ALHETEA PIZZOCARO DE ARAUJO DOS SANTOS;ALHETEA;Deputado Estadual;28009;PRTB;Aguardando julgamento;PRTB
ALICIO HONORIO DE ANDRADE;ALICIO ANDRADE;Deputado Estadual;19100;PTN;Aguardando julgamento;PROJETO VITORIA
ALINE APARECIDA ALVES;ALINE ALVES;Deputado Estadual;90014;PROS;Aguardando julgamento;PROS
ALINE ISABEL DA SILVA PAGANOTTI UTIDA;ALINE PAGANOTTI;Deputado Estadual;77069;SD;Aguardando julgamento;SD
ALINE REIKO KUSHIOYADA;ALINE REIKO KUSHIOYADA;Deputado Estadual;40542;PSB;Aguardando julgamento;PSB
ALLAN MIRANDA;ALLAN MIRANDA;Deputado Estadual;45223;PSDB;Aguardando julgamento;PSDB-DEM-PPS-PRB
ALLISON MAGALHÃES PAULESCHI;ALLISON CANBRASIL;Deputado Estadual;44192;PRP;Aguardando julgamento;PRP
ALMIR ROBERTO CICOTE;CICOTE;Deputado Estadual;40321;PSB;Aguardando julgamento;PSB
ALMIRANDO FERREIRA DO NASCIMENTO;BAHIA DA ACADEMIA;Deputado Estadual;40416;PSB;Aguardando julgamento;PSB
ALOISIO GAMA DE SANTANA;ALOISIO GAMA;Deputado Estadual;13513;PT;Aguardando julgamento;PT
ALOISIO TITO ROSA;DR. ALOISIO;Deputado Estadual;15369;PMDB;Aguardando julgamento;PMDB-PSD-PP
