Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABDO LCARIM MAZLOUM;ABDO MAZLOUM;Deputado Federal;1221;PDT;Deferido;PDT
ABEL LIMA RIVERO;ABEL LIMA;Deputado Federal;5100;PEN;Aguardando julgamento;PEN
ABIMAEL SANTOS SOUSA;BILL;Deputado Federal;5019;PSOL;Aguardando julgamento;Frente de Esquerda
ABRÃO GEORGES RESTOM;DR. ABRÃO;Deputado Federal;1575;PMDB;Aguardando julgamento;PMDB-PROS-PP-PSD
ADALBERTO APARECIDO DOS SANTOS;ADALBERTO (CINTURA);Deputado Federal;1484;PTB;Deferido;PTB
ADALBERTO FELIX MARTINS;BETO AUTO ESCOLA;Deputado Federal;3187;PHS;Aguardando julgamento;UNIDOS POR SÃO PAULO
ADAURY CAMPOS DE BARROS;ADAURY CAMPOS DE BARROS;Deputado Federal;1490;PTB;Aguardando julgamento;PTB
ADAUTO APARECIDO SCARDOELLI;ADAUTO SCARDOELLI;Deputado Federal;1327;PT;Aguardando julgamento;PT - PCdoB
ADEILDE MARY ALVES ANTUNES;ADEILDE MARY;Deputado Federal;3333;PMN;Deferido;PROJETO VITORIA
ADEIR CUPERTINO;PASTOR ADEIR COPPER;Deputado Federal;2099;PSC;Aguardando julgamento;PSC
ADEL CHARAF EDDINE;DR. ADEL;Deputado Federal;1536;PMDB;Aguardando julgamento;PMDB-PROS-PP-PSD
ADELAIDE PEREIRA DE SOUSA;ADELAIDE DO SOS JUSTIÇA;Deputado Federal;7750;SD;Deferido;SD
ADELMIRO DE SOUZA BARCELLOS;MIRO BARCELLOS;Deputado Federal;7002;PT do B;Deferido;PROJETO VITORIA
ADELSON DE SOUZA PENHA;ADELSON DE SOUZA PENHA;Deputado Federal;4302;PV;Aguardando julgamento;PV
ADEMIR ALBANO LOPES;ADEMIR LOPES;Deputado Federal;7030;PT do B;Deferido;PROJETO VITORIA
ADERMIS MARINI JUNIOR;ADERMIS MARINI;Deputado Federal;4533;PSDB;Deferido;PSDB-DEM-PPS
ADILSON ARMANDO CARVALHO AMADEU;ADILSON AMADEU;Deputado Federal;1420;PTB;Renúncia;PTB
ADILSON BARROSO OLIVEIRA;ADILSON BARROSO;Deputado Federal;5151;PEN;Aguardando julgamento;PEN
ADILSON MARCOS NICOLETTI;ADILSON NICOLETTI;Deputado Federal;5107;PEN;Aguardando julgamento;PEN
