Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ANA LUIZA DE FIGUEIREDO GOMES;ANA LUIZA;Senador;161;PSTU;Aguardando julgamento;Frente de Esquerda
CARLOS ALBERTO DOS SANTOS;KAKA WERA;Senador;430;PV;Aguardando julgamento;PV
EDMILSON SILVA COSTA;EDMILSON COSTA;Senador;210;PCB;Aguardando julgamento;PCB
EDUARDO MATARAZZO SUPLICY;EDUARDO SUPLICY;Senador;131;PT;Aguardando julgamento;PARA MUDAR DE VERDADE
GENILDO MOREIRA SILVA;GENILDO MOREIRA;Senador;400;PSB;Aguardando julgamento;Aqui é São Paulo
GILBERTO KASSAB;GILBERTO KASSAB;Senador;555;PSD;Aguardando julgamento;São Paulo Quer o Melhor
JOSÉ SERRA;JOSÉ SERRA;Senador;456;PSDB;Aguardando julgamento;Aqui é São Paulo
JURACI BAENA GARCIA;JURACI GARCIA;Senador;290;PCO;Aguardando julgamento;PCO
LUIZ FERNANDO AMARAL LUCAS;FERNANDO LUCAS;Senador;441;PRP;Aguardando julgamento;UNIDOS POR SÃO PAULO
MARLENE OLIVEIRA DE CAMPOS MACHADO;MARLENE CAMPOS MACHADO;Senador;140;PTB;Aguardando julgamento;PTB
RICARDO SIMON FLAQUER;SENADOR FLÁQUER;Senador;281;PRTB;Aguardando julgamento;PRTB
