Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ALFREDO COTAIT NETO;ALFREDO COTAIT NETO;Senador 2º Suplente;555;PSD;Deferido;São Paulo Quer o Melhor
ATILIO FRANCISCO DA SILVA;ATILIO FRANCISCO;Senador 2º Suplente;456;PRB;Aguardando julgamento;Aqui é São Paulo
CESAR MANGOLIN DE BARROS;CÉSAR MANGOLIN;Senador 2º Suplente;210;PCB;Aguardando julgamento;PCB
CLÁUDIO ROBERTO VIEIRA;CLÁUDIO VIEIRA;Senador 2º Suplente;290;PCO;Aguardando julgamento;PCO
GILBERTO CARLOS ANTÔNIO FERREIRA;GILBERTO FERREIRA;Senador 2º Suplente;281;PRTB;Aguardando julgamento;PRTB
HÉLIO AMORIM DE OLIVEIRA;HELIO AMORIM;Senador 2º Suplente;430;PV;Aguardando julgamento;PV
JOÃO DUARTE PESTANA BARRETO;DUARTE;Senador 2º Suplente;441;PHS;Aguardando julgamento;UNIDOS POR SÃO PAULO
JOSÉ FRANCISCO VIDOTTO;DR. VIDOTTO;Senador 2º Suplente;140;PTB;Aguardando julgamento;PTB
ROZANE MARIA DE SENA;ZANINHA;Senador 2º Suplente;131;PT;Aguardando julgamento;PARA MUDAR DE VERDADE
WILSON APARECIDO RIBEIRO;WILSON RIBEIRO;Senador 2º Suplente;161;PSTU;Aguardando julgamento;Frente de Esquerda
