Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ABIA GECONIA PEREIRA COSTA;ABIA FERREIRA;Deputado Estadual;50768;PSOL;Aguardando julgamento;PSOL
ACÁCIO LOPES LIMA;ACÁCIO LOPES;Deputado Estadual;17700;PSL;Aguardando julgamento;RENOVA TOCANTINS
ADAIL LOPES DE CARVALHO;ADAIL LOPES;Deputado Estadual;55789;PSD;Aguardando julgamento;A EXPERIENCIA FAZ A MUDANÇA 2
ADAIL PEREIRA CARVALHO;PROF. ADAIL;Deputado Estadual;27700;PSDC;Deferido;REAGE TOCANTINS
ADALBERTO LEITE BARBOSA;PASTOR ADALBERTO LEITE;Deputado Estadual;20123;PSC;Aguardando julgamento;RENOVA TOCANTINS
ADRIANA FRANÇA QUIXABEIRA LIMA;ADRIANA FRANÇA;Deputado Estadual;20111;PSC;Aguardando julgamento;RENOVA TOCANTINS
ALAN KARDEC MARTINS BARBIERO;ALAN BARBIERO;Deputado Estadual;40123;PSB;Deferido;PSB
ALCIVAN JOSÉ RODRIGUES;SOLDADO ALCIVAN;Deputado Estadual;11111;PP;Deferido;TOCANTINS OLHANDO PRA FRENTE
ALDAIR DA COSTA SOUSA;GIPÃO;Deputado Estadual;22225;PR;Deferido;TOCANTINS OLHANDO PRA FRENTE
ALINNE LOPES RODRIGUES;ALINNE RODRIGUES;Deputado Estadual;15777;PMDB;Aguardando julgamento;A EXPERIENCIA FAZ A MUDANÇA 2
ALQUIMAR SOUSA ALMEIDA;ALQUIMAR;Deputado Estadual;22456;PR;Deferido;TOCANTINS OLHANDO PRA FRENTE
AMÁLIA MARIA SANTANA DA SILVA;AMÁLIA SANTANA;Deputado Estadual;13613;PT;Deferido;Frente Popular por uma Alternativa de Mudança
AMELIO CAYRES DE  ALMEIDA;AMÉLIO CAYRES;Deputado Estadual;77333;SD;Deferido;TOCANTINS OLHANDO PRA FRENTE
AMIRON JOSÉ PINTO;AMIRON PINTO;Deputado Estadual;15133;PMDB;Aguardando julgamento;A EXPERIENCIA FAZ A MUDANÇA 2
ANA MARIA GUEDES VANDERLEI;ANA MARIA;Deputado Estadual;15331;PMDB;Aguardando julgamento;A EXPERIENCIA FAZ A MUDANÇA 2
ANA RODRIGUES ANTUNES;ANA RODRIGUES;Deputado Estadual;13222;PT;Aguardando julgamento;Frente Popular por uma Alternativa de Mudança
ANATALIA RODRIGUES DE SOUZA;NATALIA CABELEREIRA;Deputado Estadual;40600;PSB;Deferido;PSB
ANDRE FELIPE IZAGUIRRE CREWE;ANDRE FELIPE;Deputado Estadual;90333;PROS;Deferido;REAGE TOCANTINS
ANTONIO ALVES OLIVEIRA;TONINHO DA BRILHO;Deputado Estadual;33000;PMN;Deferido;REAGE TOCANTINS
ANTONIO AUDECY RODRIGUES FREITAS;DERCY FREITAS;Deputado Estadual;19678;PTN;Deferido;REAGE TOCANTINS
ANTONIO CARLOS LACERDA CABRAL;ANTONIO CARLOS CABRAL;Deputado Estadual;40456;PSB;Deferido;PSB
