Nome Completo;Nome Para Urna;Cargo;Número;Partido;Situação;Coligação
ACILENE DE ARAUJO PEREIRA;ACILENE PEREIRA;Deputado Federal;4055;PSB;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
AGNALDO BISPO DE SOUSA;AGNALDI BISPO;Deputado Federal;5030;PSOL;Deferido;PSOL
AGNALDO PEREIRA LIMA;MARABÁ;Deputado Federal;3171;PHS;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
AGOSTINHO ANTÔNIO DOS SANTOS;TINHO SANTOS;Deputado Federal;5454;PPL;Indeferido;REAGE TOCANTINS
ALTAMIRO PEREIRA DOS SANTOS;PROFESSOR ALTAMIRO;Deputado Federal;5000;PSOL;Deferido;PSOL
CARLOS HENRIQUE AMORIM;CARLOS GAGUIM;Deputado Federal;1533;PMDB;Aguardando julgamento;A EXPERIÊNCIA FAZ A MUDANÇA 1
CARLOS HUMBERTO DUARTE DE LIMA E SILVA;BETO LIMA;Deputado Federal;2277;PR;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
CÉLIO DE AZEVEDO;MAJOR AZEVEDO;Deputado Federal;3333;PMN;Deferido;REAGE TOCANTINS
CESAR HANNA HALUM;CESAR HALUM;Deputado Federal;1010;PRB;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
CHARLLES PITA DE ARRUDA;DR. CHARLLES PITA;Deputado Federal;4477;PRP;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
DULCE FERREIRA PAGANI MIRANDA;DULCE MIRANDA;Deputado Federal;1511;PMDB;Aguardando julgamento;A EXPERIÊNCIA FAZ A MUDANÇA 1
EDSON FELICIANO DA SILVA;DR. EDSON FELICIANO;Deputado Federal;5050;PSOL;Deferido;PSOL
ELMIR JOSE ALVES;CB. IRMÃO ELMIR;Deputado Federal;1720;PSL;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
ERIKA SABINO DE MELO AVILA;ERIKA AVILA;Deputado Federal;3111;PHS;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
ETEVALDO DA PAZ NONATO;ETEVALDO DA PAZ;Deputado Federal;5044;PSOL;Deferido;PSOL
FLÁVIA CRISTINA QUEIROZ DA SILVA;FLÁVIA CRISTINA;Deputado Federal;4300;PV;Aguardando julgamento;A EXPERIÊNCIA FAZ A MUDANÇA 1
HELCIO BRITO BARROS;HELCIO BRITO;Deputado Federal;2728;PSDC;Deferido;REAGE TOCANTINS
HELMAR TAVARES MASCARENHAS JUNIOR;HELMAR JUNIOR;Deputado Federal;2233;PR;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
IRAJÁ SILVESTRE FILHO;IRAJÁ ABREU;Deputado Federal;5510;PSD;Aguardando julgamento;A EXPERIÊNCIA FAZ A MUDANÇA 1
IVARDO SANTANA;IVARDO SANTANA;Deputado Federal;5010;PSOL;Deferido;PSOL
JOÃO CAMPOS DE ABREU;PASTOR JOÃO CAMPOS;Deputado Federal;2014;PSC;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
JOÃO OLIVEIRA DE SOUSA;JOÃO OLIVEIRA;Deputado Federal;2525;DEM;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
JOÃO RIBEIRO JUNIOR;JOAO RIBEIRO JR;Deputado Federal;2828;PRTB;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
JOENICE PEREIRA RIBEIRO;JOENICE;Deputado Federal;2212;PR;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
JOSÉ DOS SANTOS FREIRE JÚNIOR;FREIRE JR;Deputado Federal;4301;PV;Aguardando julgamento;A EXPERIÊNCIA FAZ A MUDANÇA 1
JOSÉ GERALDO DE MELO OLIVEIRA;JOSÉ GERALDO;Deputado Federal;1414;PTB;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
JOSINIANE BRAGA NUNES;JOSI NUNES;Deputado Federal;1500;PMDB;Aguardando julgamento;A EXPERIÊNCIA FAZ A MUDANÇA 1
LÁZARO BOTELHO MARTINS;LÁZARO BOTELHO;Deputado Federal;1145;PP;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
LEANDRO OLIVEIRA MACHADO;LEANDRO MACHADO;Deputado Federal;2727;PSDC;Aguardando julgamento;REAGE TOCANTINS
LEILA SOARES DO CARMO;LEILA SOARES;Deputado Federal;7789;SD;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
LUANA PEREIRA DE CARVALHO;LUANA CARVALHO;Deputado Federal;7723;SD;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
LUCIANO DE SOUZA;LUCIANO;Deputado Federal;2121;PCB;Deferido;PCB
MANOEL ANTONIO DOS SANTOS;MANOEL DA HORTA;Deputado Federal;1900;PTN;Deferido;REAGE TOCANTINS
MARCIA REGINA DOS SANTOS;MÁRCIA REGINA;Deputado Federal;7788;SD;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
MARCOS ROGÉRIO RODRIGUES DE SOUSA;MARCOS SOLUÇÃO;Deputado Federal;4377;PV;Aguardando julgamento;A EXPERIÊNCIA FAZ A MUDANÇA 1
MARCUS MARCELO DE BARROS ARAUJO;MARCUS MARCELO;Deputado Federal;2255;PR;Aguardando julgamento;A MUDANÇA QUE A GENTE VE
